ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason
B0DFWQ6N2K,PUZZLE POTATO Tesla Puzzle Box - Electronic Brain Teaser Puzzle for Adults - Wooden Treasure Chest - Money Puzzlebox for Cash Gift - Escape Room Game in a Box,PUZZLE POTATO,https://www.amazon.co.uk/dp/B0DFWQ6N2K,Toys & Games,,59.90,58.50,-2.0%,13943,17891,78,50,3,0,N,3.06,10.00,13.06,38.94,7.90,20.3%,39.03,52.00,0%,Wisteria GmbH (91%) / A3QCYH4NUQE4C6,yes,4.7,529,11,Y,5,STRONG,N,-,,,KEEPA,4260598030650,,,10,8,8,3,7.6,9.4,7.5,8.9,BALANCED,1,1232.40,OK,BALANCED | GBP1232.40/mo | 156/mo | GBP7.90 unit profit | stable | 3 sellers,MAYBE,BALANCED | 156/mo | GBP7.90 profit | GBP1232.40 monthly gross | stable | 3 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B0D8Y3L5FK,"ESAKO Telescope for Kids & Adults, 70mm Portable Beginner Telescopes with 3 Eyepieces, Height Adjustable Tripod & Phone Adapter",ESAKO,https://www.amazon.co.uk/dp/B0D8Y3L5FK,Toys & Games,,64.99,60.73,-7.0%,25535,10812,27,100,2,0,N,3.49,10.78,14.27,42.24,8.48,20.1%,42.27,56.51,0%,JOOJO STORE (100%) / AIRQMQP5A7JES,yes,4.2,539,6,Y,5,STRONG,N,-,,LOW SELLER CHECK,KEEPA,,,,10,6,9,4,7.4,9.2,7.7,9,BALANCED,1,848.00,OK,BALANCED | GBP848.00/mo | 100/mo | GBP8.48 unit profit | stable | 2 sellers,MAYBE,BALANCED | 100/mo | GBP8.48 profit | GBP848.00 monthly gross | stable | 2 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B079RVGZ62,"My Salah Mat for Kids - Smart Interactive Prayer Mat for Kids Learning the Salah - Fun & Easy Prayer Rug with 36 Touch Keys, 15 Languages, Speaker, & Booklets - Islamic Toys for Ages 3 to 8",My Salah Mat,https://www.amazon.co.uk/dp/B079RVGZ62,Toys & Games,,44.99,46.01,2.0%,11637,24789,66,100,2,0,N,3.48,7.70,11.18,29.24,4.57,15.6%,28.18,40.42,0%,Al-Muallim Books (89%) / A3MC22LB87O2YJ,no,4.3,920,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,"0637825989373, 0682141309664, 6222022014399","637825989373, 682141309664",,10,10,9,1,8,9.7,6.5,8.7,BALANCED,1,603.20,OK,BALANCED | GBP603.20/mo | 132/mo | GBP4.57 unit profit | stable | 2 sellers,MAYBE,BALANCED | 132/mo | GBP4.57 profit | GBP603.20 monthly gross | stable | 2 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B00LU09HO4,Playmags 150 Pcs Magnetic Tiles Set for Kids - Colorful Stronger Magnets - 3D Magnetic Building Blocks - STEM Creative Construction Toys - Magnet Tiles For Kids,Playmags,https://www.amazon.co.uk/dp/B00LU09HO4,Toys & Games,,47.99,51.24,6.0%,15832,27550,42,50,5,0,Y,3.56,8.16,11.72,31.19,5.08,16.3%,30.23,42.91,0%,Best Toys 4 U (98%) / A12V6C4YTTCRM3,yes,4.6,2520,7,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0086138104605,086138104605,00086138104605,10,10,6,1,7.4,9.3,6.3,8.5,BALANCED,1,426.70,OK,BALANCED | GBP426.70/mo | 84/mo | GBP5.08 unit profit | stable | 5 sellers,MAYBE,BALANCED | 84/mo | GBP5.08 profit | GBP426.70 monthly gross | stable | 5 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B0DPYWZ124,"Telescope for Adults Beginners, 70mm Aperture 400mm AZ Mount Fully Multi-Coated Optics Refractor Portable Telescopes, Travel Telescope with Tripod Phone Adapter (White)",EACONN,https://www.amazon.co.uk/dp/B0DPYWZ124,Toys & Games,,59.99,57.37,-5.0%,16567,18158,19,50,2,0,N,3.49,10.01,13.50,38.99,7.50,19.2%,38.74,52.49,0%,Inter-Stellar (100%) / A2GVQZWFO6MVGV,yes,4.3,315,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,8,9,1,7.4,8.6,6.5,8.3,BALANCED,1,375.00,OK,BALANCED | GBP375.00/mo | 50/mo | GBP7.50 unit profit | stable | 2 sellers,MAYBE,BALANCED | 50/mo | GBP7.50 profit | GBP375.00 monthly gross | stable | 2 sellers,NO,NO,SYNTHETIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0BZHDKW1V,"LeapFrog Magic Adventures Telescope, Kids Telescope for Beginner, Star Gazing Astronomy Toy, 100+ NASA Images & Videos, Real Telescope, Tripod, Gift for Kids & Adults, 5, 6, 7 +, English Version",LeapFrog,https://www.amazon.co.uk/dp/B0BZHDKW1V,Toys & Games,,55.85,55.54,-1.0%,11159,13617,114,50,19,0,N,3.37,4.77,8.14,36.30,11.40,31.4%,39.76,44.45,15%,RZHomestore® (86%) / ATGJP9HHHLK29,no,4.1,102,9,Y,5,STRONG,N,-,,,KEEPA,3417766145031,,,10,8,0,8,7,8.7,9.1,9.2,CASH FLOW,1,2599.20,OK,CASH FLOW | GBP2599.20/mo | 228/mo | GBP11.40 unit profit | stable | 19 sellers,MAYBE,CASH FLOW | 228/mo | GBP11.40 profit | GBP2599.20 monthly gross | stable | 19 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0006SK3WG,"John Adams Hot Wires | Plug & Play Electronics Set With 100 Experiments | Perfect For Children Ages 8+ | Make, Experiment & Play With This Science & STEM Toy | Batteries Not Included | Easy To Use",John Adams,https://www.amazon.co.uk/dp/B0006SK3WG,Toys & Games,,49.99,48.01,-4.0%,13893,11713,133,100,5,0,Y,3.48,8.47,11.95,32.49,5.55,17.1%,31.70,44.44,84%,Amazon,yes,4.6,2749,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"5015335034120, 5052615022514",,05015335034120,10,8,3,1,6.2,7.5,5.5,6.9,CASH FLOW,1,1476.30,OK,CASH FLOW | GBP1476.30/mo | 266/mo | GBP5.55 unit profit | stable | 5 sellers,MAYBE-ROI,CASH FLOW | 266/mo | GBP5.55 profit | GBP1476.30 monthly gross | stable | 5 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B000URHPLA,"Learning Resources Pretend & Play Calculator Cash Register, Ages 3+, Cash Register Toy for Kids, UK Play Money, Maths Skills, Gifts for Kids",Learning Resources,https://www.amazon.co.uk/dp/B000URHPLA,Toys & Games,,38.17,38.67,1.0%,11939,15649,91,50,8,0,Y,3.49,6.65,10.14,24.81,3.22,13.0%,23.36,34.95,88%,Amazon,yes,4.4,1930,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"0765023526295, 7123290130868, 0765023007459, 0765023626292, 0765023009170, 7332779835082","765023626292, 765023007459, 765023526295, 765023009170","00765023009170, 00765023526295, 00765023626292, 07123290130868, 07332779835082",10,10,1,1,6.4,7.5,4.3,6.6,CASH FLOW,1,586.00,OK,CASH FLOW | GBP586.00/mo | 182/mo | GBP3.22 unit profit | stable | 8 sellers,MAYBE-ROI,CASH FLOW | 182/mo | GBP3.22 profit | GBP586.00 monthly gross | stable | 8 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B082NMQ1PN,"Stoie's Wooden Toddler Musical Instruments with Drum, Hand Bells, Flute, Maracas, Castanet, Tamburine, for Babies and Kids, Eco Friendly Montessori Educational Toy",Stoie's,https://www.amazon.co.uk/dp/B082NMQ1PN,Toys & Games,,31.99,30.44,-5.0%,13686,9309,121,100,2,0,N,3.15,5.69,8.84,20.79,2.36,11.3%,19.29,29.63,0%,Stoie's Europe (82%) / A19BXZGZX6PG1N,yes,4.6,6697,15,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,4897101400145,,,10,8,7,0,6.8,7.8,3.7,6.1,CASH FLOW,1,571.10,OK,CASH FLOW | GBP571.10/mo | 242/mo | GBP2.36 unit profit | stable | 2 sellers,MAYBE-ROI,CASH FLOW | 242/mo | GBP2.36 profit | GBP571.10 monthly gross | stable | 2 sellers,YES,NO,ESTABLISHED,YES,LIKELY,HIGH,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category HIGH risk
B083GFDX46,"Galt Giant Science Lab - Explore and Discover XL Science Kit for Kids, Childrens Craft Set, Guide Book and Lab Coat - 30 Fun STEM Science Experiments - Chemistry, Biology and Physics - For Ages 6 Plus",Galt,https://www.amazon.co.uk/dp/B083GFDX46,Toys & Games,,28.99,28.99,0.0%,13396,10270,136,100,2,0,N,3.48,5.23,8.71,18.84,1.44,7.6%,16.90,27.55,61%,JumboPlay (99%) / A1ZSHZHU841FDU,yes,4.6,881,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5011979592217,,05011979592217,10,10,8,0,7.6,8.7,2.9,6.6,CASH FLOW,1,391.70,OK,CASH FLOW | GBP391.70/mo | 272/mo | GBP1.44 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 272/mo | GBP1.44 profit | GBP391.70 monthly gross | stable | 2 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
