ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0DFWQ6N2K,PUZZLE POTATO Tesla Puzzle Box - Electronic Brain Teaser Puzzle for Adults - Wooden Treasure Chest - Money Puzzlebox for Cash Gift - Escape Room Game in a Box,PUZZLE POTATO,Toys & Games,MAYBE,7.6,GBP59.90,GBP3.06,20.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D8Y3L5FK,"ESAKO Telescope for Kids & Adults, 70mm Portable Beginner Telescopes with 3 Eyepieces, Height Adjustable Tripod & Phone Adapter",ESAKO,Toys & Games,MAYBE,7.4,GBP64.99,GBP3.49,20.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B079RVGZ62,"My Salah Mat for Kids - Smart Interactive Prayer Mat for Kids Learning the Salah - Fun & Easy Prayer Rug with 36 Touch Keys, 15 Languages, Speaker, & Booklets - Islamic Toys for Ages 3 to 8",My Salah Mat,Toys & Games,MAYBE,8.0,GBP44.99,GBP3.48,15.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00LU09HO4,Playmags 150 Pcs Magnetic Tiles Set for Kids - Colorful Stronger Magnets - 3D Magnetic Building Blocks - STEM Creative Construction Toys - Magnet Tiles For Kids,Playmags,Toys & Games,MAYBE,7.4,GBP47.99,GBP3.56,16.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DPYWZ124,"Telescope for Adults Beginners, 70mm Aperture 400mm AZ Mount Fully Multi-Coated Optics Refractor Portable Telescopes, Travel Telescope with Tripod Phone Adapter (White)",EACONN,Toys & Games,MAYBE,7.4,GBP59.99,GBP3.49,19.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BZHDKW1V,"LeapFrog Magic Adventures Telescope, Kids Telescope for Beginner, Star Gazing Astronomy Toy, 100+ NASA Images & Videos, Real Telescope, Tripod, Gift for Kids & Adults, 5, 6, 7 +, English Version",LeapFrog,Toys & Games,MAYBE,7.0,GBP55.85,GBP3.37,31.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0006SK3WG,"John Adams Hot Wires | Plug & Play Electronics Set With 100 Experiments | Perfect For Children Ages 8+ | Make, Experiment & Play With This Science & STEM Toy | Batteries Not Included | Easy To Use",John Adams,Toys & Games,MAYBE-ROI,6.2,GBP49.99,GBP3.48,17.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000URHPLA,"Learning Resources Pretend & Play Calculator Cash Register, Ages 3+, Cash Register Toy for Kids, UK Play Money, Maths Skills, Gifts for Kids",Learning Resources,Toys & Games,MAYBE-ROI,6.4,GBP38.17,GBP3.49,13.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B083GFDX46,"Galt Giant Science Lab - Explore and Discover XL Science Kit for Kids, Childrens Craft Set, Guide Book and Lab Coat - 30 Fun STEM Science Experiments - Chemistry, Biology and Physics - For Ages 6 Plus",Galt,Toys & Games,MAYBE,7.6,GBP28.99,GBP3.48,7.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FHQR4S6D,"Learning Resources Numberblocks Sing-Along Superhero Octoblock, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts Ages 3+",Learning Resources,Toys & Games,MAYBE-ROI,6.4,GBP35.31,GBP2.98,13.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
