ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN
B0F1SJY5S3,One Piece Card Game The Best Vol.2 (PRB-02) Booster Box (Japanese) - 10 Packs,BANDAI,https://www.amazon.co.uk/dp/B0F1SJY5S3,Toys & Games,,MAYBE,BALANCED | 238/mo | GBP7.06 profit | GBP1680.30 monthly gross | stable | 5 sellers,BALANCED,1,BALANCED | GBP1680.30/mo | 238/mo | GBP7.06 unit profit | stable | 5 sellers,7.4,10,10,6,1,9.4,6.7,8.8,GBP1680,OK,WEAK,GBP54.98,GBP55.97,STABLE,GBP2.94,GBP9.24,GBP12.18,GBP35.74,GBP7.06,19.8%,GBP35.67,GBP47.92,11435,119,100,4.3,581,N,5,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,4582769865206,,
B0CGS363W3,"Magna-Tiles Downhill Duo 40-Piece Set, Black",Magna-Tiles,https://www.amazon.co.uk/dp/B0CGS363W3,Toys & Games,,MAYBE,BALANCED | 144/mo | GBP9.46 profit | GBP1362.20 monthly gross | stable | 7 sellers,BALANCED,1,BALANCED | GBP1362.20/mo | 144/mo | GBP9.46 unit profit | stable | 7 sellers,7.6,10,10,4,4,9.2,7.8,9,GBP1362,OK,AVERAGE,GBP69.99,GBP74.38,SLIGHT DIP (6%),GBP3.48,GBP11.55,GBP15.03,GBP45.49,GBP9.46,20.8%,GBP45.80,GBP60.53,28689,72,100,4.7,894,N,7,Y,37%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0008500251762, 0850025176231","008500251762, 850025176231",00850025176231
B0CFDWW5QW,"Lavievert Tilting Puzzle Board with 2-in-1 Designed Stand & Cover, Lightweight Felt Storage Case with 6 Drawers for Adults, Portable Jigsaw Puzzle Table for Games Up to 1000 Pieces",LAVIEVERT,https://www.amazon.co.uk/dp/B0CFDWW5QW,Toys & Games,,MAYBE,BALANCED | 198/mo | GBP4.28 profit | GBP847.40 monthly gross | SQUEEZED | 2 sellers,BALANCED,1,BALANCED | GBP847.40/mo | 198/mo | GBP4.28 unit profit | SQUEEZED | 2 sellers,8.0,10,10,9,1,9.1,4.7,7.8,GBP847,SQUEEZED,STRONG,GBP50.99,GBP60.84,DROPPING (16%),GBP4.95,GBP8.62,GBP13.57,GBP33.14,GBP4.28,12.9%,GBP31.18,GBP46.71,10112,99,100,4.2,717,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,
B09PQBM615,One Random PSA Graded and Authenticated Encased Pokemon Card (Perfect for Display),Pokémon,https://www.amazon.co.uk/dp/B09PQBM615,Toys & Games,,MAYBE-ROI,BALANCED | 196/mo | GBP4.23 profit | GBP829.10 monthly gross | stable | 6 sellers,BALANCED,1,BALANCED | GBP829.10/mo | 196/mo | GBP4.23 unit profit | stable | 6 sellers,6.7,9,10,4,1,9.2,5.9,8.2,GBP829,OK,AVERAGE,GBP35.00,GBP37.84,SLIGHT DIP (8%),GBP1.87,GBP6.15,GBP8.02,GBP22.75,GBP4.23,18.6%,GBP22.48,GBP30.77,14076,98,100,3.4,1491,N,6,N,0%,-,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0785571317923,785571317923,
B0FZTTPL3Y,Yu-Gi-Oh! Maze of Muertos Display (24),Yu-Gi-Oh!,https://www.amazon.co.uk/dp/B0FZTTPL3Y,Toys & Games,,BRAND APPROACH,BALANCED | 100/mo | GBP8.05 profit | GBP805.00 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP805.00/mo | 100/mo | GBP8.05 unit profit | stable | 2 sellers,8.2,10,10,7,4,8.9,7.7,8.6,GBP805,OK,WEAK,GBP59.99,GBP61.51,STABLE,GBP2.94,GBP10.01,GBP12.95,GBP38.99,GBP8.05,20.6%,GBP39.20,GBP51.94,12508,37,100,5.0,1,N,2,Y,69%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,4012927194140,,
B0FMYLXD28,"Scalextric - G1189M My First Let's Play! Racing Tracks Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Cars, 2x Controllers - Toys Gifts",Scalextric,https://www.amazon.co.uk/dp/B0FMYLXD28,Toys & Games,,MAYBE-ROI,CASH FLOW | 234/mo | GBP3.00 profit | GBP702.00 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP702.00/mo | 234/mo | GBP3.00 unit profit | stable | 5 sellers,6.8,10,10,3,1,7.7,4.4,6.7,GBP702,OK,STRONG,GBP36.99,GBP39.41,SLIGHT DIP (6%),GBP3.49,GBP6.46,GBP9.95,GBP24.04,GBP3.00,12.5%,GBP22.53,GBP33.99,16969,117,100,4.6,53,N,5,Y,82%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,5063129042707,,
B0DQ6C22M2,"MrBeast Lab Hybrids Mega Pack, Reveal Different Hybrid Parts To Create 5 Mix & Match Action Figures, Including a Mega Torso Panther Experiment To Reveal Hybrid's Real Colors, Collect 30+ Beasts",MRBEAST LAB,https://www.amazon.co.uk/dp/B0DQ6C22M2,Toys & Games,,MAYBE-ROI,CASH FLOW | 160/mo | GBP3.53 profit | GBP564.80 monthly gross | stable | 4 sellers,CASH FLOW,1,CASH FLOW | GBP564.80/mo | 160/mo | GBP3.53 unit profit | stable | 4 sellers,6.8,10,10,3,1,7.7,4.4,6.7,GBP565,OK,AVERAGE,GBP39.99,GBP39.99,STABLE,GBP3.54,GBP6.92,GBP10.46,GBP25.99,GBP3.53,13.6%,GBP24.61,GBP36.46,13057,80,100,4.5,646,N,4,Y,99%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0630996249109,630996249109,
B0DQGR47MY,"ToyUnited Magnetic Building Blocks - 150PCS Magnetic Blocks Cubes Forest Portal, Stacking Tiles STEM Montessori Sensory Toys for Kids Boys Girls Ages 3 4 5 6 7 8 9 10 Christmas Birthday Gifts",ToyUnited,https://www.amazon.co.uk/dp/B0DQGR47MY,Toys & Games,,MAYBE,CASH FLOW | 302/mo | GBP1.85 profit | GBP558.70 monthly gross | SQUEEZED | 4 sellers,CASH FLOW,1,CASH FLOW | GBP558.70/mo | 302/mo | GBP1.85 unit profit | SQUEEZED | 4 sellers,7.2,10,10,6,0,8.8,3.5,6.9,GBP559,SQUEEZED,STRONG,GBP22.72,GBP26.97,DROPPING (16%),GBP2.72,GBP3.38,GBP6.10,GBP14.77,GBP1.85,12.5%,GBP13.85,GBP20.87,11682,151,100,4.3,180,N,4,N,0%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0702291184550,702291184550,
B0DT44NLVM,"Magnetopia Magnetic Blocks - 150PCS Magnetic Building Blocks Cubes Adventurer, Magnet Toys for Kids Stacking Construction Birthday Gifts for Boys Girls Age 4-8, 8-12",Magnetopia,https://www.amazon.co.uk/dp/B0DT44NLVM,Toys & Games,,MAYBE,CASH FLOW | 188/mo | GBP2.39 profit | GBP449.30 monthly gross | stable | 3 sellers,CASH FLOW,1,CASH FLOW | GBP449.30/mo | 188/mo | GBP2.39 unit profit | stable | 3 sellers,7.3,9,10,8,0,9.5,4.4,7.7,GBP449,OK,STRONG,GBP24.99,GBP26.68,SLIGHT DIP (6%),GBP2.72,GBP3.64,GBP6.36,GBP16.24,GBP2.39,14.7%,GBP15.52,GBP22.60,23638,94,100,4.8,35,N,3,N,0%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0702291184956,702291184956,
B0C3ZQNPCZ,"Baby Annabell Sweet Dreams Bed, Doll Bed with Light-Up Canopy, Mattress, Matching Pillow and Blanket for 43cm Dolls, Plays a Lullaby, For Children Aged 3+, 710302 Zapf Creation",Baby Annabell,https://www.amazon.co.uk/dp/B0C3ZQNPCZ,Toys & Games,,MAYBE,CASH FLOW | 130/mo | GBP2.92 profit | GBP379.60 monthly gross | stable | 3 sellers,CASH FLOW,1,CASH FLOW | GBP379.60/mo | 130/mo | GBP2.92 unit profit | stable | 3 sellers,7.0,10,10,5,0,7.9,3.8,6.3,GBP380,OK,STRONG,GBP39.99,GBP42.33,SLIGHT DIP (6%),GBP4.15,GBP6.92,GBP11.07,GBP25.99,GBP2.92,11.2%,GBP24.10,GBP37.07,14586,65,100,4.5,325,N,3,Y,99%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,4001167710302,,04001167710302
