ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0F1SJY5S3,One Piece Card Game The Best Vol.2 (PRB-02) Booster Box (Japanese) - 10 Packs,BANDAI,Toys & Games,MAYBE,7.4,GBP54.98,GBP2.94,19.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CGS363W3,"Magna-Tiles Downhill Duo 40-Piece Set, Black",Magna-Tiles,Toys & Games,MAYBE,7.6,GBP69.99,GBP3.48,20.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CFDWW5QW,"Lavievert Tilting Puzzle Board with 2-in-1 Designed Stand & Cover, Lightweight Felt Storage Case with 6 Drawers for Adults, Portable Jigsaw Puzzle Table for Games Up to 1000 Pieces",LAVIEVERT,Toys & Games,MAYBE,8.0,GBP50.99,GBP4.95,12.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09PQBM615,One Random PSA Graded and Authenticated Encased Pokemon Card (Perfect for Display),Pokémon,Toys & Games,MAYBE-ROI,6.7,GBP35.00,GBP1.87,18.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FZTTPL3Y,Yu-Gi-Oh! Maze of Muertos Display (24),Yu-Gi-Oh!,Toys & Games,BRAND APPROACH,8.2,GBP59.99,GBP2.94,20.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FMYLXD28,"Scalextric - G1189M My First Let's Play! Racing Tracks Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Cars, 2x Controllers - Toys Gifts",Scalextric,Toys & Games,MAYBE-ROI,6.8,GBP36.99,GBP3.49,12.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DQ6C22M2,"MrBeast Lab Hybrids Mega Pack, Reveal Different Hybrid Parts To Create 5 Mix & Match Action Figures, Including a Mega Torso Panther Experiment To Reveal Hybrid's Real Colors, Collect 30+ Beasts",MRBEAST LAB,Toys & Games,MAYBE-ROI,6.8,GBP39.99,GBP3.54,13.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DQGR47MY,"ToyUnited Magnetic Building Blocks - 150PCS Magnetic Blocks Cubes Forest Portal, Stacking Tiles STEM Montessori Sensory Toys for Kids Boys Girls Ages 3 4 5 6 7 8 9 10 Christmas Birthday Gifts",ToyUnited,Toys & Games,MAYBE,7.2,GBP22.72,GBP2.72,12.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DT44NLVM,"Magnetopia Magnetic Blocks - 150PCS Magnetic Building Blocks Cubes Adventurer, Magnet Toys for Kids Stacking Construction Birthday Gifts for Boys Girls Age 4-8, 8-12",Magnetopia,Toys & Games,MAYBE,7.3,GBP24.99,GBP2.72,14.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0C3ZQNPCZ,"Baby Annabell Sweet Dreams Bed, Doll Bed with Light-Up Canopy, Mattress, Matching Pillow and Blanket for 43cm Dolls, Plays a Lullaby, For Children Aged 3+, 710302 Zapf Creation",Baby Annabell,Toys & Games,MAYBE,7.0,GBP39.99,GBP4.15,11.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FN49MJQG,"Lankybox Mystery Lock Box Mystery Surprise Giant Blind Box, 16 Fun Surprises Inside, Official LankyBox Merch",LankyBox,Toys & Games,MAYBE-ROI,6.6,GBP29.99,GBP3.49,8.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B004S2BPJG,WWE Action Figure Accessory: (Set of 5 Wrestling Props),Figures Toy Company,Toys & Games,MAYBE-ROI,6.8,GBP33.31,GBP2.94,13.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B001I912SQ,"SKLZ Pro Mini Basketball Hoop, Spring-Action Break-Away Rim, 45.7 x 30.5 cm, Clear Shatter-Proof Backboard - Includes 12.7 cm Mini Basketball, Perfect for Home, Office, or Dorm Room Practice and Fun",SKLZ,Toys & Games,MAYBE,7.2,GBP34.99,GBP3.93,9.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F2YZJQHL,"TYCOLE Vintage Pendulum Clock Building Block Set, Stem Toy with Real Clock Function and Linkable Mechanical Pendulum, Unique Home Decoration and Collectible for Adults&Kids 6+",TYCOLE,Toys & Games,MAYBE,7.5,GBP29.99,GBP3.05,10.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D952JGZG,Transformers Studio Series Voyager Class The Movie Constructicon Scrapper Action Figure,Transformers,Toys & Games,MAYBE,7.0,GBP29.99,GBP3.04,10.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08MV5F531,"JOYIN 160 PCS Washable Sidewalk Chalks Set Non-Toxic Jumbo Chalk for Outdoor Art Play, Painting on Chalkboard, Blackboard and Playground",JOYIN,Toys & Games,MAYBE,7.2,GBP26.99,GBP3.38,11.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D2PH8RV5,Magna-Tiles MicroMAGS 46-Piece Combi Set,Magna-Tiles,Toys & Games,MAYBE,7.2,GBP39.96,GBP3.26,14.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07ZS7J192,"Tonka Steel Classics | Mighty Dump Truck | Kids Construction Toys for Boys and Girls, Vehicle Toys for Creative Play, Motor Skill Development for Kids Ages 3+ | Basic Fun 06087 FFP",Tonka,Toys & Games,MAYBE-ROI,6.6,GBP31.99,GBP3.38,10.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07N8BWL4D,"Scalextric G1150M My First Scalextric Racing Track Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Racing Cars, 2x Controllers - Kids Toys Gifts",Scalextric,Toys & Games,MAYBE,7.0,GBP35.00,GBP4.80,5.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FKM878QV,"MAX Build More Premium Retro Series 2 4 Pack by ZURU – Novelty Unboxing Toy & Building Brick Collectible Minis with up to 674 Pieces, 4 Retro Designs to Build & Display, Ages 8+, Kids, Teens & Adults",Max Build More,Toys & Games,MAYBE,7.2,GBP29.99,GBP3.54,8.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FT73SNK1,"TYCOLE Flowers Bouquet Building Set - Purple Roses Botanical Collection Building Blocks for Adult Women, Artificial Flowers Gothic Home Decor Christmas Birthday Gift for Adults Kids Girls 6-12",TYCOLE,Toys & Games,MAYBE,7.5,GBP25.99,GBP3.04,7.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FK7HLT4C,"MAX Build More Premium Fuggler Collection 4 Pack by ZURU - Novelty Unboxing Toy & Building Brick Collectible Minis with up to 167 Pieces, Fun Designs to Build & Display, Ages 8+, Kids, Teens & Adults.",Max Build More,Toys & Games,MAYBE-ROI,6.9,GBP29.99,GBP3.54,8.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09J17B7X7,"Friday Night Dinner 1454 Jim 24cm Talking Plush, Interactive Free Standing Soft Toy, Age 15 Years+ (Recommended due to Language Content)",Friday Night Dinner,Toys & Games,MAYBE,7.5,GBP23.98,GBP3.04,5.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B003KKH9OW,"Douglas 4009 Dogs Border Collie Plush Toy, 20 cm Long",Douglas,Toys & Games,MAYBE-ROI,6.8,GBP23.20,GBP2.94,5.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0G52DTC9W,"Dress To Impress — Bubblegum Gal Fashion Doll — Series 1 Wave 1, Pink",Dress To Impress,Toys & Games,MAYBE-ROI,6.8,GBP22.99,GBP2.94,5.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
