asin,sale_price,profit,bsr,est_sales,max_cost,breakeven,offers,fba,fbm,amazon_on_listing,gated,hazmat,amazon_bb,private_label,total_fees
B003QXN3A2,20.00,9.98,10,300+/mo,6.98,,18,6,12,Y,Y,No,Probably,Unlikely,10.02
B00P14XLFQ,24.49,14.21,17,400+/mo,11.20,6.17,,,,Y,N,,Probably,Unlikely,10.28
B07C256525,31.20,16.52,33,50+/mo,13.21,9.54,4,2,2,Y,Y,No,Probably,Unlikely,14.68
B086DRVRDN,44.00,29.56,36,200+/mo,23.65,6.77,,,,Y,Y,,Probably,Unlikely,14.44
B092WGWR7N,28.89,21.27,40,10k+/mo,17.01,2.28,9,4,5,Y,Y,No,Probably,Unlikely,7.62
B076WRVJMQ,20.97,13.13,45,3k+/mo,10.13,4.26,,,,Y,Y,,Probably,Unlikely,7.84
B0757T151C,69.29,47.33,50,300+/mo,37.86,9.85,,,,Y,Y,No,Probably,Unlikely,21.96
B0CRQPV8MS,37.99,31.01,108,400+/mo,24.80,4.09,,,,Y,Y,No,Probably,Unlikely,6.98
B09BG46L4M,31.61,21.82,186,50+/mo,17.45,4.26,,,,Y,N,,Probably,This product has few historic sellers which is a sign it could be PL,9.79
B0C6CCBSGB,21.69,14.11,192,5k+/mo,11.10,3.97,,,,Y,Y,No,Not seen in 6 mths,Unlikely,7.58
B007IGMZBG,22.49,14.69,215,200+/mo,11.68,3.52,,,,Y,Y,,Probably,Unlikely,7.80
B07N8T2MYY,28.13,17.17,220,1k+/mo,13.73,6.17,,,,Y,Y,,Probably,Unlikely,10.96
B0DGQK7W1G,26.00,15.44,224,200+/mo,12.35,6.17,2,2,0,Y,Y,No,Probably,This product has few historic sellers which is a sign it could be PL,10.56
B07MG5ZMQ2,22.50,14.77,257,3k+/mo,11.77,3.97,13,3,10,Y,Y,No,Probably,Unlikely,7.73
B006ZN0JSE,20.95,13.51,260,3k+/mo,10.51,3.97,5,3,2,Y,Y,No,Not seen in 6 mths,Unlikely,7.44
B07Z9TX3DL,23.60,15.54,284,1k+/mo,12.42,3.98,,,,Y,N,,-,-,8.06
B07RMNXHXW,63.93,47.93,325,50+/mo,38.34,5.22,,,,Y,N,,-,-,16.00
B0BP2M4FD4,22.50,14.77,333,2k+/mo,11.77,3.97,,,,Y,N,,-,-,7.73
B00XKPWCJE,20.62,12.58,360,600+/mo,9.58,4.54,,,,Y,N,,-,-,8.04
B0CPYJ1FYB,55.99,39.36,366,50+/mo,31.48,7.78,,,,Y,N,,-,-,16.63
B00VV923O0,49.00,32.24,385,400+/mo,25.78,8.29,,,,Y,N,,-,-,16.76
B0038XBOJC,21.42,13.81,490,2k+/mo,10.81,4.05,,,,Y,N,,-,-,7.61
B08LDRRDQZ,48.65,36.05,521,100+/mo,28.83,4.05,,,,Y,N,,-,-,12.60
B06XWTTPNS,23.10,14.87,584,1k+/mo,11.86,4.26,,,,Y,N,,-,-,8.23
B09WRTMZ9H,20.55,10.99,578,1k+/mo,7.98,6.17,,,,Y,N,,-,-,9.56
B013UU05KQ,23.88,15.24,639,300+/mo,12.19,4.54,,,,Y,N,,-,-,8.64
B005QMVBOQ,37.99,24.66,589,50+/mo,19.72,6.77,,,,Y,N,,-,-,13.33
B0862HCH2K,24.70,16.19,668,900+/mo,12.95,4.24,,,,Y,N,,-,-,8.51
B00B23AUVS,26.10,17.32,689,500+/mo,13.85,4.90,,,,Y,N,,-,-,8.78
B07NSKGZ1V,31.90,22.44,713,50+/mo,17.95,3.97,,,,Y,N,,-,-,9.46
B09KJ7ZDXN,21.98,13.96,801,1k+/mo,10.96,4.87,,,,Y,N,,-,-,8.02
B07JHTZH15,29.43,19.77,811,200+/mo,15.81,4.54,,,,Y,N,,-,-,9.66
B07239T47Y,20.95,13.38,815,100+/mo,10.37,4.56,,,,Y,N,,-,-,7.57
B08B6G8PKZ,25.99,17.48,867,1k+/mo,13.98,4.58,,,,Y,N,,-,-,8.51
B06XWTZJW7,20.55,12.79,877,1k+/mo,9.78,4.26,,,,Y,N,,-,-,7.76
B0B49NZNQ6,25.99,17.24,1,100+/mo,13.79,4.87,,,,Y,N,,-,-,8.75
B097Y69LN5,25.99,17.23,934,1k+/mo,13.78,4.26,,,,Y,N,,-,-,8.76
B0094E7Z0G,22.40,14.96,959,1k+/mo,11.95,3.16,,,,Y,N,,-,-,7.44
B01MSIYEWD,23.74,15.66,971,1k+/mo,12.53,4.56,,,,Y,N,,-,-,8.08
B009F0D8X2,29.99,20.81,995,100+/mo,16.64,4.05,,,,Y,N,,-,-,9.18
B0F1SYXYTH,29.99,20.74,1,1k+/mo,16.59,3.99,,,,Y,N,,-,-,9.25
B0CKHXWTFQ,29.58,20.47,1,800+/mo,16.37,4.05,,,,Y,N,,-,-,9.11
B0874T1YWP,19.23,11.98,1,200+/mo,8.98,3.97,,,,Y,N,,-,-,7.25
B07FXLR4KF,54.99,41.30,1,50+/mo,33.03,3.97,,,,Y,N,,-,-,13.69
B0859Z1LXL,25.99,14.87,1,50+/mo,11.86,7.78,,,,Y,N,,-,-,11.12
B01MXDFB28,29.99,20.75,1,200+/mo,16.60,4.58,,,,Y,N,,-,-,9.24
B089P2DDM2,22.99,15.17,1,800+/mo,12.13,3.46,,,,Y,N,,-,-,7.82
B0CK4XD54P,23.95,15.56,1,700+/mo,12.44,4.26,,,,Y,N,,-,-,8.39
B08C35KHJX,28.86,16.74,1,50+/mo,13.39,7.27,,,,Y,N,,-,-,12.12
