supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Price-List,O-BARVARNPSFOR,5019301038082,Barry M Nail Paint Silk Nail Polish - Forest,UNIT,UNIT,110,0.47,0.564,51.699999999999996,62.03999999999999,REJECT,No Amazon match found,
Price-List,O-BARVARNPSORC,5019301038075,Barry M Nail Paint Silk Nail Polish - Orchid,UNIT,UNIT,110,0.47,0.564,51.699999999999996,62.03999999999999,REJECT,No Amazon match found,
Price-List,O-BORVARRDF44,3616301289685,Bourjois Nail Polish - 44 Rouge Defendu,UNIT,UNIT,12,0.8,0.96,9.600000000000001,11.520000000000001,REJECT,No Amazon match found,
Price-List,O-BOUVAR43,3616301289654,Bourjois Nail Polish - 43 Rose Du Satin,UNIT,UNIT,12,0.8,0.96,9.600000000000001,11.520000000000001,REJECT,No Amazon match found,
Price-List,BOUCONAFT053,3614222985624,Bourjois Healthy Mix Anti-Fatigue Concealer - 53 Dark,UNIT,UNIT,12,1.0,1.2,12.0,14.399999999999999,REJECT,No Amazon match found,
Price-List,BOUCONAFT054,3614226471208,Bourjois Healthy Mix Anti-Fatigue Concealer - 54 Golden Beige,UNIT,UNIT,12,1.3,1.56,15.600000000000001,18.720000000000002,REJECT,No Amazon match found,
Price-List,BOUCONHMX059,3616303915322,Bourjois Healthy Mix clean & Vegan Concealer - 59 Amber,UNIT,UNIT,12,0.6,0.72,7.199999999999999,8.639999999999999,REJECT,No Amazon match found,
Price-List,BOUCONHMX56.5,3616303915308,Bourjois Healthy Mix clean & Vegan Concealer - 56.5 Maple,UNIT,UNIT,12,1.5,1.7999999999999998,18.0,21.599999999999998,REJECT,No Amazon match found,
Price-List,BOUCONAFT055,3614226471222,Bourjois Healthy Mix Anti-Fatigue Concealer - 55 Honey,UNIT,UNIT,12,1.2,1.44,14.399999999999999,17.279999999999998,REJECT,No Amazon match found,
Price-List,BOUCONAFB600,3614228689908,Bourjois Always Fabulous 24 Hour Concealer - 600 Chocolate,UNIT,UNIT,12,0.4,0.48,4.800000000000001,5.760000000000001,REJECT,No Amazon match found,
Price-List,O-BORBRWNAT23,3052503952307,Bourjois Brow Natural Felt Tip Pen 23 Brun,UNIT,UNIT,12,0.94,1.128,11.28,13.536,REJECT,No Amazon match found,
Price-List,BOUEYLKHC007,3614223912162,Bourjois Khol & Contour Extra Long Wear Eye Pencil - 007 Prunissime,UNIT,UNIT,12,1.8,2.16,21.6,25.92,REJECT,No Amazon match found,
Price-List,BOUFOUFAB110,3614228413411,Bourjois Always Fabulous 24H Extreme Resist Foundation - 110 Light Vanilla,UNIT,UNIT,12,3.0,3.5999999999999996,36.0,43.199999999999996,REJECT,No Amazon match found,
Price-List,BOUFOUFAB115,3616302732760,Bourjois Always Fabulous 24H Extreme Resist Foundation - 115 Golden Ivory,UNIT,UNIT,12,1.6,1.92,19.200000000000003,23.040000000000003,REJECT,No Amazon match found,
