supplier,supplier_sku,ean,case_ean,asin,amazon_url,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,buy_cost,market_price,raw_conservative_price,floored_conservative_price,price_basis,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,max_buy_price,capital_exposure,size_tier,history_days,gated,decision,decision_reason,risk_flags
Price-List,O-BARVARNPSFOR,5019301038082,,B00NSPYK5K,https://www.amazon.co.uk/dp/B00NSPYK5K,"Barry M Cosmetics Silk Nail Paint, Forest",UNIT,UNIT,110,0.47,0.564,51.699999999999996,62.03999999999999,0.564,6.5,6.5,6.5,FBA,3.6479999999999997,3.6479999999999997,2.2880000000000003,2.2880000000000003,0.35200000000000004,0.35200000000000004,,0.3520000000000003,0.564,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £2.29, conservative £2.29 (min £2.50)",INSUFFICIENT_HISTORY
Price-List,O-BARVARNPSORC,5019301038075,,B00O24MNTQ,https://www.amazon.co.uk/dp/B00O24MNTQ,"Barry M Cosmetics Silk Nail Paint, Orchid",UNIT,UNIT,110,0.47,0.564,51.699999999999996,62.03999999999999,0.564,5.49,5.49,5.49,FBA,2.4716988,2.4716988,2.4543012,2.4543012,0.4470493989071038,0.4470493989071038,,0.5183012000000002,0.564,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £2.45, conservative £2.45 (min £2.50)",SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY
Price-List,O-BORVARRDF44,3616301289685,,B092WB5VH8,https://www.amazon.co.uk/dp/B092WB5VH8,1 Second Nail Polish 044 9 ml,UNIT,UNIT,12,0.8,0.96,9.600000000000001,11.520000000000001,0.96,,,,,,,,,,,,,,UNKNOWN,90.0,UNKNOWN,REJECT,No valid market price,
Price-List,O-BOUVAR43,3616301289654,,B092W7QCGG,https://www.amazon.co.uk/dp/B092W7QCGG,1 SECONDE nail polish #043 9 ml,UNIT,UNIT,12,0.8,0.96,9.600000000000001,11.520000000000001,0.96,4.99,4.99,4.99,FBA,2.6402376,2.6402376,1.3897624000000004,1.3897624000000004,0.27850949899799604,0.27850949899799604,,-0.15023759999999964,0.96,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £1.39, conservative £1.39 (min £2.50)",SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY
Price-List,BOUCONAFT053,3614222985624,,B06ZZ2NRS3,https://www.amazon.co.uk/dp/B06ZZ2NRS3,Corrector Healthy Mix Vitaminas,UNIT,UNIT,12,1.0,1.2,12.0,14.399999999999999,1.2,4.64,4.64,4.64,FBA,3.3477696,3.3477696,0.09223039999999982,0.09223039999999982,0.01987724137931031,0.01987724137931031,,-1.2077696000000002,1.2,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £0.09, conservative £0.09 (min £2.50)",SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY
Price-List,BOUCONAFT054,3614226471208,,B0B9LJQB7J,https://www.amazon.co.uk/dp/B0B9LJQB7J,3 x Bourjois Healthy Mix Anti Fatigue Concealer 7.8ml - 54 Golden Beige,UNIT,UNIT,12,1.3,1.56,15.600000000000001,18.720000000000002,1.56,10.83,10.83,10.83,FBA,4.1882016,4.1882016,5.0817984,5.0817984,0.46923346260387816,0.46923346260387816,,4.1417984,1.56,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,INSUFFICIENT_HISTORY
Price-List,BOUCONHMX059,3616303915322,,,,Bourjois Healthy Mix clean & Vegan Concealer - 59 Amber,UNIT,UNIT,12,0.6,0.72,7.199999999999999,8.639999999999999,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Price-List,BOUCONHMX56.5,3616303915308,,,,Bourjois Healthy Mix clean & Vegan Concealer - 56.5 Maple,UNIT,UNIT,12,1.5,1.7999999999999998,18.0,21.599999999999998,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Price-List,BOUCONAFT055,3614226471222,,B0B71TLBWT,https://www.amazon.co.uk/dp/B0B71TLBWT,2 x Bourjois Healthy Mix Anti Fatigue Concealer 7.8ml - 55 Honey,UNIT,UNIT,12,1.2,1.44,14.399999999999999,17.279999999999998,1.44,8.16,8.16,8.16,FBA,2.6044224,2.6044224,4.1155776,4.1155776,0.50436,0.50436,,3.0555776000000003,1.44,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY
Price-List,BOUCONAFB600,3614228689908,,B07Y8W6RCV,https://www.amazon.co.uk/dp/B07Y8W6RCV,Bourjois Always Fabulous Concealer - 600 Chocolate,UNIT,UNIT,12,0.4,0.48,4.800000000000001,5.760000000000001,0.48,3.44,3.44,3.44,FBA,2.0851296,2.0851296,0.8748703999999998,0.8748703999999998,0.2543227906976744,0.2543227906976744,,-1.1451296000000002,0.48,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £0.87, conservative £0.87 (min £2.50)",INSUFFICIENT_HISTORY
Price-List,O-BORBRWNAT23,3052503952307,,B00ZPJ0PB0,https://www.amazon.co.uk/dp/B00ZPJ0PB0,Bourjois Brow Duo Sculpt Eyebrow Pencil 23 Brun,UNIT,UNIT,12,0.94,1.128,11.28,13.536,1.128,6.97,6.97,6.97,FBA,2.4202836,2.4202836,3.4217163999999993,3.4217163999999993,0.49092057388809174,0.49092057388809174,,2.0497163999999994,1.128,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,INSUFFICIENT_HISTORY
Price-List,BOUEYLKHC007,3614223912162,,B071NTJJCR,https://www.amazon.co.uk/dp/B071NTJJCR,"Bourjois 2-in-1 Khôl and Contour Eyeliner and Eye Pencil 7 Prunissime, 1.2g",UNIT,UNIT,12,1.8,2.16,21.6,25.92,2.16,4.0,4.0,4.0,FBA,2.1369599999999997,2.1369599999999997,-0.2969599999999999,-0.2969599999999999,-0.07423999999999997,-0.07423999999999997,,-0.6369599999999997,2.16,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £-0.30, conservative £-0.30 (min £2.50)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Price-List,BOUFOUFAB110,3614228413411,,B0F4J8H38X,https://www.amazon.co.uk/dp/B0F4J8H38X,2 x Bourjois Always Fabulous 24hr Extreme Resist Foundation - 110 Light Vanilla,UNIT,UNIT,12,3.0,3.5999999999999996,36.0,43.199999999999996,3.5999999999999996,,,,FBM,,,,,0.0,0.0,,,3.5999999999999996,UNKNOWN,90.0,UNKNOWN,REVIEW,Gated status unknown; Conservative margin 0.0% below 10%,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Price-List,BOUFOUFAB115,3616302732760,,B09K83G4YP,https://www.amazon.co.uk/dp/B09K83G4YP,Bourjois,UNIT,UNIT,12,1.6,1.92,19.200000000000003,23.040000000000003,1.92,,,,FBM,,,,,0.0,0.0,,,1.92,UNKNOWN,90.0,UNKNOWN,REVIEW,Gated status unknown; Conservative margin 0.0% below 10%,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Price-List,BOUFOUFAB120,3614228413428,,B0BCGGHL66,https://www.amazon.co.uk/dp/B0BCGGHL66,3 x Bourjois Always Fabulous 24hr Extreme Resist Foundation - 120 Light Ivory,UNIT,UNIT,12,2.5,3.0,30.0,36.0,3.0,27.99,27.99,27.99,FBA,10.438199999999998,10.438199999999998,14.5518,14.5518,0.51989281886388,0.51989281886388,,15.0518,3.0,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,INSUFFICIENT_HISTORY; SIZE_TIER_UNKNOWN
Price-List,BOUFOUFAB200,3614228413442,,B07Y8WKWWT,https://www.amazon.co.uk/dp/B07Y8WKWWT,Bourjois Foundation Always Fabulous 200 Rose Vanilla,UNIT,UNIT,12,2.2,2.64,26.400000000000002,31.68,2.64,6.98,6.98,6.98,FBA,3.5749176,3.5749176,0.7650824000000003,0.7650824000000003,0.109610659025788,0.109610659025788,,0.9050824000000004,2.64,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £0.77, conservative £0.77 (min £2.50)",INSUFFICIENT_HISTORY
Price-List,BOUFOUFAB210,3614228413459,,B0BCGK579X,https://www.amazon.co.uk/dp/B0BCGK579X,3 x Bourjois Always Fabulous 24hr Extreme Resist Foundation - 210 Vanilla,UNIT,UNIT,12,2.4,2.88,28.799999999999997,34.559999999999995,2.88,26.91,26.91,26.91,FBA,10.2438,10.2438,13.786200000000001,13.786200000000001,0.5123076923076924,0.5123076923076924,,14.1662,2.88,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY; SIZE_TIER_UNKNOWN
Price-List,BOUFOUFAB310,3614228413466,,B07X12HPMY,https://www.amazon.co.uk/dp/B07X12HPMY,Bourjois Always Fabulous Foundation 310,UNIT,UNIT,12,2.5,3.0,30.0,36.0,3.0,6.99,6.99,6.99,FBA,3.5758788,3.5758788,0.4141212000000003,0.4141212000000003,0.05924480686695283,0.05924480686695283,,0.9141212000000003,3.0,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £0.41, conservative £0.41 (min £2.50)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Price-List,BOUFOUFAB400,3614228413473,,B08WJJL91H,https://www.amazon.co.uk/dp/B08WJJL91H,2 x Bourjois Always Fabulous 24hr Extreme Resist Foundation - 400 Rose Beige,UNIT,UNIT,12,2.9,3.48,34.8,41.76,3.48,13.05,13.05,13.05,FBA,7.748999999999999,7.748999999999999,1.821000000000002,1.821000000000002,0.13954022988505763,0.13954022988505763,,2.801000000000002,3.48,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £1.82, conservative £1.82 (min £2.50)",SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY; SIZE_TIER_UNKNOWN
Price-List,BOUFOUFAB425,3616302732753,,B09WRVB9MG,https://www.amazon.co.uk/dp/B09WRVB9MG,Bourjois,UNIT,UNIT,12,2.5,3.0,30.0,36.0,3.0,9.99,9.99,9.99,FBA,4.1402388,4.1402388,2.8497612000000005,2.8497612000000005,0.2852613813813814,0.2852613813813814,,3.3497612000000005,3.0,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,SINGLE_FBA_SELLER; INSUFFICIENT_HISTORY
Price-List,BOUFOUFAB520,3614228412995,,B07Y8W6X5D,https://www.amazon.co.uk/dp/B07Y8W6X5D,Bourjois Always Fabulous Foundation - 520 Caramel Total,UNIT,UNIT,12,1.8,2.16,21.6,25.92,2.16,7.99,7.99,7.99,FBA,3.6719988,3.6719988,2.1580012,2.1580012,0.27008775969962456,0.27008775969962456,,1.8180012000000003,2.16,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £2.16, conservative £2.16 (min £2.50)",INSUFFICIENT_HISTORY
Price-List,BOUFOUHMX053,3614222986072,,B072NRX7SX,https://www.amazon.co.uk/dp/B072NRX7SX,3 x Bourjois Healthy Mix Anti Fatigue Foundation 30ml Sealed - 53 Light Beige,UNIT,UNIT,12,6.6,7.919999999999999,79.19999999999999,95.03999999999998,7.919999999999999,,,,FBM,,,,,0.0,0.0,,,7.919999999999999,UNKNOWN,90.0,UNKNOWN,REVIEW,Gated status unknown; Conservative margin 0.0% below 10%,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Price-List,BOUFOUHMX054,3614222986089,,B078W898MS,https://www.amazon.co.uk/dp/B078W898MS,Bourjois Healthy Mix Foundation,UNIT,UNIT,12,3.8,4.56,45.599999999999994,54.71999999999999,4.56,,,,FBM,,,,,0.0,0.0,,,4.56,UNKNOWN,90.0,UNKNOWN,REVIEW,Gated status unknown; Conservative margin 0.0% below 10%,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Price-List,BOUFOUHMX055,3614222986096,,B06ZZX4H4P,https://www.amazon.co.uk/dp/B06ZZX4H4P,3 x Bourjois Healthy Mix Anti Fatigue Foundation 30ml - 55 Dark beige,UNIT,UNIT,12,7.0,8.4,84.0,100.8,8.4,,,,FBM,,,,,0.0,0.0,,,8.4,UNKNOWN,90.0,UNKNOWN,REVIEW,Gated status unknown; Conservative margin 0.0% below 10%,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Price-List,BOUFOUHMX057,3614222986119,,B079SD3WFR,https://www.amazon.co.uk/dp/B079SD3WFR,Bourjois Healthy Mix 2017 Foundation 57 Halé Foncé,UNIT,UNIT,12,3.5,4.2,42.0,50.4,4.2,,,,FBM,,,,,0.0,0.0,,,4.2,UNKNOWN,90.0,UNKNOWN,REVIEW,Gated status unknown; Conservative margin 0.0% below 10%,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Price-List,BOUFOUHMX058,3614222986126,,B01N2UYF4U,https://www.amazon.co.uk/dp/B01N2UYF4U,"Bourjois Healthy Mix Anti-Fatigue Medium Coverage Liquid Foundation 58 Caramel, 30ml",UNIT,UNIT,12,1.5,1.7999999999999998,18.0,21.599999999999998,1.7999999999999998,9.99,9.99,9.99,FBA,3.8642388,3.8642388,4.3257612000000005,4.3257612000000005,0.4330091291291292,0.4330091291291292,,3.6257612000000004,1.7999999999999998,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,INSUFFICIENT_HISTORY
