ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN
B0BZHDKW1V,"LeapFrog Magic Adventures Telescope, Kids Telescope for Beginner, Star Gazing Astronomy Toy, 100+ NASA Images & Videos, Real Telescope, Tripod, Gift for Kids & Adults, 5, 6, 7 +, English Version",LeapFrog,https://www.amazon.co.uk/dp/B0BZHDKW1V,Toys & Games,,MAYBE,CASH FLOW | 228/mo | GBP11.40 profit | GBP2599.20 monthly gross | stable | 19 sellers,CASH FLOW,1,CASH FLOW | GBP2599.20/mo | 228/mo | GBP11.40 unit profit | stable | 19 sellers,7.0,10,8,0,8,8.7,9.1,9.2,GBP2599,OK,STRONG,GBP55.85,GBP55.54,STABLE,GBP3.37,GBP4.77,GBP8.14,GBP36.30,GBP11.40,31.4%,GBP39.76,GBP44.45,11159,114,50,4.1,102,N,19,N,15%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,3417766145031,,
B0006SK3WG,"John Adams Hot Wires | Plug & Play Electronics Set With 100 Experiments | Perfect For Children Ages 8+ | Make, Experiment & Play With This Science & STEM Toy | Batteries Not Included | Easy To Use",John Adams,https://www.amazon.co.uk/dp/B0006SK3WG,Toys & Games,,MAYBE-ROI,CASH FLOW | 266/mo | GBP5.55 profit | GBP1476.30 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP1476.30/mo | 266/mo | GBP5.55 unit profit | stable | 5 sellers,6.2,10,8,3,1,7.5,5.5,6.9,GBP1476,OK,STRONG,GBP49.99,GBP48.01,RISING (4%),GBP3.48,GBP8.47,GBP11.95,GBP32.49,GBP5.55,17.1%,GBP31.70,GBP44.44,13893,133,100,4.6,2749,N,5,Y,84%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,"5015335034120, 5052615022514",,05015335034120
B0DFWQ6N2K,PUZZLE POTATO Tesla Puzzle Box - Electronic Brain Teaser Puzzle for Adults - Wooden Treasure Chest - Money Puzzlebox for Cash Gift - Escape Room Game in a Box,PUZZLE POTATO,https://www.amazon.co.uk/dp/B0DFWQ6N2K,Toys & Games,,MAYBE,BALANCED | 156/mo | GBP7.90 profit | GBP1232.40 monthly gross | stable | 3 sellers,BALANCED,1,BALANCED | GBP1232.40/mo | 156/mo | GBP7.90 unit profit | stable | 3 sellers,7.6,10,8,8,3,9.4,7.5,8.9,GBP1232,OK,STRONG,GBP59.90,GBP58.50,STABLE,GBP3.06,GBP10.00,GBP13.06,GBP38.94,GBP7.90,20.3%,GBP39.03,GBP52.00,13943,78,50,4.7,529,N,3,N,0%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,4260598030650,,
B0D8Y3L5FK,"ESAKO Telescope for Kids & Adults, 70mm Portable Beginner Telescopes with 3 Eyepieces, Height Adjustable Tripod & Phone Adapter",ESAKO,https://www.amazon.co.uk/dp/B0D8Y3L5FK,Toys & Games,,MAYBE,BALANCED | 100/mo | GBP8.48 profit | GBP848.00 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP848.00/mo | 100/mo | GBP8.48 unit profit | stable | 2 sellers,7.4,10,6,9,4,9.2,7.7,9,GBP848,OK,STRONG,GBP64.99,GBP60.73,RISING (7%),GBP3.49,GBP10.78,GBP14.27,GBP42.24,GBP8.48,20.1%,GBP42.27,GBP56.51,25535,27,100,4.2,539,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,
B079RVGZ62,"My Salah Mat for Kids - Smart Interactive Prayer Mat for Kids Learning the Salah - Fun & Easy Prayer Rug with 36 Touch Keys, 15 Languages, Speaker, & Booklets - Islamic Toys for Ages 3 to 8",My Salah Mat,https://www.amazon.co.uk/dp/B079RVGZ62,Toys & Games,,MAYBE,BALANCED | 132/mo | GBP4.57 profit | GBP603.20 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP603.20/mo | 132/mo | GBP4.57 unit profit | stable | 2 sellers,8.0,10,10,9,1,9.7,6.5,8.7,GBP603,OK,STRONG,GBP44.99,GBP46.01,STABLE,GBP3.48,GBP7.70,GBP11.18,GBP29.24,GBP4.57,15.6%,GBP28.18,GBP40.42,11637,66,100,4.3,920,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0637825989373, 0682141309664, 6222022014399","637825989373, 682141309664",
B000URHPLA,"Learning Resources Pretend & Play Calculator Cash Register, Ages 3+, Cash Register Toy for Kids, UK Play Money, Maths Skills, Gifts for Kids",Learning Resources,https://www.amazon.co.uk/dp/B000URHPLA,Toys & Games,,MAYBE-ROI,CASH FLOW | 182/mo | GBP3.22 profit | GBP586.00 monthly gross | stable | 8 sellers,CASH FLOW,1,CASH FLOW | GBP586.00/mo | 182/mo | GBP3.22 unit profit | stable | 8 sellers,6.4,10,10,1,1,7.5,4.3,6.6,GBP586,OK,STRONG,GBP38.17,GBP38.67,STABLE,GBP3.49,GBP6.65,GBP10.14,GBP24.81,GBP3.22,13.0%,GBP23.36,GBP34.95,11939,91,50,4.4,1930,N,8,Y,88%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0765023526295, 7123290130868, 0765023007459, 0765023626292, 0765023009170, 7332779835082","765023626292, 765023007459, 765023526295, 765023009170","00765023009170, 00765023526295, 00765023626292, 07123290130868, 07332779835082"
B00LU09HO4,Playmags 150 Pcs Magnetic Tiles Set for Kids - Colorful Stronger Magnets - 3D Magnetic Building Blocks - STEM Creative Construction Toys - Magnet Tiles For Kids,Playmags,https://www.amazon.co.uk/dp/B00LU09HO4,Toys & Games,,MAYBE,BALANCED | 84/mo | GBP5.08 profit | GBP426.70 monthly gross | stable | 5 sellers,BALANCED,1,BALANCED | GBP426.70/mo | 84/mo | GBP5.08 unit profit | stable | 5 sellers,7.4,10,10,6,1,9.3,6.3,8.5,GBP427,OK,STRONG,GBP47.99,GBP51.24,SLIGHT DIP (6%),GBP3.56,GBP8.16,GBP11.72,GBP31.19,GBP5.08,16.3%,GBP30.23,GBP42.91,15832,42,50,4.6,2520,N,5,Y,0%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0086138104605,086138104605,00086138104605
B083GFDX46,"Galt Giant Science Lab - Explore and Discover XL Science Kit for Kids, Childrens Craft Set, Guide Book and Lab Coat - 30 Fun STEM Science Experiments - Chemistry, Biology and Physics - For Ages 6 Plus",Galt,https://www.amazon.co.uk/dp/B083GFDX46,Toys & Games,,MAYBE,CASH FLOW | 272/mo | GBP1.44 profit | GBP391.70 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP391.70/mo | 272/mo | GBP1.44 unit profit | stable | 2 sellers,7.6,10,10,8,0,8.7,2.9,6.6,GBP392,OK,STRONG,GBP28.99,GBP28.99,STABLE,GBP3.48,GBP5.23,GBP8.71,GBP18.84,GBP1.44,7.6%,GBP16.90,GBP27.55,13396,136,100,4.6,881,N,2,N,61%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5011979592217,,05011979592217
B0DPYWZ124,"Telescope for Adults Beginners, 70mm Aperture 400mm AZ Mount Fully Multi-Coated Optics Refractor Portable Telescopes, Travel Telescope with Tripod Phone Adapter (White)",EACONN,https://www.amazon.co.uk/dp/B0DPYWZ124,Toys & Games,,MAYBE,BALANCED | 50/mo | GBP7.50 profit | GBP375.00 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP375.00/mo | 50/mo | GBP7.50 unit profit | stable | 2 sellers,7.4,10,8,9,1,8.6,6.5,8.3,GBP375,OK,STRONG,GBP59.99,GBP57.37,RISING (5%),GBP3.49,GBP10.01,GBP13.50,GBP38.99,GBP7.50,19.2%,GBP38.74,GBP52.49,16567,19,50,4.3,315,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,
B0FHQR4S6D,"Learning Resources Numberblocks Sing-Along Superhero Octoblock, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts Ages 3+",Learning Resources,https://www.amazon.co.uk/dp/B0FHQR4S6D,Toys & Games,,MAYBE-ROI,CASH FLOW | 100/mo | GBP3.18 profit | GBP318.00 monthly gross | stable | 8 sellers,CASH FLOW,1,CASH FLOW | GBP318.00/mo | 100/mo | GBP3.18 unit profit | stable | 8 sellers,6.4,10,8,4,1,8.7,4.8,7.7,GBP318,OK,STRONG,GBP35.31,GBP33.86,RISING (4%),GBP2.98,GBP6.20,GBP9.18,GBP22.95,GBP3.18,13.9%,GBP21.78,GBP32.13,18391,45,100,4.4,60,N,8,Y,48%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5055506414672,,
