ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0F2151TTD,"VTech Tune In TV, Interactive Learning Toy, Encourages Language Development, Develops Fine Motor Skills, Suitable for Ages 12, 18, 24, 36 Months, English Version",VTech,https://www.amazon.co.uk/dp/B0F2151TTD,Toys & Games,,24.40,21.65,-13.0%,10327,15673,75,50,9,0,Y,3.49,4.52,8.01,15.86,0.53,3.4%,13.66,23.87,97%,Mad-4-Toys Ltd (85%) / A2F06GBNBBVT5Q,no,4.6,52,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,3417765787034,,
B07T38R3N8,Ravensburger Happy Days Collection No.1 Look North 4x 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,Ravensburger,https://www.amazon.co.uk/dp/B07T38R3N8,Toys & Games,,27.89,27.26,-2.0%,13166,13475,56,50,6,0,Y,3.26,5.05,8.31,18.13,1.45,8.0%,16.31,26.44,37%,Grasshopper Toys (97%) / A25MWKDD5K0NGH,no,4.6,1148,12,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,4005556150328,,04005556150328
B0CX985LC7,"Learning Resources Numberblocks Rainbow Counting Bus, Ages 3+, Interactive Numberblocks Bus Toy Playset with Collectable Seven Figure Included, Plays 12 Songs and Sounds, CBeebies Toys",Learning Resources,https://www.amazon.co.uk/dp/B0CX985LC7,Toys & Games,,24.44,21.86,-12.0%,11015,12115,82,100,9,0,Y,3.15,4.53,7.68,15.89,0.88,5.5%,13.97,23.56,81%,Amazon,yes,4.7,197,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,5055506413071,,05055506413071
B0BZHDKW1V,"LeapFrog Magic Adventures Telescope, Kids Telescope for Beginner, Star Gazing Astronomy Toy, 100+ NASA Images & Videos, Real Telescope, Tripod, Gift for Kids & Adults, 5, 6, 7 +, English Version",LeapFrog,https://www.amazon.co.uk/dp/B0BZHDKW1V,Toys & Games,,55.85,55.54,-1.0%,11159,13617,114,50,19,0,N,3.37,4.77,8.14,36.30,11.40,31.4%,39.76,44.45,15%,RZHomestore® (86%) / ATGJP9HHHLK29,no,4.1,102,9,Y,5,STRONG,N,-,,,KEEPA,3417766145031,,
B079RVGZ62,"My Salah Mat for Kids - Smart Interactive Prayer Mat for Kids Learning the Salah - Fun & Easy Prayer Rug with 36 Touch Keys, 15 Languages, Speaker, & Booklets - Islamic Toys for Ages 3 to 8",My Salah Mat,https://www.amazon.co.uk/dp/B079RVGZ62,Toys & Games,,44.99,46.01,2.0%,11637,24789,66,100,2,0,N,3.48,7.70,11.18,29.24,4.57,15.6%,28.18,40.42,0%,Al-Muallim Books (89%) / A3MC22LB87O2YJ,no,4.3,920,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,"0637825989373, 0682141309664, 6222022014399","637825989373, 682141309664",
B000URHPLA,"Learning Resources Pretend & Play Calculator Cash Register, Ages 3+, Cash Register Toy for Kids, UK Play Money, Maths Skills, Gifts for Kids",Learning Resources,https://www.amazon.co.uk/dp/B000URHPLA,Toys & Games,,38.17,38.67,1.0%,11939,15649,91,50,8,0,Y,3.49,6.65,10.14,24.81,3.22,13.0%,23.36,34.95,88%,Amazon,yes,4.4,1930,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"0765023526295, 7123290130868, 0765023007459, 0765023626292, 0765023009170, 7332779835082","765023626292, 765023007459, 765023526295, 765023009170","00765023009170, 00765023526295, 00765023626292, 07123290130868, 07332779835082"
B0016FQK1Q,"PORTA PUZZLE Portapuzzle - XL Puzzle Board, Portable & Non-Slip Felt Jigsaw Board for up to 1500 Pieces - Lightweight, Easy to Store Mat, Sorter and Organiser - Dimensions 91 x 65 cm - Jumbo",PORTA PUZZLE,https://www.amazon.co.uk/dp/B0016FQK1Q,Toys & Games,,39.99,39.98,0.0%,12619,5642,132,100,2,0,Y,10.92,6.92,17.84,25.99,-3.85,-14.8%,18.46,43.84,0%,Accessory-Shop (92%) / A1YN6NMXJS8G5W,no,4.6,6993,12,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK; LOW SELLER CHECK,KEEPA,8710126108062,"743181785709, 787551784473","08710126108062, 08710126156919"
B083GFDX46,"Galt Giant Science Lab - Explore and Discover XL Science Kit for Kids, Childrens Craft Set, Guide Book and Lab Coat - 30 Fun STEM Science Experiments - Chemistry, Biology and Physics - For Ages 6 Plus",Galt,https://www.amazon.co.uk/dp/B083GFDX46,Toys & Games,,28.99,28.99,0.0%,13396,10270,136,100,2,0,N,3.48,5.23,8.71,18.84,1.44,7.6%,16.90,27.55,61%,JumboPlay (99%) / A1ZSHZHU841FDU,yes,4.6,881,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5011979592217,,05011979592217
B000NVLE6U,Revell 04300 Lancaster Mk.I/III 1:72 Scale Unbuilt/Unpainted Plastic Model Kit,Revell,https://www.amazon.co.uk/dp/B000NVLE6U,Toys & Games,,23.20,26.58,13.0%,13646,26172,72,50,20,0,Y,3.26,4.33,7.59,15.08,0.53,3.5%,13.01,22.67,60%,Amazon,yes,4.5,1311,4,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,4009803043005,,04009803043005
B082NMQ1PN,"Stoie's Wooden Toddler Musical Instruments with Drum, Hand Bells, Flute, Maracas, Castanet, Tamburine, for Babies and Kids, Eco Friendly Montessori Educational Toy",Stoie's,https://www.amazon.co.uk/dp/B082NMQ1PN,Toys & Games,,31.99,30.44,-5.0%,13686,9309,121,100,2,0,N,3.15,5.69,8.84,20.79,2.36,11.3%,19.29,29.63,0%,Stoie's Europe (82%) / A19BXZGZX6PG1N,yes,4.6,6697,15,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,4897101400145,,
