ASIN,Niche,Verdict,Reason,Date Added,Source Phase
B0912FBW19,educational-toys,NO,Score 6.9 | BSR 5k | 2 sellers | ROI 33%,2026-03-21,Phase 3
B0CMGJZX26,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B08775FPN5,educational-toys,NO,15 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0C8T6K6JT,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CHD8RCSJ,educational-toys,NO,18 sellers vs 500/mo = oversaturated,2026-03-21,Phase 3
B0D9LZZ2XY,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DL6DHLDM,educational-toys,NO,12 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0DJR99MZB,educational-toys,NO,19 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0CTQRNTBM,educational-toys,NO,19 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0B627PWJ1,educational-toys,NO,10 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0D9ZFJ3H1,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CTKTL56T,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0BF57RNPC,educational-toys,NO,12 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0DQY6WXQK,educational-toys,NO,11 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0BBRSLQ4B,educational-toys,NO,10 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0C47WG5KH,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0BDM23W3F,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B00AONWI1C,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B08WCKZMKH,educational-toys,NO,Score 6.3 | BSR 13k | 8 sellers | ROI 33%,2026-03-21,Phase 3
