ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0F17K1YGJ,"Dreamon Kids Cleaning Set – 11 PCS Toddler Cleaning Toys with Real Working Vacuum, Broom, Mop, Duster – Pretend Play Housekeeping Set for Boys & Girls Ages 3+, Birthday Gift",Dreamon,https://www.amazon.co.uk/dp/B0F17K1YGJ,Toys & Games,,25.40,27.45,7.0%,10075,11893,102,100,2,0,N,3.35,4.68,8.03,16.51,0.86,5.2%,14.48,24.54,0%,Dreamon Toy (100%) / A256SP82TNA1WB,yes,4.0,378,7,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0CFDWW5QW,"Lavievert Tilting Puzzle Board with 2-in-1 Designed Stand & Cover, Lightweight Felt Storage Case with 6 Drawers for Adults, Portable Jigsaw Puzzle Table for Games Up to 1000 Pieces",LAVIEVERT,https://www.amazon.co.uk/dp/B0CFDWW5QW,Toys & Games,,50.99,60.84,16.0%,10112,7537,99,100,2,0,N,4.95,8.62,13.57,33.14,4.28,12.9%,31.18,46.71,0%,FansMart-EU (93%) / A1HT5MPSBTM3LA,yes,4.2,717,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0FL4F6RTG,Dress To Impress — Lana Fashion Doll — Series 1 Wave 1,Dress To Impress,https://www.amazon.co.uk/dp/B0FL4F6RTG,Toys & Games,,22.99,22.70,-1.0%,10225,5815,143,200,10,0,Y,3.05,4.30,7.35,14.94,0.70,4.7%,13.03,22.29,99%,Amazon,yes,4.5,40,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0810087219482,810087219482,00810087219482
B0DP94Q2V2,Sylvanian Families - Village Cake Shop Starter Set 5807,Sylvanian Families,https://www.amazon.co.uk/dp/B0DP94Q2V2,Toys & Games,,25.99,29.24,11.0%,10239,13327,83,100,19,0,Y,3.26,4.76,8.02,16.89,1.07,6.3%,14.97,24.92,93%,Amazon,yes,4.8,119,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5054131058077,,05054131058077
B0F4M49S7L,Sylvanian Families - 5814 Snow Leopard Family - Dollhouse Playsets,Sylvanian Families,https://www.amazon.co.uk/dp/B0F4M49S7L,Toys & Games,,21.59,25.02,14.0%,10266,13735,90,100,13,0,Y,2.94,4.08,7.02,14.03,0.53,3.8%,12.14,21.06,93%,Amazon,yes,4.8,111,8,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5054131058145,,
B0FPXFQP8V,"LEGO | Disney Frozen Elsa's Ice Castle & Snow Ride Adventure Toy - incl. Anna & Elsa Mini Dolls, Olaf Figure, Train Track & Snow Carts - Gift for 4+ Year Old Girls - 43281",LEGO,https://www.amazon.co.uk/dp/B0FPXFQP8V,Toys & Games,,43.67,44.95,3.0%,10303,12939,60,100,19,0,Y,4.37,7.49,11.86,28.39,3.42,12.1%,26.51,40.25,99%,Amazon,yes,4.7,100,11,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5702018066720,,05702018066720
B0DJRDJ6RH,"Corgi Diecast Model Cars - RT26701 Batmobile with Batman and Robin - Men & Women Souvenir Gifts from UK - Small Die Cast Toy Car Models for Boys, Gift for Motor Enthusiasts",Corgi,https://www.amazon.co.uk/dp/B0DJRDJ6RH,Toys & Games,,29.16,31.75,8.0%,10319,10162,125,100,12,0,Y,2.94,5.25,8.19,18.95,2.02,10.6%,17.48,27.14,90%,Amazon,yes,4.7,310,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5063129028015,,
B00PPWG3OU,TAP-IT,Fotorama,https://www.amazon.co.uk/dp/B00PPWG3OU,Toys & Games,,24.24,22.28,-9.0%,10322,12288,135,100,11,0,Y,3.06,4.49,7.55,15.76,0.93,5.9%,13.91,23.31,70%,REACTIVE Stores (92%) / A1NZ48KZVHIFWN,no,4.4,647,4,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0730002011093,730002011093,00730002011093
B0DK7P75BG,"Marvel Legends Series Gamerverse Punisher and Nick Fury Action Figure Collectibles, 6-inch",Marvel,https://www.amazon.co.uk/dp/B0DK7P75BG,Toys & Games,,52.62,53.22,1.0%,10379,26146,69,200,6,0,Y,2.94,8.87,11.81,34.20,6.61,19.3%,34.01,46.01,95%,Amazon,yes,4.8,270,12,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5010996328380,,
B0D1GFRXWK,"Jelly Blox 2-in-1 Storage Kit - Includes 30 Blocks - Toddler & Preschool Building Blocks Kids Can Squeeze, Stretch, Squish - Safety Tested & Ouch-Free - Tactile, Sensory Play Toy for Ages 2 Plus",Jelly Blox,https://www.amazon.co.uk/dp/B0D1GFRXWK,Toys & Games,,23.99,28.03,14.0%,10398,3686,158,200,7,0,Y,3.49,4.46,7.95,15.59,0.45,2.9%,13.37,23.54,44%,Amazon,yes,4.5,389,5,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,8720077316935,,08720077316935
B0CH1MT69N,"Marvel Legends Series Iron Man Mark LXXXV Avengers: Endgame 6 Inch Action Figure, Red",Marvel,https://www.amazon.co.uk/dp/B0CH1MT69N,Toys & Games,,22.99,25.16,9.0%,10504,19655,73,100,14,0,N,2.94,4.30,7.24,14.94,0.81,5.4%,13.12,22.18,38%,Topline Retail Solutions Ltd (86%) / A1E,no,4.7,743,11,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,5010996202161,,
B00CREPP66,"LEGO DUPLO Train Bridge and Tracks Expansion Set - Educational Learning Toy for Toddlers - incl. 8 Track Pieces, a Bridge, Barrier & an Action Brick - Gift for 2+ Year Old Boys & Girls - 10426",LEGO,https://www.amazon.co.uk/dp/B00CREPP66,Toys & Games,,25.25,31.08,19.0%,10627,14691,70,100,18,0,Y,4.15,4.65,8.80,16.41,0.04,0.2%,13.71,25.21,92%,Amazon,yes,4.7,448,12,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5702017583815,,05702017583815
B0D9ZZBBGR,"Marvel Legends Series Spider-Man, Spider-Man 3 Action Figure, Spiderman 3",Marvel,https://www.amazon.co.uk/dp/B0D9ZZBBGR,Toys & Games,,27.99,28.01,0.0%,10647,21856,62,100,7,0,N,2.94,5.07,8.01,18.19,1.78,9.8%,16.65,26.21,94%,Ricky's Toys and Extras (98%) / A1R4YXMR,yes,4.7,729,10,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,,KEEPA,5010996296306,,
B0CFVY263W,"LEGO DUPLO Caring for Animals at the Farm - Montessori Learning Toy for Toddlers - incl. a Farmhouse with Horse, Cow & Chicken Animal Figures - Gift for 2+ Year Old Girls & Boys - 10416",LEGO,https://www.amazon.co.uk/dp/B0CFVY263W,Toys & Games,,46.85,48.43,3.0%,10762,13336,103,100,18,0,Y,4.15,7.99,12.14,30.45,4.26,14.0%,28.93,42.59,99%,Amazon,yes,4.8,1018,11,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5702017583266,,05702017583266
B0CQM48G6R,"Sylvanian Families - 5743 Sunny Castle Nursery - Dollhouse Playsets, 1:24",Sylvanian Families,https://www.amazon.co.uk/dp/B0CQM48G6R,Toys & Games,,27.99,27.52,-2.0%,10780,12051,87,100,18,0,Y,3.54,5.07,8.61,18.19,1.18,6.5%,16.15,26.81,99%,Amazon,yes,4.7,386,5,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5054131057438,,05054131057438
B00HRRAFWM,"Sylvanian Families 4172 Walnut Squirrel Family, Multicolor",Sylvanian Families,https://www.amazon.co.uk/dp/B00HRRAFWM,Toys & Games,,24.99,26.07,4.0%,10808,9716,102,100,18,0,Y,2.94,4.61,7.55,16.24,1.20,7.4%,14.53,23.79,97%,Amazon,yes,4.8,5864,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"5054131041727, 8711915031363","787718756251, 787793058936, 795036859592",05054131041727
B0F8C2J5XL,"AURORA, 61650, The Scarecrows' Wedding Harry O'Hay 11In, Soft Toy, Red & Blue",AURORA,https://www.amazon.co.uk/dp/B0F8C2J5XL,Toys & Games,,19.51,19.73,1.0%,8311,9213,105,100,11,0,Y,2.65,3.77,6.42,12.68,0.41,3.2%,10.91,19.10,40%,Bargains 4 Ever (83%) / A35HNEJQPN2OT3,no,4.7,19,7,N,4,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK; PRICE DRIFT,KEEPA,5034566616509,,
B07N8BWL4D,"Scalextric G1150M My First Scalextric Racing Track Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Racing Cars, 2x Controllers - Kids Toys Gifts",Scalextric,https://www.amazon.co.uk/dp/B07N8BWL4D,Toys & Games,,35.00,39.34,11.0%,10857,10320,151,100,3,0,Y,4.80,6.16,10.96,22.75,1.29,5.7%,20.04,33.71,89%,Amazon,yes,4.4,2310,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5055286654213,,05055286654213
B09FT6WPRH,Unibos Giant Four in A Row Garden Outdoor Game Childrens Kids Adult Family Fun Toy Pub Game,Unibos,https://www.amazon.co.uk/dp/B09FT6WPRH,Toys & Games,,24.00,24.17,1.0%,10984,34505,58,100,2,0,N,0.00,4.46,4.46,15.60,3.94,25.3%,16.29,20.06,0%,Unibos (87%) / A382R9CUOXTFOP,no,3.7,97,7,N,4,AVERAGE,Y,-,,LOW SELLER CHECK,KEEPA,,,
B072J2TPYR,Character Uk Ben And Hollys Little Kingdom Thistle Castle Playset,Ben & Holly,https://www.amazon.co.uk/dp/B072J2TPYR,Toys & Games,,21.99,27.61,20.0%,11037,10101,186,200,8,0,Y,3.38,4.15,7.53,14.29,0.17,1.2%,12.05,21.82,99%,Amazon,yes,4.7,919,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5029736064020,,05029736064020
B0CVGQ7BZD,"The Army Painter Warpaints Fanatic: Starter Set, 11 x 18 ml Acrylic Paints, incl. Metallics, Wash, Brush-On Primer, 1 Miniature 28 mm & 1 Brush - Miniature paint set for D&D & Warhammer Figures",The Army Painter,https://www.amazon.co.uk/dp/B0CVGQ7BZD,Toys & Games,,29.47,28.99,-2.0%,8715,6371,156,100,12,0,N,2.72,5.30,8.02,19.16,2.30,12.0%,17.88,27.17,0%,The Army Painter (96%) / A11OV3D7SUQB0C,yes,4.8,778,8,Y,5,STRONG,Y,-,MAYBE-ROI,,KEEPA,5713799806603,,05713799806603
B072R3MNMJ,"Bayer Charlene Super Model 27cm Doll Head for Hair Styling & Accessories - Styling Head with Brush, Comb, Clips & Curlers - Kids Hairdressing Play Set with Cosmetic Palette & Stickers (Ages 3+)",Bayer Design,https://www.amazon.co.uk/dp/B072R3MNMJ,Toys & Games,,31.99,33.45,4.0%,13325,25949,73,100,13,0,Y,3.54,5.69,9.23,20.79,1.97,9.5%,18.97,30.02,0%,BargainMax Online Ltd (80%) / A16ZATMMFE,no,4.4,5901,6,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,"0726312400092, 4003336900880",726312400092,04003336900880
B0DKQPKSMK,BABY born Mermaid - 43 cm large Doll - Premium hair with colourful strands - Glowing tail fin - Functions with batteries - Suitable for children from 3 years,BABY born,https://www.amazon.co.uk/dp/B0DKQPKSMK,Toys & Games,,27.99,25.14,-11.0%,11163,34526,67,100,3,0,Y,3.35,5.07,8.42,18.19,1.37,7.5%,16.31,26.62,96%,Amazon,yes,3.9,248,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,4001167837368,,
B0DQY6WXQK,"Hot Wheels City Toy Car Track Set, Ultimate Dual Dragon Transporter & 2 Die-Cast Cars, Large-Scale Dragon & Detachable Dragon, Stores 20+ Vehicles, JKJ79",Hot Wheels,https://www.amazon.co.uk/dp/B0DQY6WXQK,Toys & Games,,34.99,34.06,-3.0%,11228,10466,175,100,13,0,Y,4.95,6.15,11.10,22.74,1.15,5.0%,19.91,33.84,30%,BargainMax Online Ltd (80%) / A16ZATMMFE,no,4.8,965,7,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0194735351268,194735351268,
B08LNLC2KC,"BRIO World 33884 Battery Powered Steam Locomotive Toy Train Engine with Refillable Water Tank, Cool-Touch Realistic Steam & Headlights, Fits BRIO Wooden Railway Track, Ages 3+",BRIO,https://www.amazon.co.uk/dp/B08LNLC2KC,Toys & Games,,37.95,35.54,-7.0%,11286,7195,142,100,14,0,Y,2.94,6.60,9.54,24.67,3.74,15.2%,23.67,34.21,46%,GOSLING TOYS (84%) / A1YBPDDQWI3LL2,no,4.3,3864,8,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,7312350338843,,07312350338843
B01MYVG86M,"LEGO DUPLO 3in1 Wild Animal Families - Toddler Learning Toy for 2+ Year Old Girls & Boys - incl. Turtle, Tiger, Elephant, Deer & Panda Figures with Buildable Habitats - 10446",LEGO,https://www.amazon.co.uk/dp/B01MYVG86M,Toys & Games,,49.99,55.70,10.0%,11318,12935,124,100,14,0,Y,4.37,8.47,12.84,32.49,4.66,14.3%,30.96,45.33,98%,Amazon,yes,4.8,309,11,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5702017815558,,05702017815558
