ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason
B0F1SJY5S3,One Piece Card Game The Best Vol.2 (PRB-02) Booster Box (Japanese) - 10 Packs,BANDAI,https://www.amazon.co.uk/dp/B0F1SJY5S3,Toys & Games,,54.98,55.97,2.0%,11435,11341,119,100,5,0,N,2.94,9.24,12.18,35.74,7.06,19.8%,35.67,47.92,0%,UJC Mart Japan (96%) / A25YLNFJN45BO4,yes,4.3,581,3,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,4582769865206,,,10,10,6,1,7.4,9.4,6.7,8.8,BALANCED,1,1680.30,OK,BALANCED | GBP1680.30/mo | 238/mo | GBP7.06 unit profit | stable | 5 sellers,MAYBE,BALANCED | 238/mo | GBP7.06 profit | GBP1680.30 monthly gross | stable | 5 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
B0CGS363W3,"Magna-Tiles Downhill Duo 40-Piece Set, Black",Magna-Tiles,https://www.amazon.co.uk/dp/B0CGS363W3,Toys & Games,,69.99,74.38,6.0%,28689,43238,72,100,7,0,Y,3.48,11.55,15.03,45.49,9.46,20.8%,45.80,60.53,37%,Amazon,yes,4.7,894,7,N,4,AVERAGE,N,-,,AMAZON CHECK,KEEPA,"0008500251762, 0850025176231","008500251762, 850025176231",00850025176231,10,10,4,4,7.6,9.2,7.8,9,BALANCED,1,1362.20,OK,BALANCED | GBP1362.20/mo | 144/mo | GBP9.46 unit profit | stable | 7 sellers,MAYBE,BALANCED | 144/mo | GBP9.46 profit | GBP1362.20 monthly gross | stable | 7 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
B0CFDWW5QW,"Lavievert Tilting Puzzle Board with 2-in-1 Designed Stand & Cover, Lightweight Felt Storage Case with 6 Drawers for Adults, Portable Jigsaw Puzzle Table for Games Up to 1000 Pieces",LAVIEVERT,https://www.amazon.co.uk/dp/B0CFDWW5QW,Toys & Games,,50.99,60.84,16.0%,10112,7537,99,100,2,0,N,4.95,8.62,13.57,33.14,4.28,12.9%,31.18,46.71,0%,FansMart-EU (93%) / A1HT5MPSBTM3LA,yes,4.2,717,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,10,9,1,8,9.1,4.7,7.8,BALANCED,1,847.40,SQUEEZED,BALANCED | GBP847.40/mo | 198/mo | GBP4.28 unit profit | SQUEEZED | 2 sellers,MAYBE,BALANCED | 198/mo | GBP4.28 profit | GBP847.40 monthly gross | SQUEEZED | 2 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B09PQBM615,One Random PSA Graded and Authenticated Encased Pokemon Card (Perfect for Display),Pokémon,https://www.amazon.co.uk/dp/B09PQBM615,Toys & Games,,35.00,37.84,8.0%,14076,11548,98,100,6,0,N,1.87,6.15,8.02,22.75,4.23,18.6%,22.48,30.77,0%,CARD SHOP 1994 (0%) / ANAQE65GZKL1F,yes,3.4,1491,5,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0785571317923,785571317923,,9,10,4,1,6.7,9.2,5.9,8.2,BALANCED,1,829.10,OK,BALANCED | GBP829.10/mo | 196/mo | GBP4.23 unit profit | stable | 6 sellers,MAYBE-ROI,BALANCED | 196/mo | GBP4.23 profit | GBP829.10 monthly gross | stable | 6 sellers,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk
B0FZTTPL3Y,Yu-Gi-Oh! Maze of Muertos Display (24),Yu-Gi-Oh!,https://www.amazon.co.uk/dp/B0FZTTPL3Y,Toys & Games,,59.99,61.51,2.0%,12508,137951,37,100,2,0,Y,2.94,10.01,12.95,38.99,8.05,20.6%,39.20,51.94,69%,Amazon,yes,5.0,1,3,N,3,WEAK,N,-,,AMAZON CHECK; LOW SELLER CHECK,KEEPA,4012927194140,,,10,10,7,4,8.2,8.9,7.7,8.6,BALANCED,1,805.00,OK,BALANCED | GBP805.00/mo | 100/mo | GBP8.05 unit profit | stable | 2 sellers,BRAND APPROACH,BALANCED | 100/mo | GBP8.05 profit | GBP805.00 monthly gross | stable | 2 sellers,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk
B0FMYLXD28,"Scalextric - G1189M My First Let's Play! Racing Tracks Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Cars, 2x Controllers - Toys Gifts",Scalextric,https://www.amazon.co.uk/dp/B0FMYLXD28,Toys & Games,,36.99,39.41,6.0%,16969,9239,117,100,5,0,Y,3.49,6.46,9.95,24.04,3.00,12.5%,22.53,33.99,82%,Amazon,yes,4.6,53,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5063129042707,,,10,10,3,1,6.8,7.7,4.4,6.7,CASH FLOW,1,702.00,OK,CASH FLOW | GBP702.00/mo | 234/mo | GBP3.00 unit profit | stable | 5 sellers,MAYBE-ROI,CASH FLOW | 234/mo | GBP3.00 profit | GBP702.00 monthly gross | stable | 5 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0D1QN278M,"ZLemma Cardboard Construction Kit - 401 PCS Kids Building Set with Safe Serrated Cutter, Crease Roller, Screws & Nuts, STEM Upcycled Tool for DIY Cardboard Projects, Engineering & Creativity",ZLemma,https://www.amazon.co.uk/dp/B0D1QN278M,Toys & Games,,36.99,35.67,-4.0%,16017,12775,84,100,2,0,N,2.94,6.46,9.40,24.04,3.55,14.8%,22.99,33.44,0%,ZLemma (86%) / A1W8QN2T157NNV,yes,4.6,488,7,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,8,7,1,7,7.8,4.4,6.7,CASH FLOW,1,596.40,OK,CASH FLOW | GBP596.40/mo | 168/mo | GBP3.55 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 168/mo | GBP3.55 profit | GBP596.40 monthly gross | stable | 2 sellers,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk
B0DQ6C22M2,"MrBeast Lab Hybrids Mega Pack, Reveal Different Hybrid Parts To Create 5 Mix & Match Action Figures, Including a Mega Torso Panther Experiment To Reveal Hybrid's Real Colors, Collect 30+ Beasts",MRBEAST LAB,https://www.amazon.co.uk/dp/B0DQ6C22M2,Toys & Games,,39.99,39.99,0.0%,13057,11417,80,100,4,0,Y,3.54,6.92,10.46,25.99,3.53,13.6%,24.61,36.46,99%,Amazon,yes,4.5,646,7,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0630996249109,630996249109,,10,10,3,1,6.8,7.7,4.4,6.7,CASH FLOW,1,564.80,OK,CASH FLOW | GBP564.80/mo | 160/mo | GBP3.53 unit profit | stable | 4 sellers,MAYBE-ROI,CASH FLOW | 160/mo | GBP3.53 profit | GBP564.80 monthly gross | stable | 4 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
B0DQGR47MY,"ToyUnited Magnetic Building Blocks - 150PCS Magnetic Blocks Cubes Forest Portal, Stacking Tiles STEM Montessori Sensory Toys for Kids Boys Girls Ages 3 4 5 6 7 8 9 10 Christmas Birthday Gifts",ToyUnited,https://www.amazon.co.uk/dp/B0DQGR47MY,Toys & Games,,22.72,26.97,16.0%,11682,7185,151,100,4,0,N,2.72,3.38,6.10,14.77,1.85,12.5%,13.85,20.87,0%,Hei Hei Catering Group Limited (100%) / ,yes,4.3,180,7,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,0702291184550,702291184550,,10,10,6,0,7.2,8.8,3.5,6.9,CASH FLOW,1,558.70,SQUEEZED,CASH FLOW | GBP558.70/mo | 302/mo | GBP1.85 unit profit | SQUEEZED | 4 sellers,MAYBE,CASH FLOW | 302/mo | GBP1.85 profit | GBP558.70 monthly gross | SQUEEZED | 4 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B09FT6WPRH,Unibos Giant Four in A Row Garden Outdoor Game Childrens Kids Adult Family Fun Toy Pub Game,Unibos,https://www.amazon.co.uk/dp/B09FT6WPRH,Toys & Games,,24.00,24.17,1.0%,10984,34505,58,100,2,0,N,0.00,4.46,4.46,15.60,3.94,25.3%,16.29,20.06,0%,Unibos (87%) / A382R9CUOXTFOP,no,3.7,97,7,N,4,AVERAGE,Y,-,,LOW SELLER CHECK,KEEPA,,,,10,10,7,5,8.4,8.3,7,7.4,CASH FLOW,1,457.00,OK,CASH FLOW | GBP457.00/mo | 116/mo | GBP3.94 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 116/mo | GBP3.94 profit | GBP457.00 monthly gross | stable | 2 sellers,YES,NO,GENERIC,NO,UNLIKELY,HIGH,4,Medium,Brand=Seller match (YES) | Category HIGH risk
