ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN,Private Label Exclusion Reason
B0D1QN278M,"ZLemma Cardboard Construction Kit - 401 PCS Kids Building Set with Safe Serrated Cutter, Crease Roller, Screws & Nuts, STEM Upcycled Tool for DIY Cardboard Projects, Engineering & Creativity",ZLemma,https://www.amazon.co.uk/dp/B0D1QN278M,Toys & Games,,MAYBE,CASH FLOW | 168/mo | GBP3.55 profit | GBP596.40 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP596.40/mo | 168/mo | GBP3.55 unit profit | stable | 2 sellers,7.0,10,8,7,1,7.8,4.4,6.7,GBP596,OK,STRONG,GBP36.99,GBP35.67,RISING (4%),GBP2.94,GBP6.46,GBP9.40,GBP24.04,GBP3.55,14.8%,GBP22.99,GBP33.44,16017,84,100,4.6,488,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,,Brand 1P | Brand seller match | Brand store likely
B09FT6WPRH,Unibos Giant Four in A Row Garden Outdoor Game Childrens Kids Adult Family Fun Toy Pub Game,Unibos,https://www.amazon.co.uk/dp/B09FT6WPRH,Toys & Games,,MAYBE,CASH FLOW | 116/mo | GBP3.94 profit | GBP457.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP457.00/mo | 116/mo | GBP3.94 unit profit | stable | 2 sellers,8.4,10,10,7,5,8.3,7,7.4,GBP457,OK,AVERAGE,GBP24.00,GBP24.17,STABLE,GBP0.00,GBP4.46,GBP4.46,GBP15.60,GBP3.94,25.3%,GBP16.29,GBP20.06,10984,58,100,3.7,97,Y,2,N,0%,Likely,YES,NO,GENERIC,NO,UNLIKELY,HIGH,4,Medium,Brand=Seller match (YES) | Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,,Brand 1P | Brand seller match
B095J3PK5Y,Wildspire Fantasy Miniatures - Bookish Dragon for D&D & Pathfinder 28-32mm Bulk Miniatures,Wildspire,https://www.amazon.co.uk/dp/B095J3PK5Y,Toys & Games,,MAYBE,CASH FLOW | 152/mo | GBP2.55 profit | GBP387.60 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP387.60/mo | 152/mo | GBP2.55 unit profit | stable | 2 sellers,7.4,10,10,7,0,8,3.9,6.4,GBP388,OK,STRONG,GBP32.41,GBP33.41,SLIGHT DIP (3%),GBP3.04,GBP5.75,GBP8.79,GBP21.07,GBP2.55,12.1%,GBP19.68,GBP29.86,12257,76,100,4.6,1393,Y,2,N,0%,Likely,YES,NO,ESTABLISHED,YES,LIKELY,HIGH,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,00195893382460,Brand 1P | Brand seller match | Brand store likely | Established brand
B0D9WC3RVY,"THE TWIDDLERS 288 Boxes of Wax Crayons for Kids - 4 Per Box, 1,152 Total - Bulk Kids Crayons, Mixed Coloured Packs, Perfect for School Classrooms, Restaurants Colouring Activity, Party Bag Fillers",THE TWIDDLERS,https://www.amazon.co.uk/dp/B0D9WC3RVY,Toys & Games,,MAYBE,CASH FLOW | 100/mo | GBP3.50 profit | GBP350.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP350.00/mo | 100/mo | GBP3.50 unit profit | stable | 2 sellers,7.0,10,8,7,1,7.8,4.4,6.7,GBP350,OK,STRONG,GBP39.99,GBP38.41,RISING (4%),GBP3.57,GBP6.92,GBP10.49,GBP25.99,GBP3.50,13.5%,GBP24.58,GBP36.49,12426,42,100,4.5,36,Y,2,N,0%,Likely,YES,NO,SYNTHETIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5060686326547,,,Brand 1P | Brand seller match | Brand store likely
B0DTHJ3JH8,"8 in 1 Fish Tank Building Sets, Marine Aquarium Building Toy with LED Light Animal Miniature Landscape Including Octopus Crab, Christmas Birthday Gifts for Adults Boys Girls Kid Ages 6 8 10 12+",kiothdre,https://www.amazon.co.uk/dp/B0DTHJ3JH8,Toys & Games,,MAYBE-ROI,CASH FLOW | 200/mo | GBP1.68 profit | GBP336.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP336.00/mo | 200/mo | GBP1.68 unit profit | stable | 2 sellers,6.8,10,8,7,0,7.7,2.4,5.7,GBP336,OK,STRONG,GBP27.99,GBP27.76,STABLE,GBP3.04,GBP5.07,GBP8.11,GBP18.19,GBP1.68,9.3%,GBP16.56,GBP26.31,14759,58,200,4.4,205,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,,Brand 1P | Brand seller match | Brand store likely
B0DX2JPFQH,tonies Sleepy Friends Bear Night Light Audio Classic Character,tonies,https://www.amazon.co.uk/dp/B0DX2JPFQH,Toys & Games,,MAYBE,CASH FLOW | 126/mo | GBP1.75 profit | GBP220.50 monthly gross | stable | 3 sellers,CASH FLOW,1,CASH FLOW | GBP220.50/mo | 126/mo | GBP1.75 unit profit | stable | 3 sellers,7.0,10,10,5,0,7.8,2.6,5.8,GBP221,OK,AVERAGE,GBP27.99,GBP27.99,STABLE,GBP2.97,GBP5.07,GBP8.04,GBP18.19,GBP1.75,9.6%,GBP16.62,GBP26.24,12432,63,100,5.0,12,Y,3,N,0%,Likely,YES,NO,GENERIC,NO,UNLIKELY,HIGH,4,Medium,Brand=Seller match (YES) | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,4251192152497,,,Brand 1P | Brand seller match
B0F17K1YGJ,"Dreamon Kids Cleaning Set – 11 PCS Toddler Cleaning Toys with Real Working Vacuum, Broom, Mop, Duster – Pretend Play Housekeeping Set for Boys & Girls Ages 3+, Birthday Gift",Dreamon,https://www.amazon.co.uk/dp/B0F17K1YGJ,Toys & Games,,MAYBE,CASH FLOW | 204/mo | GBP0.86 profit | GBP175.40 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP175.40/mo | 204/mo | GBP0.86 unit profit | stable | 2 sellers,7.4,10,10,7,0,8,2.3,5.6,GBP175,OK,STRONG,GBP25.40,GBP27.45,SLIGHT DIP (7%),GBP3.35,GBP4.68,GBP8.03,GBP16.51,GBP0.86,5.2%,GBP14.48,GBP24.54,10075,102,100,4.0,378,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,,Brand 1P | Brand seller match | Brand store likely
B0DQPLXBKR,"BONNYCO Magnetic Tiles for Kids with Animal Figures 50 PCS. Stem Toys for Children in 2D 3D with Illustrations, Educational Games. Birthday Gifts for Kids 4 5 6 7 8 9 10 Years Old",BONNYCO,https://www.amazon.co.uk/dp/B0DQPLXBKR,Toys & Games,,MAYBE,CASH FLOW | 100/mo | GBP1.63 profit | GBP163.00 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP163.00/mo | 100/mo | GBP1.63 unit profit | stable | 2 sellers,7.4,10,10,7,0,8,2.7,5.9,GBP163,OK,STRONG,GBP29.99,GBP30.36,STABLE,GBP3.48,GBP5.38,GBP8.86,GBP19.49,GBP1.63,8.4%,GBP17.61,GBP28.36,16693,48,100,4.8,147,Y,2,N,0%,Likely,YES,NO,SYNTHETIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,8436589961258,,,Brand 1P | Brand seller match | Brand store likely
B09MHV9NF1,200 Conversation Cards - Help Kids Enjoy Talking and Listening - Great for Car Rides and Family Dinners - A New Way for Kids to Express Themselves,TALKING POINT CARDS,https://www.amazon.co.uk/dp/B09MHV9NF1,Toys & Games,,MAYBE,CASH FLOW | 100/mo | GBP1.13 profit | GBP113.00 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP113.00/mo | 100/mo | GBP1.13 unit profit | stable | 2 sellers,7.4,10,10,7,0,7.7,2.3,5.4,GBP113,OK,STRONG,GBP24.97,GBP24.97,STABLE,GBP3.00,GBP4.61,GBP7.61,GBP16.23,GBP1.13,7.0%,GBP14.47,GBP23.84,21496,44,100,4.7,999,Y,2,N,0%,Likely,YES,NO,ESTABLISHED,YES,LIKELY,HIGH,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,9358053000050,,09358053000050,Brand 1P | Brand seller match | Brand store likely | Established brand
B07SK99ZGX,"The Magic Toy Shop Traffic Light Toy with Sounds & Lights, Including 3 Road Signs - Dual Modes, Battery Operated, Interactive - Road Safety for Kids, Educational Outdoor Role Play Toys for Children",The Magic Toy Shop,https://www.amazon.co.uk/dp/B07SK99ZGX,Toys & Games,,MAYBE,CASH FLOW | 100/mo | GBP0.80 profit | GBP80.00 monthly gross | stable | 2 sellers,CASH FLOW,3,CASH FLOW | GBP80.00/mo | 100/mo | GBP0.80 unit profit | stable | 2 sellers,7.4,10,10,7,0,7.4,2.1,5.1,GBP80,OK,STRONG,GBP24.99,GBP24.99,STABLE,GBP3.34,GBP4.61,GBP7.95,GBP16.24,GBP0.80,4.9%,GBP14.20,GBP24.19,16661,43,100,4.0,224,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5060621846451,,,Brand 1P | Brand seller match | Brand store likely
