ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0FM27FZFS,"Gimars 30D High-Density Foam & Extra-Wide, Stable 3-Step Dog Stairs, 40cm High Pet Stairs with Washable Cover & Non-Slip Base, Portable Ramp for Small Dogs to Sofa, Bed, Couch, Car",Gimars,https://www.amazon.co.uk/dp/B0FM27FZFS,Pet Supplies,OK,38.89,40.03,3.0%,10020,78754,11,0,3,0,Y,3.54,6.75,10.29,25.28,3.32,13.1%,23.83,35.57,84%,G-Official Store (100%) / A3JX1L7LVWK1A7,yes,4.6,469,7,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0810177902317,810177902317,
B07YRCCG6Z,"INGVIEE Set of Compatible Filter Sponge for Juwel Compact/Bioflow 3.0 / M (1 x Blue Fine, 1 x Blue Coarse, 1 x Green Nitrate, 2 x Black Carbon, 5 x Poly pads)",INGVIEE,https://www.amazon.co.uk/dp/B07YRCCG6Z,Pet Supplies,OK,24.99,22.14,-13.0%,10054,9507,43,0,2,0,N,2.98,4.61,7.59,16.24,1.16,7.1%,14.50,23.83,0%,autumngreat (100%) / A2P9NG2LGZFXS,yes,4.6,372,1,N,3,WEAK,N,-,MAYBE-ROI,PRICE CHECK; LOW SELLER CHECK,KEEPA,0681013428403,681013428403,
B09QRFC5TV,"VOUNOT® Cat Tree Tower, 88cm Cat Condo with Scratching Post, Multi Level Cat Climbing Play House Indoors, Grey",VOUNOT,https://www.amazon.co.uk/dp/B09QRFC5TV,Pet Supplies,OK,36.99,36.99,0.0%,10081,12690,18,0,2,0,Y,3.37,6.46,9.83,24.04,3.12,13.0%,22.63,33.87,100%,Amazon,yes,4.0,2052,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,6973424411469,,
B0F4KW75ZS,"DOG Copenhagen Comfort Walk Pro 3.0 Dog Harness - Top and Front Clip Training Harness with Handle - For Small and Large Dogs - Padded for Comfort - Reflective Trims - No Pull, Desert Dune, S",DOG Copenhagen,https://www.amazon.co.uk/dp/B0F4KW75ZS,Pet Supplies,OK,45.95,47.55,3.0%,10766,14282,13,0,2,0,N,2.72,7.84,10.56,29.87,5.52,18.5%,29.49,40.43,0%,DOG Copenhagen UK (75%) / A2GR276GEDLUB7,no,4.6,387,8,N,4,AVERAGE,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5740000305563,,
B0F3XN3WV4,"BMaoBBo Back Seat Extender for Dogs - Dog Car Seat Cover [127 x 62 cm], Waterproof & Foldable, Scratch-Resistant with Hard Shell, Dog Back Seat Cover for SUVs and Family Cars, Removable (Black)",BMaoBBo,https://www.amazon.co.uk/dp/B0F3XN3WV4,Pet Supplies,OK,45.88,45.24,-1.0%,10104,16595,68,200,2,0,N,3.38,7.83,11.21,29.82,4.85,16.3%,28.89,41.03,0%,Yiyixun (0%) / A210XUG9JXLRCF,yes,4.5,246,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0BQZ1VPB4,"Snug Super Fluffy Large Dog Bed - Super Soft, Cosy and Comfortable Cat Dog Pet Bed Pillow Mattress Sofa Cushion with Non-Slip Base and Machine Washable Cover - Large - 90 x 60 x 11cm - Grey",Snug is happy sleep,https://www.amazon.co.uk/dp/B0BQZ1VPB4,Pet Supplies,OK,25.50,25.50,0.0%,11114,7493,60,0,2,0,Y,15.72,4.69,20.41,16.57,-11.49,-69.3%,4.24,36.99,0%,Branded_Bedding (88%) / A2A91FYQGBB57E,no,4.6,384,9,N,4,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK; LOW SELLER CHECK,KEEPA,5012701559775,,
B0BPMP5773,BullyBillows Anti-Tangle Swivel Combat Dog Lead | Padded Handle For Easier Walks | Anti Tangle & Pressure Tested Dog Lead | Suitable For All Dog Breeds - Khaki,BullyBillows,https://www.amazon.co.uk/dp/B0BPMP5773,Pet Supplies,OK,30.98,28.20,-10.0%,10155,8343,56,0,3,0,N,2.72,5.53,8.25,20.14,2.59,12.9%,18.94,28.39,0%,Bullybillows (82%) / A2B3M6Y9S5XRCZ,yes,4.8,209,6,Y,5,STRONG,Y,-,MAYBE-ROI,PRICE CHECK,KEEPA,5060980098379,,05060980098379
B08B8Z2XHB,Royal Canin Dachshund Puppy Food 1.5kg (Pack of 2),MALTBYS' STORES 1904 LTD,https://www.amazon.co.uk/dp/B08B8Z2XHB,Pet Supplies,OK,25.69,27.60,7.0%,10156,11272,114,100,8,0,N,0.00,4.72,4.72,16.70,4.27,25.6%,17.48,21.42,0%,CLICK&*SAVE (63%) / AWTC5ZLK180Q8,no,4.6,97,9,N,4,AVERAGE,N,-,,,KEEPA,9145456618179,,09145456618179
B09M49HNKS,Bactador Enzyme Cleaner Concentrate 10L - Enzymatic cleaner & Cat urine enzyme cleaner - Pet carpet cleaner - Microbiological urine neutraliser - Pet stain and odour remover - Makes up to 500 litres,Bactador,https://www.amazon.co.uk/dp/B09M49HNKS,Pet Supplies,HEAVY,54.99,63.23,13.0%,10181,8583,43,0,2,0,Y,3.58,8.10,11.68,35.74,7.57,21.2%,36.09,47.42,25%,Linivex Goods (80%) / A2H8E5HWYVUNND,yes,4.4,3459,7,Y,5,STRONG,N,-,,AMAZON CHECK; LOW SELLER CHECK,KEEPA,4019181501622,,
B0DNLZGK52,"PILIN Small Animal Playpen, Pet Playpen with Waterproof Mat, Rabbit, Guinea Pig, Puppy, Playpen, Indoor & Outdoor Portable 43x32 12pcs Black",PILIN,https://www.amazon.co.uk/dp/B0DNLZGK52,Pet Supplies,OK,27.99,27.99,0.0%,11235,29360,16,0,2,0,N,3.38,5.07,8.45,18.19,1.34,7.4%,16.28,26.65,0%,PILIN (100%) / A2FWXBI8C8TZKU,yes,4.0,360,8,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,0752010627288,752010627288,
