ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason
B0F4Y3H1JK,"Arden Grange Adult Light Dry Dog Food, Chicken, 11.5 kg",Arden Grange,https://www.amazon.co.uk/dp/B0F4Y3H1JK,Pet Supplies,OK,47.91,47.90,0.0%,13402,7073,88,100,7,0,N,0.00,8.15,8.15,31.14,8.62,27.7%,33.13,39.29,0%,pets Premium (88%) / A1EH703F272BXZ,no,4.5,29,7,Y,5,STRONG,N,-,,,KEEPA,5028399002899,,,10,10,4,6,8,9.3,8.5,9.3,BALANCED,1,1517.10,OK,BALANCED | GBP1517.10/mo | 176/mo | GBP8.62 unit profit | stable | 7 sellers,MAYBE,BALANCED | 176/mo | GBP8.62 profit | GBP1517.10 monthly gross | stable | 7 sellers
B01N9TQKSN,"AntHouse - Natural Sand Ant Hill | Acrylic T BIG Kit 25x20x1,5 cm | Ant Farm",AntHouse,https://www.amazon.co.uk/dp/B01N9TQKSN,Pet Supplies,OK,69.99,69.99,0.0%,29479,34798,44,0,3,0,N,0.00,11.56,11.56,45.49,12.94,28.4%,48.69,57.05,0%,AntHouse (60%) / A3H3Z3HUCD58FX,no,4.5,254,7,Y,5,STRONG,Y,-,,,KEEPA,"3336600097353, 4013307512028, 8435151224449, 8437002399245",,,9,10,6,6,8.1,8.2,8.4,8.3,BALANCED,1,1138.70,OK,BALANCED | GBP1138.70/mo | 88/mo | GBP12.94 unit profit | stable | 3 sellers,MAYBE,BALANCED | 88/mo | GBP12.94 profit | GBP1138.70 monthly gross | stable | 3 sellers
B01EVDZQ5K,"PetSafe Extreme Weather Pet Door - Triple Flap, Energy Efficient, Customisable Frame - Small",PetSafe,https://www.amazon.co.uk/dp/B01EVDZQ5K,Pet Supplies,OK,52.89,52.63,0.0%,10705,4886,81,0,2,0,N,3.05,8.91,11.96,34.38,6.55,19.0%,34.11,46.34,0%,Pattern UK (99%) / A2U0XEBDSNTC63,yes,4.2,2789,6,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,"0729849157941, 7922315291801",729849157941,00729849157941,10,10,9,1,8,9.7,6.8,9,BALANCED,1,1061.10,OK,BALANCED | GBP1061.10/mo | 162/mo | GBP6.55 unit profit | stable | 2 sellers,MAYBE,BALANCED | 162/mo | GBP6.55 profit | GBP1061.10 monthly gross | stable | 2 sellers
B07PWY4TKK,Royal Canin Shih Tzu Adult Breed Dry Dog Food 7.5kg,MALTBYS' STORES 1904 LTD,https://www.amazon.co.uk/dp/B07PWY4TKK,Pet Supplies,OK,47.59,49.31,3.0%,25366,27426,58,0,3,0,N,0.00,8.10,8.10,30.93,8.56,27.7%,32.91,39.03,0%,CLICK&*SAVE (63%) / AWTC5ZLK180Q8,no,4.8,92,9,N,4,AVERAGE,N,-,,,KEEPA,0700425370152,700425370152,,9,10,8,6,8.5,9.7,8.7,9.5,BALANCED,1,993.00,OK,BALANCED | GBP993.00/mo | 116/mo | GBP8.56 unit profit | stable | 3 sellers,YES,BALANCED | 116/mo | GBP8.56 profit | GBP993.00 monthly gross | stable | 3 sellers
B00GOO1WI0,Synoquin Joint Supplement for Dogs 120 Tablets,VetPlus,https://www.amazon.co.uk/dp/B00GOO1WI0,Pet Supplies,OK,68.75,68.41,0.0%,19123,19532,47,0,5,0,N,3.00,11.36,14.36,44.69,9.70,21.7%,45.32,59.05,0%,Pet Drugs Online (96%) / A32HMNP2U03655,no,4.4,108,1,N,3,WEAK,N,-,,,KEEPA,5031812522393,,,10,10,6,4,8,9.5,7.9,9.3,BALANCED,1,911.80,OK,BALANCED | GBP911.80/mo | 94/mo | GBP9.70 unit profit | stable | 5 sellers,MAYBE,BALANCED | 94/mo | GBP9.70 profit | GBP911.80 monthly gross | stable | 5 sellers
B09YVP3L22,"Fzone Aquarium ATO Auto Top Off Refilling System with Pump, Aquarium Water Refiller with Dual Optical Sensor, Upgraded QST Tech and Smart ETFT Algorithm for Both Reef and Plant Tank",FZONE,https://www.amazon.co.uk/dp/B09YVP3L22,Pet Supplies,OK,69.00,69.00,0.0%,29670,27483,46,0,2,0,N,3.04,11.40,14.44,44.85,9.71,21.6%,45.47,59.29,0%,Fzone Studio EU (100%) / A34VG29VZ37UXD,yes,4.2,898,6,Y,5,STRONG,Y,-,,LOW SELLER CHECK,KEEPA,0764595878146,764595878146,,10,10,7,4,8.2,8.2,7.5,8,BALANCED,1,893.30,OK,BALANCED | GBP893.30/mo | 92/mo | GBP9.71 unit profit | stable | 2 sellers,MAYBE,BALANCED | 92/mo | GBP9.71 profit | GBP893.30 monthly gross | stable | 2 sellers
B0B35WP78F,Royal Canin Sterilised Adult In Gravy Wet Cat Food 85g (Pack of 48),ROYAL CANIN,https://www.amazon.co.uk/dp/B0B35WP78F,Pet Supplies,OK,47.99,53.36,10.0%,14961,23437,50,0,5,0,N,0.00,8.16,8.16,31.19,8.63,27.7%,33.19,39.36,0%,Maltbys Stores (96%) / A2UNARK72ZQK2,no,5.0,14,9,N,4,AVERAGE,N,-,,,KEEPA,3182559344402,,,10,10,5,6,8.2,8.9,8,8.8,BALANCED,1,863.00,SQUEEZED,BALANCED | GBP863.00/mo | 100/mo | GBP8.63 unit profit | SQUEEZED | 5 sellers,MAYBE,BALANCED | 100/mo | GBP8.63 profit | GBP863.00 monthly gross | SQUEEZED | 5 sellers
B08WJBRKD4,Bamfords Top Flight Premium Parrot Food with Fruit (12.5kg),Bamfords Top Flight,https://www.amazon.co.uk/dp/B08WJBRKD4,Pet Supplies,OK,32.99,32.99,0.0%,10682,10585,66,100,2,0,N,0.00,5.85,5.85,21.44,5.70,26.6%,22.62,27.29,0%,Food For Birds (94%) / A1I96Z4DTQRLCR,no,4.4,148,4,N,3,AVERAGE,N,-,,LOW SELLER CHECK,KEEPA,5060023157667,,,10,10,9,5,8.8,9.8,8,9,BALANCED,1,752.40,OK,BALANCED | GBP752.40/mo | 132/mo | GBP5.70 unit profit | stable | 2 sellers,YES,BALANCED | 132/mo | GBP5.70 profit | GBP752.40 monthly gross | stable | 2 sellers
B00IF6VJQA,Science Supplements ProKalm Horse Calmer Aid x Size: 1.1 Kg Tub,Science Supplements,https://www.amazon.co.uk/dp/B00IF6VJQA,Pet Supplies,OK,52.99,52.28,-1.0%,19775,32094,38,0,2,0,N,0.00,8.93,8.93,34.44,9.61,27.9%,36.71,43.38,0%,Leeders Animal Supplies Ltd (89%) / A3BA,no,4.8,31,1,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,,,,10,8,9,6,8.4,9.1,8.4,9,BALANCED,1,730.40,OK,BALANCED | GBP730.40/mo | 76/mo | GBP9.61 unit profit | stable | 2 sellers,BRAND APPROACH,BALANCED | 76/mo | GBP9.61 profit | GBP730.40 monthly gross | stable | 2 sellers
B00GZWOWG0,"Cosequin Nutramax Maximum Strength Joint Health Supplement for Dogs - With Glucosamine, Chondroitin, and MSM, 250 Chewable Tablets",Nutramax Laboratories,https://www.amazon.co.uk/dp/B00GZWOWG0,Pet Supplies,OK,64.99,65.54,1.0%,21112,17008,39,0,2,0,N,3.04,10.78,13.82,42.24,8.93,21.1%,42.64,56.06,0%,Harnof (100%) / A1PKBNUKNXGHK2,yes,4.7,57929,8,N,4,AVERAGE,N,-,,LOW SELLER CHECK,KEEPA,0755970405125,755970405125,00755970405125,10,10,9,4,8.6,9.4,8,9.1,BALANCED,1,696.50,OK,BALANCED | GBP696.50/mo | 78/mo | GBP8.93 unit profit | stable | 2 sellers,YES,BALANCED | 78/mo | GBP8.93 profit | GBP696.50 monthly gross | stable | 2 sellers
