ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0F4Y3H1JK,"Arden Grange Adult Light Dry Dog Food, Chicken, 11.5 kg",Arden Grange,Pet Supplies,MAYBE,8.0,GBP47.91,GBP0.00,27.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01EVDZQ5K,"PetSafe Extreme Weather Pet Door - Triple Flap, Energy Efficient, Customisable Frame - Small",PetSafe,Pet Supplies,MAYBE,8.0,GBP52.89,GBP3.05,19.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07PWY4TKK,Royal Canin Shih Tzu Adult Breed Dry Dog Food 7.5kg,MALTBYS' STORES 1904 LTD,Pet Supplies,YES,8.5,GBP47.59,GBP0.00,27.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00GOO1WI0,Synoquin Joint Supplement for Dogs 120 Tablets,VetPlus,Pet Supplies,MAYBE,8.0,GBP68.75,GBP3.00,21.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0B35WP78F,Royal Canin Sterilised Adult In Gravy Wet Cat Food 85g (Pack of 48),ROYAL CANIN,Pet Supplies,MAYBE,8.2,GBP47.99,GBP0.00,27.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08WJBRKD4,Bamfords Top Flight Premium Parrot Food with Fruit (12.5kg),Bamfords Top Flight,Pet Supplies,YES,8.8,GBP32.99,GBP0.00,26.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00IF6VJQA,Science Supplements ProKalm Horse Calmer Aid x Size: 1.1 Kg Tub,Science Supplements,Pet Supplies,BRAND APPROACH,8.4,GBP52.99,GBP0.00,27.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00GZWOWG0,"Cosequin Nutramax Maximum Strength Joint Health Supplement for Dogs - With Glucosamine, Chondroitin, and MSM, 250 Chewable Tablets",Nutramax Laboratories,Pet Supplies,YES,8.6,GBP64.99,GBP3.04,21.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00KGWI1D0,Canagan Light / Senior Free Run Chicken Grain Free 6kg,Canagan,Pet Supplies,MAYBE,8.1,GBP55.98,GBP0.00,28.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09M49HNKS,Bactador Enzyme Cleaner Concentrate 10L - Enzymatic cleaner & Cat urine enzyme cleaner - Pet carpet cleaner - Microbiological urine neutraliser - Pet stain and odour remover - Makes up to 500 litres,Bactador,Pet Supplies,MAYBE,8.2,GBP54.99,GBP3.58,21.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
