ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,Decision,Decision Score,Decision Reason,Joinability Status,Buy Readiness,Max Buy Price,Target Buy Price,Cost Gap,Margin Status,Action Note,Shortlist Flag
B07RMNXHXW,"PetSafe Microchip Cat Door - Exterior or Interior Cat Flap - Multi-User RFID Access for up to 40 Pets - 4-Way Locking, Weatherproof, DIY Easy Install - Brown",PetSafe,https://www.amazon.co.uk/dp/B07RMNXHXW,Pet Supplies,,MAYBE,BALANCED | 236/mo | GBP6.38 profit | GBP1505.70 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP1505.70/mo | 236/mo | GBP6.38 unit profit | stable | 2 sellers,8.0,10,10,9,1,9.6,6.8,8.9,GBP1506,OK,UNKNOWN,GBP63.93,GBP65.39,STABLE,GBP0.00,GBP0.00,GBP16.00,GBP41.55,GBP6.38,15.3%,GBP38.34,GBP5.22,325,118,50,0.0,0,N,2,Y,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,73,NEGOTIATE | BALANCED | GBP1506.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Cost Needed,GBP38.34,GBP34.51,,Unknown,Contact supplier for cost,Y
B01N7VZQZW,"Pet Wellbeing Kidney Support Gold for Cats - Vet-Formulated - Herbal Supplement, Supports Normal Kidney Function, Hydration & Energy, Rehmannia & Dong Quai – 2 oz (59 ml)",Pet Wellbeing,https://www.amazon.co.uk/dp/B01N7VZQZW,Pet Supplies,,MAYBE,CASH FLOW | 198/mo | GBP3.48 profit | GBP689.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP689.00/mo | 198/mo | GBP3.48 unit profit | stable | 2 sellers,8.0,10,10,9,1,9.5,5.2,8.2,GBP689,OK,UNKNOWN,GBP40.95,GBP40.95,STABLE,GBP0.00,GBP0.00,GBP10.85,GBP26.62,GBP3.48,13.1%,GBP24.08,GBP3.64,5772,99,50,0.0,0,N,2,Y,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,70,NEGOTIATE | CASH FLOW | GBP689.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Cost Needed,GBP24.08,GBP21.67,,Unknown,Contact supplier for cost,Y
B0DJ14BNNT,Cystaid for Cats x 60 Sprinkle Capsules,Cystaid,https://www.amazon.co.uk/dp/B0DJ14BNNT,Pet Supplies,,MAYBE,CASH FLOW | 310/mo | GBP2.45 profit | GBP759.50 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP759.50/mo | 310/mo | GBP2.45 unit profit | stable | 5 sellers,7.2,10,10,6,0,9.2,4.4,7.6,GBP760,OK,UNKNOWN,GBP29.99,GBP30.19,STABLE,GBP0.00,GBP0.00,GBP8.05,GBP19.49,GBP2.45,12.6%,GBP17.55,GBP2.55,4227,155,100,0.0,0,N,5,Y,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,69,NEGOTIATE | CASH FLOW | GBP760.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Cost Needed,GBP17.55,GBP15.80,,Unknown,Contact supplier for cost,Y
B0CYW22BZ9,"Tapo C212 Pan/Tilt Indoor Camera, 2K 3MP Security Camera, No Monthly Fee, Smart Motion Person Detection, Ethernet or Wi-Fi Connection, Advanced Night Vision,Two-way Talk, Works With Alexa & Google",Tapo,https://www.amazon.co.uk/dp/B0CYW22BZ9,Pet Supplies,,MAYBE,CASH FLOW | 164/mo | GBP3.15 profit | GBP516.60 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP516.60/mo | 164/mo | GBP3.15 unit profit | stable | 2 sellers,8.0,10,10,9,1,9.6,6.1,8.4,GBP517,OK,UNKNOWN,GBP25.99,GBP26.83,SLIGHT DIP (3%),GBP0.00,GBP0.00,GBP5.95,GBP16.89,GBP3.15,18.6%,GBP16.03,GBP4.07,17162,82,50,0.0,0,N,2,Y,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,69,NEGOTIATE | CASH FLOW | GBP517.00/mo | low IP risk | unlikely PL risk | slight dip (3%) | supplier cost missing,Joinable,Cost Needed,GBP16.03,GBP14.43,,Unknown,Contact supplier for cost,Y
B08JYZ6GG2,Pestbye® Ultrasonic Smart Link Cat Repellent System - Battery Powered Motion Activated & Waterproof - The Ultimate in Cat Repellers with Ground Stake - Set of 2,Pestbye,https://www.amazon.co.uk/dp/B08JYZ6GG2,Pet Supplies,,MAYBE,CASH FLOW | 150/mo | GBP2.66 profit | GBP399.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP399.00/mo | 150/mo | GBP2.66 unit profit | stable | 2 sellers,7.2,10,8,9,0,9.2,4.3,7.5,GBP399,OK,UNKNOWN,GBP39.98,GBP39.54,STABLE,GBP0.00,GBP0.00,GBP11.33,GBP25.99,GBP2.66,10.2%,GBP22.92,GBP4.90,5103,75,50,0.0,0,N,2,Y,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,66,NEGOTIATE | CASH FLOW | GBP399.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Cost Needed,GBP22.92,GBP20.63,,Unknown,Contact supplier for cost,Y
B0034YQ738,Juwel Powerhead 600 l/h,Juwel Aquarium,https://www.amazon.co.uk/dp/B0034YQ738,Pet Supplies,,MAYBE,CASH FLOW | 94/mo | GBP3.34 profit | GBP314.00 monthly gross | stable | 6 sellers,CASH FLOW,1,CASH FLOW | GBP314.00/mo | 94/mo | GBP3.34 unit profit | stable | 6 sellers,7.0,10,10,4,1,9,5,8,GBP314,OK,UNKNOWN,GBP42.45,GBP43.17,STABLE,GBP0.00,GBP0.00,GBP11.52,GBP27.59,GBP3.34,12.1%,GBP24.74,GBP4.56,12157,47,50,0.0,0,N,6,Y,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,63,NEGOTIATE | CASH FLOW | GBP314.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Cost Needed,GBP24.74,GBP22.27,,Unknown,Contact supplier for cost,Y
B08T7THZ69,PetExx Hepatic 30 tablets - SAMe & Silybin (Milk Thistle) supplement formulated by vets to aid liver health in pets - manufactured in UK,PetExx,https://www.amazon.co.uk/dp/B08T7THZ69,Pet Supplies,,MAYBE,CASH FLOW | 106/mo | GBP2.17 profit | GBP230.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP230.00/mo | 106/mo | GBP2.17 unit profit | stable | 2 sellers,7.8,10,10,9,0,9.5,4.5,7.7,GBP230,OK,UNKNOWN,GBP26.77,GBP26.80,STABLE,GBP0.00,GBP0.00,GBP7.20,GBP17.40,GBP2.17,12.5%,GBP15.65,GBP2.25,11981,53,50,0.0,0,N,2,Y,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,60,NEGOTIATE | CASH FLOW | GBP230.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Review Needed,GBP15.65,GBP14.09,,Unknown,Contact supplier for cost,Y
B009GODTTK,"Cat Mate Elite Microchip Cat Flap with Digital Timer & LCD Display (355) - For Small to Average sized Cats, Easy Installation in UPVC Doors, Glass, and Wood, White",Cat Mate,https://www.amazon.co.uk/dp/B009GODTTK,Pet Supplies,,MAYBE,BALANCED | 116/mo | GBP5.02 profit | GBP582.30 monthly gross | SQUEEZED | 4 sellers,BALANCED,1,BALANCED | GBP582.30/mo | 116/mo | GBP5.02 unit profit | SQUEEZED | 4 sellers,7.4,10,10,6,1,8.7,4.9,7.8,GBP582,SQUEEZED,UNKNOWN,GBP64.97,GBP75.38,DROPPING (14%),GBP0.00,GBP0.00,GBP17.72,GBP42.23,GBP5.02,11.9%,GBP37.79,GBP7.09,6914,58,100,0.0,0,N,4,Y,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,59,WATCH | BALANCED | GBP582.00/mo | low IP risk | - PL risk | dropping (14%) | supplier cost missing,Joinable,Cost Needed,GBP37.79,GBP34.01,,Unknown,Monitor for 7 days,N
B083FBGDJM,"Eco Strong Stain and Odor Eliminator: Pet Odor and Stain Remover Carpet Cleaner - Enzyme Cleaner for Dog and Cat Urine - Pee Stain Remover and Deodorizer Spray - Floor, Grass Pee Pad, Rug - 1 Gallon",Eco Strong,https://www.amazon.co.uk/dp/B083FBGDJM,Pet Supplies,,MAYBE,MAYBE | 64/mo | GBP4.14 profit | GBP265.00 monthly gross | COMPRESSED | 4 sellers | ROI 12%,UNASSIGNED,4,UNASSIGNED | below lane thresholds,7.4,10,10,6,1,7.8,4,6.8,GBP265,COMPRESSED,UNKNOWN,GBP54.96,GBP69.42,DROPPING (21%),GBP0.00,GBP0.00,GBP15.10,GBP35.72,GBP4.14,11.6%,GBP31.89,GBP7.55,10988,32,50,0.0,0,N,4,Y,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,54,WATCH | UNASSIGNED | GBP265.00/mo | low IP risk | - PL risk | dropping (21%) | supplier cost missing,Joinable,Review Needed,GBP31.89,GBP28.70,,Unknown,Review listing safety,N
B0F1SYXYTH,1 lb Freeze Dried Chicken Breast Cat Treats 100% Natural Chicken Nibbles Allergen-Free & Hypoallergenic for Indoor Cats & Outdoor Nutritious Grain Free for Cats 454g,CURIOUS,https://www.amazon.co.uk/dp/B0F1SYXYTH,Pet Supplies,,MAYBE,CASH FLOW | 1000/mo | GBP1.25 profit | GBP1250.00 monthly gross | stable | 3 sellers,CASH FLOW,1,CASH FLOW | GBP1250.00/mo | 1000/mo | GBP1.25 unit profit | stable | 3 sellers,7.0,10,8,8,0,9,3,7,GBP1250,OK,UNKNOWN,GBP29.99,GBP29.45,STABLE,GBP0.00,GBP0.00,GBP9.25,GBP19.49,GBP1.25,6.4%,GBP16.59,GBP3.99,1032,89,1000,0.0,0,N,3,Y,0%,-,NO,NO,SYNTHETIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP1250.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Reject,GBP16.59,GBP14.93,,Fail,Avoid listing,N
