"ASIN","Locale","Image","Title","Bought in past month","Buy Box: Current","Amazon: Current","Buy Box: 90 days avg.","Buy Box: 90 days drop %","New Offer Count: Current","Sales Rank: 90 days avg.","Sales Rank: 90 days drop %","Sales Rank: Drops last 90 days","Sales Rank: Reference","Sales Rank: Display Group","Sales Rank: Subcategory Sales Ranks","Sales Rank: Current","90 days change % monthly sold","Return Rate","Reviews: Rating","Reviews: Rating Count","Reviews: Rating Count - 90 days drop %","Reviews: Review Count - Format Specific","Last Price Change","Buy Box: Stock","Buy Box: 90 days OOS","Buy Box: Buy Box Seller","Buy Box: Shipping Country","Buy Box: Strikethrough Price","Buy Box: % Amazon 90 days","Buy Box: % Top Seller 90 days","Buy Box: Winner Count 90 days","Buy Box: Standard Deviation 90 days","Buy Box: Flipability 90 days","Buy Box: Is FBA","Buy Box: Unqualified","Buy Box: Prime Eligible","Buy Box: Subscribe & Save","Amazon: 90 days avg.","Amazon: 90 days drop %","Amazon: Stock","Amazon: 90 days OOS","New: Current","New: 90 days avg.","New: 90 days drop %","New: 90 days OOS","New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","New, 3rd Party FBA: 90 days drop %","New, 3rd Party FBA: Stock","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","New, 3rd Party FBM: Current","New, 3rd Party FBM: 90 days avg.","New, 3rd Party FBM: 90 days drop %","New, 3rd Party FBM: Stock","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","New, Prime exclusive: 90 days drop %","Lightning Deals: Current","Buy Box Used: Current","Buy Box Used: 90 days avg.","Buy Box Used: 90 days drop %","Buy Box Used: Buy Box Used Seller","Buy Box Used: Is FBA","Buy Box Used: Condition","Used: Current","Used: 90 days avg.","Used: 90 days drop %","Used: 90 days OOS","Used, like new: Current","Used, like new: 90 days avg.","Used, like new: 90 days drop %","Used, very good: Current","Used, very good: 90 days avg.","Used, very good: 90 days drop %","Used, good: Current","Used, good: 90 days avg.","Used, good: 90 days drop %","Used, acceptable: Current","Used, acceptable: 90 days avg.","Used, acceptable: 90 days drop %","Warehouse Deals: Current","Warehouse Deals: 90 days avg.","Warehouse Deals: 90 days drop %","List Price: Current","List Price: 90 days avg.","List Price: 90 days drop %","eBay New: Current","eBay New: 90 days avg.","eBay New: 90 days drop %","eBay Used: Current","eBay Used: 90 days avg.","eBay Used: 90 days drop %","Total Offer Count","New Offer Count: 90 days avg.","Used Offer Count: Current","Used Offer Count: 90 days avg.","Tracking since","Listed since","URL: URL slug","Categories: Root","Categories: Sub","Categories: Tree","Website Display Group: Name","Product Codes: UPC","Product Codes: EAN","Product Codes: GTIN","Product Codes: PartNumber","Parent ASIN","Freq. Bought Together","Type","Manufacturer","Brand","Brand Store Name","Brand Store URL Name","Model","Variation Attributes","Color","Size","Unit Details: Unit Value","Unit Details: Unit Type","Scent","Item Form","Pattern","Style","Material","Item Type","Target Audience","Recommended Uses","Specific Uses","Product Benefit","Edition","Format","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Release Date","Languages","Videos: Video Count","Videos: Has Main Video","Videos: Main Videos","Videos: Additional Videos","A+ Content: Has A+ Content","Package: Dimension (cm³)","Package: Weight (g)","Package: Quantity","Item: Dimension (cm³)","Item: Weight (g)","Included Components","Ingredients","Active Ingredients","Special Ingredients","Safety Warning","Batteries Required","Batteries Included","Hazardous Materials","Is HazMat","Is heat sensitive","Adult Product","Is Merch on Demand","Trade-In Eligible","Deals: Deal Type","Deals: Badge","One Time Coupon: Absolute","One Time Coupon: Percentage","One Time Coupon: Subscribe & Save %","Business Discount: Percentage"
"B0D1LG8D8V","co.uk","https://m.media-amazon.com/images/I/71Dmxsi0mkL.jpg;https://m.media-amazon.com/images/I/81827MRToFL.jpg;https://m.media-amazon.com/images/I/71rxslADdCL.jpg;https://m.media-amazon.com/images/I/81ts1HhyirL.jpg;https://m.media-amazon.com/images/I/91fVasDPV+L.jpg;https://m.media-amazon.com/images/I/81FTsyTanzL.jpg;https://m.media-amazon.com/images/I/81WKoytWTML.jpg","BirTee Golf Tees - PRO Speed PLUS with Flexibility & Durability - 8 Pack. Indoor Golf Tees/Golf Simulator Tees/Winter Plastic Golf Tees (Orange)","30","25.51","25.51","20.60","-24 %","2","8675","-16 %","46","Sports & Outdoors","sports_display_on_website","# 86 | Top 0.19% | Golf Tees","10085","-11 %","","4.6","255","","16","2026/03/19 07:46","","1 %","Amazon","","-","13 %","86 %","2","1.81","5","yes","no","yes","no","24.28","-5 %","","0 %","25.51","20.59","-24 %","0 %","","19.95","","","2.94","15.01 %","3.83","","34.00","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","19.95","19.95","0 %","","","","","","","2","3","","","2024/06/02","2024/04/17","BirTee-Golf-Tees-Flexibility-Durability","Sports & Outdoors","Tees","Sports & Outdoors › Sports › Golf › On-Course Accessories › Tees","Sports","672375004947","0672375004947","","","B0CSX5C9HF","B00CL6353A,B08C2FV3VV","SPORTING_GOODS","BirTee","BirTee","BirTee","BirTeeGolf","","Color: Orange;","Orange","8 Sizes","","","","","","","Plastic","","","","","","","","","","","","","","","","0","no","","","yes","650","32","1","","","Pack of 8 Tees","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B00IICKN7W","co.uk","https://m.media-amazon.com/images/I/81WW8ss2UZL.jpg;https://m.media-amazon.com/images/I/91DqTmn0jkL.jpg;https://m.media-amazon.com/images/I/81mHHoTiPgL.jpg;https://m.media-amazon.com/images/I/71B-5AMO-mL.jpg","FootJoy Spectrum Red Men's Golf Glove","","21.00","21.00","19.64","-7 %","1","16080","37 %","11","Sports & Outdoors","sports_display_on_website","# 66 | Top 0.32% | Golf Gloves","10095","","","4.5","312","-1 %","4","2026/02/20 13:20","1000","3 %","Amazon","","-","97 %","97 %","1","1.51","64","yes","no","yes","no","19.67","-7 %","1000","0 %","21.00","19.68","-7 %","0 %","","","","","1.89","15 %","3.15","","","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","21.00","21.00","0 %","","","","","","","1","1","","","2017/03/07","2015/07/02","FootJoy-Spectrum-Grey-Camo-Mens","Sports & Outdoors","Gloves, Gloves","Sports & Outdoors › Sports › Golf › Gloves","Apparel","667974634688","0667974634688","00667974634688","60037L","B0BZ88K5KZ","B0BMGYT38K","SPORT_ACTIVITY_GLOVE","FootJoy","FootJoy","FootJoy","FootJoy","FJ Spectrum","Size: L; Style: Left Hand ( For Right Handed Golfer); Color: Red;","Red","L","","","","","","Left Hand ( For Right Handed Golfer)","Leather","","","","","","","","","","","1","","","","English: Original Language","0","no","","","yes","370","44","1","3147","44","Golf Glove","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B0CLTXLB68","co.uk","https://m.media-amazon.com/images/I/61j7skm-NaL.jpg;https://m.media-amazon.com/images/I/51XNEIiIa1L.jpg;https://m.media-amazon.com/images/I/41ehm+NFbgL.jpg;https://m.media-amazon.com/images/I/518jFPs5XEL.jpg;https://m.media-amazon.com/images/I/71vaBCnCa9L.jpg;https://m.media-amazon.com/images/I/71qGXwqRm1L.jpg;https://m.media-amazon.com/images/I/51vXP8857tL.jpg;https://m.media-amazon.com/images/I/711qCWswVDL.jpg;https://m.media-amazon.com/images/I/61a8nSx6jOL.jpg","Yonex Badminton Racquet Astrox lite 43i Graphite G4 5U","","48.10","","39.78","-21 %","4","12018","16 %","33","Sports & Outdoors","sports_display_on_website","# 17 | Top 0.11% | Badminton Rackets","10101","99 %","","4.2","578","","53","2026/03/18 11:34","","28 %","Royal Exports1 (45%) / ACP5W2JDUOSGW","IN","-","0 %","27 %","5","5.01","30","no","no","no","no","","","","100 %","48.10","38.74","-24 %","0 %","","37.04","","","4.65","14.99 %","7.21","","39.20","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","","","","","","","","","","4","5","","","2024/03/09","2024/02/14","Badminton-Racquet-Graphite-Intermediate-Developed","Sports & Outdoors","Rackets, Badminton","Sports & Outdoors › Sports › Badminton › Rackets","Sports","","4550468636144, 8903224384203","","ASTROX LITE 45I","B0DDXDK6KM","","SPORT_RACKET","YONEX","YONEX","","","ASTROX LITE 45I","Style: Astrox Lite 45i;","Multicolor","One Size","","","","","Solid","Astrox Lite 45i","Graphite","","","","","","","","","","","","","","","","0","no","","","no","12239","310","1","469","250","1 Badminton Racquet","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B0CP7CMH34","co.uk","https://m.media-amazon.com/images/I/51Go5H6l1+L.jpg","PUMA NOVA Male/Unisex Padel Racket Active Red- Black- White SIZE X","50","39.99","","39.99","0 %","1","284683","96 %","20","Sports & Outdoors","sports_display_on_website","# 22 | Top 0.13% | Tennis Racquets","10156","-43 %","","4.6","6","","-","2026/02/03 16:24","310","49 %","Sport It First UK (70%) / A31AE7GOEKIDK5","GB","-","0 %","100 %","1","-","7","no","no","yes","no","","","","100 %","39.99","39.99","0 %","46 %","","","","310","3.71","15 %","6.00","","39.99","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","2024/05/15","2024/01/22","PUMA-Unisex-Racket-Active-Black","Sports & Outdoors","Racquets, Tennis & Rackets Sports, Sportswear Outlet, Top Brands Sports Equipment","Sports & Outdoors › Sports › Tennis › Racquets","Sports","","4067978207042","","049035","","B00X7C04YK","SPORT_RACKET","PUMA","PUMA","PUMA","PUMA","049035","","Active Red-PUMA Black-PUMA White","X","","","","","","Modern","Carbon Fibre","","","","","","","","","","","","","","","","0","no","","","no","6394","410","1","","410","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B0DX2MSNDM","co.uk","https://m.media-amazon.com/images/I/61Tu6FPSt1L.jpg;https://m.media-amazon.com/images/I/3108jTYKN+L.jpg;https://m.media-amazon.com/images/I/31E3xFx6GrL.jpg;https://m.media-amazon.com/images/I/41ANBC-elGL.jpg;https://m.media-amazon.com/images/I/71JM3Gol2oL.jpg;https://m.media-amazon.com/images/I/71mi7gyTAKL.jpg","Wilson Slam Jr 21 Tennis Racket, Provides Lightweight Strength and Effortless Control, Kid-Friendly Dimensions, Ready For High-Performance Play, Colour: Blue, Size: 21","","26.00","26.00","26.42","2 %","5","63157","84 %","27","Sports & Outdoors","sports_display_on_website","# 23 | Top 0.25% | Tennis Racquets","10162","99 %","","4.4","17","","-","2026/03/18 05:20","17","33 %","Amazon","","-","55 %","55 %","3","1.87","60","yes","no","yes","no","25.44","-2 %","17","21 %","26.00","27.76","6 %","0 %","","","","5","3.71","15 %","3.90","","36.21","","643","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","26.00","26.00","0 %","","","","","","","5","3","","","2025/02/21","2025/02/13","Wilson-Lightweight-Effortless-Kid-Friendly-High-Performance","Sports & Outdoors","Racquets, Tennis & Rackets Sports, Sportswear Outlet, Top Brands Sports Equipment","Sports & Outdoors › Sports › Tennis › Racquets","Sports","097512859400","0097512859400","00097512859400","WR172010U+","","","SPORT_RACKET","Wilson","Wilson","Wilson","WILSONBRAND","WR172010U+","","Blue","21""","","","","","","Tennis","Aluminium","","","","","","","","","","","1","","","2025-01-15","","0","no","","","yes","5639","210","1","","200","Slam Jr 21 Tennis Racket","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B085ZWV4BC","co.uk","https://m.media-amazon.com/images/I/71pW1jsb0QL.jpg;https://m.media-amazon.com/images/I/718fMmEVl2L.jpg;https://m.media-amazon.com/images/I/51KxmYw6mOL.jpg;https://m.media-amazon.com/images/I/71XlzyJpb8L.jpg;https://m.media-amazon.com/images/I/71spSHNDKaL.jpg;https://m.media-amazon.com/images/I/51D9J5F4f0L.jpg;https://m.media-amazon.com/images/I/61wpQSEsbgL.jpg","THIODOON Golf tees 70mm Less Friction Wooden Tees Training for Golfer Professional Natural Wood Golf tees Bulk 100 Count Golfing Tees Pink","","22.07","","21.31","-4 %","1","17022","3 %","18","Sports & Outdoors","sports_display_on_website","# 129 | Top 0.42% | Golf Tees","16515","","","4.6","3625","","-","2026/03/21 08:50","86","0 %","Amazon US (0%) / A2KVF7QXNCLV8H","US","-","0 %","90 %","2","2.52","72","no","no","no","no","","","","100 %","22.07","16.78","-32 %","0 %","","","","","2.72","14.99 %","3.31","","18.21","","86","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","15.99","15.99","0 %","","","","","","","1","1","","","2022/06/24","2020/12/01","THIODOON-Friction-Training-Professional-Natural","Sports & Outdoors","Tees, Accessories","Sports & Outdoors › Sports › Golf › On-Course Accessories › Tees","Sports","730718957708","0730718957708","","ys-0004-11","B086HWJ9LT","B09NL9FFW2","SPORTING_GOODS","THIODOON","THIODOON","","","ys-0004-11","Size: 70mm; Color: pink;","pink","70mm","","","","","Solid","","","","","","","","","","","","","","","","","","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51Ze17jtOvL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/03abdd43-ab66-4f2b-b064-062d77686c51/default.jobtemplate.hls.m3u8""}]","","yes","1033","120","0","","","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B083DWLRWD","co.uk","https://m.media-amazon.com/images/I/81TLRMeSlrL.jpg;https://m.media-amazon.com/images/I/71VUqYpg9kL.jpg;https://m.media-amazon.com/images/I/81a5dzr0AYL.jpg;https://m.media-amazon.com/images/I/A1Lv-ZqLagL.jpg;https://m.media-amazon.com/images/I/81XErMTosVL.jpg;https://m.media-amazon.com/images/I/91Z0uMQPH6L.jpg;https://m.media-amazon.com/images/I/81tQvZA-2QL.jpg;https://m.media-amazon.com/images/I/91bxAhQp30L.jpg","Vermont Training Tennis Balls – ITF Approved Mini Red (Stage 3), Pack of 12","","24.99","","29.70","16 %","2","18957","39 %","12","Sports & Outdoors","sports_display_on_website","# 61 | Top 0.61% | Tennis Balls","11554","","","4.2","124","","-","2026/03/21 20:42","1000","0 %","Net World Sports (65%) / A2U6UUBP4GOB5A","GB","-","0 %","100 %","1","3.93","81","no","no","yes","yes","","","","100 %","24.98","18.50","-35 %","0 %","","","","1000","-","","-","","24.98","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","2020/01/12","2020/01/09","Vermont-Tennis-Balls-Training-Approved","Sports & Outdoors","Balls, Tennis & Padel Balls","Sports & Outdoors › Sports › Tennis › Balls","Sports","","","","","B083P51CY9","","RECREATION_BALL","Net World Sports","Vermont","Vermont","Vermont","","Color: Mini Red (Stage 3); Size: Pack of 12;","Mini Red (Stage 3)","Pack of 12","12","count","","","","","Plastic","","","","","","","","","","","12","","","","","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/71t01QidkyL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/2a9cbe87-33d2-4ee2-8519-2d1e7bd22659/default.jobtemplate.hls.m3u8""}]","","yes","","","12","","","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B0FC6D1CWK","co.uk","https://m.media-amazon.com/images/I/61LdD5tKKhL.jpg;https://m.media-amazon.com/images/I/61-mnTzJ-eL.jpg;https://m.media-amazon.com/images/I/71hK88FopgL.jpg;https://m.media-amazon.com/images/I/71G7ZpuetSL.jpg;https://m.media-amazon.com/images/I/81sgDtzzsfL.jpg;https://m.media-amazon.com/images/I/81X2X31wrEL.jpg;https://m.media-amazon.com/images/I/71x1Q-zHUwL.jpg","Findway Golf Stand Carry Bag with Strap, Lightweight Easy to Carry and Durable Pitch n Putt Golf Bag for The Driving Range, Par 3 and Executive Courses, 31.5 inches Tall (PBK)","","49.99","","50.86","2 %","1","14339","45 %","21","Sports & Outdoors","sports_display_on_website","# 5 | Top 0.08% | Golf Stand Bags","7880","","","4.4","68","","-","2026/03/18 16:04","","1 %","Findway Direct (100%) / A3EG4R4G117GY8","","54.99","0 %","100 %","1","2.35","38","yes","no","yes","no","","","","100 %","49.99","51.49","3 %","0 %","","51.24","","","4.95","15 %","7.50","","","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","54.99","54.99","0 %","","","","","","","1","1","","","2025/08/20","2025/06/06","Findway-Lightweight-Durable-Driving-Executive","Sports & Outdoors","Stand Bags, Bags","Sports & Outdoors › Sports › Golf › Golf Club Bags › Stand Bags","Sports","","","","","B0DQCZXLF2","B09CHCBCGD,B0DN34DVSK","GOLF_CLUB_BAG","Findway","Findway","Findway","FINDWAY","","Color: PBK;","PBK","One Size","","","","","","","Polyester","","","","","","","","","","","1","","","","","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/A1EcEB7OKQL.png"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/5a00ea59-9d64-4f03-b3c2-66178f9ccb74/default.jobtemplate.hls.m3u8""}]","","yes","22620","1200","1","15120","1200","Golf Stand Bag, Strap","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B08HZ7JC5V","co.uk","https://m.media-amazon.com/images/I/61EhLwwCpEL.jpg;https://m.media-amazon.com/images/I/61oFaMCeMPL.jpg;https://m.media-amazon.com/images/I/41mVDJu3cqL.jpg;https://m.media-amazon.com/images/I/61avLHhrnfL.jpg;https://m.media-amazon.com/images/I/61yK7XNUdrL.jpg;https://m.media-amazon.com/images/I/61ZNT2z8QeL.jpg;https://m.media-amazon.com/images/I/61a2958fmeL.jpg","Scott Edward Knitted Golf Club Head Covers for Woods 3Pcs Set Golf Driver (460CC) Fairways and Hybrid/UT with Rotating Number Tags(Red Warning)","","21.50","","21.96","2 %","1","8935","-43 %","20","Sports & Outdoors","sports_display_on_website","# 45 | Top 0.3% | Golf Club Head Cover Sets","12816","","","4.3","572","","10","2026/02/11 15:24","","0 %","Scott Edward Sports (96%) / AR0UPFIG3UHYT","","-","0 %","100 %","1","1.53","8","yes","no","yes","no","","","","100 %","21.50","21.50","0 %","0 %","","21.50","","","2.97","15.02 %","3.23","","","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","2020/12/09","2020/09/15","Scott-Edward-Knitted-Fairways-Rotating","Sports & Outdoors","Sets, Accessories","Sports & Outdoors › Sports › Golf › Accessories › Head Covers › Sets","Sports","","","","","B0B38FHWW4","B08PFFP189","GOLF_CLUB_COVER","Scott Edward Sports","Scott Edward","Scott Edward","Makeyourgolfbagamazing","","Color: Red Warning;","Red Warning","Driver/Fairway/Hybrid","1","","","","Red Warning","Red Warning","Acrylic","","","","","","","","","","","","","","","","0","no","","","yes","3488","190","0","1280","","3PCS Golf Head Covers","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B0GL8V5FSZ","co.uk","https://m.media-amazon.com/images/I/81OGxsn+7kL.jpg;https://m.media-amazon.com/images/I/61IMmYHb03L.jpg;https://m.media-amazon.com/images/I/51tIVMZw0dL.jpg","Wilson Federer Junior Tennis Racket Series (19""-25"" Age 2-10) inc 3 Tennis Balls (25"" (8-10 Year Old))","","34.95","","34.99","0 %","2","16280","32 %","11","Sports & Outdoors","sports_display_on_website","# 24 | Top 0.14% | Tennis Racquets","11038","","","","","","-","2026/03/20 10:52","10","22 %","Racketworld (85%) / A2U69NIMV1A46Q","","-","0 %","100 %","1","-","5","yes","no","yes","no","","","","100 %","34.95","34.99","0 %","22 %","34.95","34.99","0 %","44","4.50","15 %","5.24","34.99","34.99","0 %","10","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","49.99","49.99","0 %","","","","","","","2","2","","","2026/02/04","2026/02/03","Wilson-Federer-Junior-Tennis-Racket","Sports & Outdoors","Racquets, Tennis & Rackets Sports, Sportswear Outlet","Sports & Outdoors › Sports › Tennis › Racquets","Sports","097512789523","0097512789523","","","B0GL95BG6C","","SPORT_RACKET","Wilson","Wilson","Wilson","WILSONBRAND","","Size: 25"" (8-10 Year Old);","Multi-coloured","25"" (8-10 Year Old)","","","","","","","Aluminium","","","","","","","","","","","","","","","","0","no","","","no","7920","460","","","","Junior Tennis Racket, 3 Tennis Balls","","","","","no","no","","no","no","no","no","no","","","-","","",""
