ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason
B0DX2MSNDM,"Wilson Slam Jr 21 Tennis Racket, Provides Lightweight Strength and Effortless Control, Kid-Friendly Dimensions, Ready For High-Performance Play, Colour: Blue, Size: 21",Wilson,https://www.amazon.co.uk/dp/B0DX2MSNDM,Sports & Outdoors,OK,26.00,26.42,2.0%,10162,63157,27,0,5,3,Y,3.71,4.76,8.47,16.90,0.63,3.7%,14.61,25.37,55%,Amazon,yes,4.4,17,6,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0097512859400,097512859400,00097512859400,10,10,4,0,6.8,6.2,1.4,4,CASH FLOW,3,34.00,OK,CASH FLOW | GBP34.00/mo | 54/mo | GBP0.63 unit profit | stable | 5 sellers,MAYBE-ROI,CASH FLOW | 54/mo | GBP0.63 profit | GBP34.00 monthly gross | stable | 5 sellers
B083DWLRWD,"Vermont Training Tennis Balls – ITF Approved Mini Red (Stage 3), Pack of 12",Vermont,https://www.amazon.co.uk/dp/B083DWLRWD,Sports & Outdoors,OK,24.99,29.70,16.0%,11554,18957,12,0,2,2,N,0.00,4.61,4.61,16.24,4.14,25.5%,16.98,20.85,0%,Net World Sports (65%) / A2U6UUBP4GOB5A,no,4.2,124,8,Y,5,STRONG,N,-,,LOW SELLER CHECK,KEEPA,,,,9,10,10,5,8.7,7.6,6.9,7.1,BALANCED,3,99.40,SQUEEZED,BALANCED | GBP99.40/mo | 24/mo | GBP4.14 unit profit | SQUEEZED | 2 sellers,YES,BALANCED | 24/mo | GBP4.14 profit | GBP99.40 monthly gross | SQUEEZED | 2 sellers
B0GL8V5FSZ,"Wilson Federer Junior Tennis Racket Series (19""-25"" Age 2-10) inc 3 Tennis Balls (25"" (8-10 Year Old))",Wilson,https://www.amazon.co.uk/dp/B0GL8V5FSZ,Sports & Outdoors,OK,34.95,34.99,0.0%,11038,16280,11,0,2,2,N,4.50,6.14,10.64,22.72,1.59,7.0%,20.25,33.36,0%,Racketworld (85%) / A2U69NIMV1A46Q,yes,0.0,0,3,N,3,WEAK,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,0097512789523,097512789523,,9,10,9,0,7.5,6.9,3,5.5,BALANCED,3,35.00,OK,BALANCED | GBP35.00/mo | 22/mo | GBP1.59 unit profit | stable | 2 sellers,BRAND APPROACH,BALANCED | 22/mo | GBP1.59 profit | GBP35.00 monthly gross | stable | 2 sellers
B08DD9XK1G,THIODOON 2 Pack Golf Flag Golf Holes and Flags for Garden Indoor Yard Putting Green Golf Hole Cup and Flag for Putting Practice Upgrade Anti-Rust Glass Fiber 5-Section Design with Connectors,THIODOON,https://www.amazon.co.uk/dp/B08DD9XK1G,Sports & Outdoors,OK,29.99,29.90,0.0%,14173,21044,20,0,2,2,N,3.26,5.38,8.64,19.49,1.85,9.5%,17.79,28.14,0%,TopMotor (100%) / AWTA2AHQEH11M,yes,4.2,1043,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,0732489595622,732489595622,,10,10,10,0,8,8.3,3.1,6.5,CASH FLOW,3,74.00,OK,CASH FLOW | GBP74.00/mo | 40/mo | GBP1.85 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 40/mo | GBP1.85 profit | GBP74.00 monthly gross | stable | 2 sellers
B0B31KRZYZ,"Titleist Players Flex Golf Glove, Men's, Left Hand (Right Hand Golfer), Large",Titleist,https://www.amazon.co.uk/dp/B0B31KRZYZ,Sports & Outdoors,OK,22.00,22.00,0.0%,17573,17310,14,0,2,1,Y,1.88,4.15,6.03,14.30,1.67,11.7%,13.31,20.33,100%,Amazon,yes,4.5,48,4,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0706843509235,706843509235,00706843509235,9,10,6,0,6.9,5.8,3.3,4.5,CASH FLOW,3,46.80,OK,CASH FLOW | GBP46.80/mo | 28/mo | GBP1.67 unit profit | stable | 2 sellers,MAYBE-ROI,CASH FLOW | 28/mo | GBP1.67 profit | GBP46.80 monthly gross | stable | 2 sellers
B09MTS97QP,Wilson US Open Extra Duty Official Tennis Balls - 6 Sealed Tubes of 4 Balls,Wilson,https://www.amazon.co.uk/dp/B09MTS97QP,Sports & Outdoors,OK,49.99,56.00,11.0%,10986,32368,72,50,8,3,N,3.49,8.47,11.96,32.49,5.54,17.0%,31.69,44.45,0%,AP Keshav (89%) / A2CNJRU5K9YJDU,no,4.7,43,3,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,0887768484736,887768484736,,10,10,4,1,7,8.7,5.7,8,BALANCED,1,797.80,SQUEEZED,BALANCED | GBP797.80/mo | 144/mo | GBP5.54 unit profit | SQUEEZED | 8 sellers,MAYBE,BALANCED | 144/mo | GBP5.54 profit | GBP797.80 monthly gross | SQUEEZED | 8 sellers
B0FZ2RH4R8,TOURBON Portable Nylon Golf Bag Lightweight Sunday Carry Bag Foldable Golf Club Travel Training Case,TOURBN,https://www.amazon.co.uk/dp/B0FZ2RH4R8,Sports & Outdoors,OK,24.99,24.99,0.0%,11264,29386,10,0,2,2,N,2.98,4.61,7.59,16.24,1.16,7.1%,14.50,23.83,0%,tourbonsporting (99%) / A2JY583404VYGO,yes,4.2,117,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,9,10,10,0,7.7,6.5,2.7,4.9,CASH FLOW,3,23.20,OK,CASH FLOW | GBP23.20/mo | 20/mo | GBP1.16 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 20/mo | GBP1.16 profit | GBP23.20 monthly gross | stable | 2 sellers
B0DQLLPHK1,HEAD Radical 21 Junior Tennis Racket,HEAD,https://www.amazon.co.uk/dp/B0DQLLPHK1,Sports & Outdoors,OK,23.99,23.36,-3.0%,11370,13655,46,50,10,10,Y,3.71,4.46,8.17,15.59,0.23,1.5%,13.19,23.76,91%,Amazon,yes,4.8,9,6,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0726423388319,726423388319,,10,8,0,0,5.4,5.4,0.8,3.3,UNASSIGNED,9,21.20,OK,,MAYBE-ROI,MAYBE-ROI | 92/mo | GBP0.23 profit | GBP21.20 monthly gross | stable | 10 sellers | needs trade under GBP13.18
B0DYVQC2V2,"FORZA Sport Umbrellas | 60"" Double Layered Canopy With a Locking Button For Instant Opening (FORZA Yellow Umberella, Pack of 5)",FORZA,https://www.amazon.co.uk/dp/B0DYVQC2V2,Sports & Outdoors,OK,53.99,58.96,8.0%,11639,5754,15,0,2,2,N,0.00,9.09,9.09,35.09,9.81,27.9%,37.42,44.18,0%,Net World Sports (65%) / A2U6UUBP4GOB5A,no,4.6,570,5,N,4,AVERAGE,N,-,,LOW SELLER CHECK,KEEPA,5059706951708,,,10,10,10,6,9.2,8.7,8.6,8.8,BALANCED,1,294.30,OK,BALANCED | GBP294.30/mo | 30/mo | GBP9.81 unit profit | stable | 2 sellers,YES,BALANCED | 30/mo | GBP9.81 profit | GBP294.30 monthly gross | stable | 2 sellers
B0DSW5N6YB,HEAD Radical 27 Tennis Racket,HEAD,https://www.amazon.co.uk/dp/B0DSW5N6YB,Sports & Outdoors,OK,26.50,38.32,31.0%,12101,48112,23,0,2,2,Y,4.65,4.85,9.50,17.23,-0.22,-1.3%,14.17,26.72,99%,Amazon,yes,4.8,9,2,N,3,WEAK,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0198772012830,198772012830,,10,10,6,0,7.2,3.5,0.1,1.5,UNASSIGNED,9,-10.10,COMPRESSED,,BRAND APPROACH,BRAND APPROACH | 46/mo | GBP-0.22 profit | GBP-10.10 monthly gross | COMPRESSED | 2 sellers | weak listing 2 imgs
