ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN,Private Label Exclusion Reason
B003VRN56A,JOOLA Carbon Pro – Offensive Table Tennis Bat with 4YOU Rubber & Carbon Speed Technology,JOOLA,https://www.amazon.co.uk/dp/B003VRN56A,Sports & Outdoors,OK,MAYBE,CASH FLOW | 120/mo | GBP1.79 profit | GBP214.80 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP214.80/mo | 120/mo | GBP1.79 unit profit | stable | 5 sellers,7.0,10,10,5,0,7.8,3.5,6,GBP215,OK,AVERAGE,GBP26.90,GBP27.17,STABLE,GBP2.72,GBP4.91,GBP7.63,GBP17.48,GBP1.79,10.2%,GBP16.06,GBP25.11,27231,60,0,4.4,2917,Y,5,Y,0%,Likely,YES,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,5,Medium,Brand=Seller match (YES) | Established brand | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0002560541955, 0744288643954, 0772259200271, 0797770206762, 4002560541951, 4050572028144, 5468886183685","002560541955, 744288643954, 772259200271, 797770206762",04002560541951,Brand 1P | Brand seller match | Established brand
B07DSR141W,Andux 5pcs/Set Golf 460cc Driver Fairway Wood Club Head Covers Long Neck Black/Red,Andux,https://www.amazon.co.uk/dp/B07DSR141W,Sports & Outdoors,OK,MAYBE,CASH FLOW | 64/mo | GBP2.65 profit | GBP169.60 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP169.60/mo | 64/mo | GBP2.65 unit profit | stable | 2 sellers,7.3,9,10,8,0,7.8,3.9,6.2,GBP170,OK,STRONG,GBP33.99,GBP33.99,STABLE,GBP3.25,GBP6.00,GBP9.25,GBP22.09,GBP2.65,12.0%,GBP20.62,GBP31.34,28872,32,0,4.4,88,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,MEDIUM,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0681385046892,681385046892,,Brand 1P | Brand seller match | Brand store likely
B0D5WN51GX,Pack Of X2 Junior 2 Player Kids Tennis Metal Racquet and Ball Set Lightweight Aluminium – Garden Outdoor Children Sports Fun Game Picnic Sport Beach Court Park Tournament With Carry Storage Bag (2 PAC,Unibos,https://www.amazon.co.uk/dp/B0D5WN51GX,Sports & Outdoors,OK,MAYBE,BALANCED | 20/mo | GBP3.56 profit | GBP71.20 monthly gross | stable | 2 sellers,BALANCED,3,BALANCED | GBP71.20/mo | 20/mo | GBP3.56 unit profit | stable | 2 sellers,7.1,7,10,7,3,6.2,6.1,5.9,GBP71,OK,AVERAGE,GBP22.04,GBP22.16,STABLE,GBP0.00,GBP4.15,GBP4.15,GBP14.33,GBP3.56,24.8%,GBP14.90,GBP18.48,37684,10,0,4.1,3,Y,2,N,0%,Likely,YES,NO,GENERIC,NO,UNLIKELY,MEDIUM,4,Medium,Brand=Seller match (YES) | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,,Brand 1P | Brand seller match
B0CP85MKRR,TH Golf Academy Training Mat [1.5 x 1m] | Large 13mm Artificial Grass Mat | Professional | 3 Rubber Tees Included,TH Golf,https://www.amazon.co.uk/dp/B0CP85MKRR,Sports & Outdoors,OK,MAYBE-ROI,BALANCED | 30/mo | GBP1.49 profit | GBP44.70 monthly gross | stable | 2 sellers,BALANCED,3,BALANCED | GBP44.70/mo | 30/mo | GBP1.49 unit profit | stable | 2 sellers,6.8,8,10,7,0,5.8,2.5,4.4,GBP45,OK,AVERAGE,GBP36.00,GBP36.00,STABLE,GBP4.80,GBP6.31,GBP11.11,GBP23.40,GBP1.49,6.4%,GBP20.74,GBP34.51,36591,15,0,4.1,15,Y,2,N,0%,Likely,YES,NO,GENERIC,NO,UNLIKELY,MEDIUM,4,Medium,Brand=Seller match (YES) | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5060939992710,,,Brand 1P | Brand seller match
B019RM0C0O,"Andux Long Neck Golf Hybrid Club Head Covers with Dial No. Tag CTMT-01 (Black/Red,4pcs)",Andux,https://www.amazon.co.uk/dp/B019RM0C0O,Sports & Outdoors,OK,MAYBE,CASH FLOW | 30/mo | GBP0.77 profit | GBP23.10 monthly gross | stable | 3 sellers,CASH FLOW,3,CASH FLOW | GBP23.10/mo | 30/mo | GBP0.77 unit profit | stable | 3 sellers,7.1,9,10,7,0,5.3,2.1,3.7,GBP23,OK,STRONG,GBP22.98,GBP23.00,STABLE,GBP2.97,GBP4.30,GBP7.27,GBP14.94,GBP0.77,5.2%,GBP13.09,GBP22.21,32105,15,0,4.3,1101,Y,3,N,0%,Likely,YES,NO,ESTABLISHED,YES,LIKELY,MEDIUM,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0602045383317, 0602045383553, 0746856124179","602045383317, 602045383553, 746856124179",,Brand 1P | Brand seller match | Brand store likely | Established brand
B0GNMVQCK2,"Raquex Engage 2 Padel Racket Bag – Carry Handle + Twin Shoulder Straps (Backpack Style) - Thermal Lining, Shoe Compartment, Central Storage (Blue)",Raquex,https://www.amazon.co.uk/dp/B0GNMVQCK2,Sports & Outdoors,OK,MAYBE-ROI,CASH FLOW | 16/mo | GBP1.03 profit | GBP16.50 monthly gross | stable | 2 sellers,CASH FLOW,3,CASH FLOW | GBP16.50/mo | 16/mo | GBP1.03 unit profit | stable | 2 sellers,6.8,10,8,7,0,4.5,1.6,3.1,GBP17,OK,STRONG,GBP32.90,GBP31.26,RISING (5%),GBP4.65,GBP5.83,GBP10.48,GBP21.39,GBP1.03,4.8%,GBP18.68,GBP31.87,7644,8,0,5.0,1,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,MEDIUM,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5061045521061,,,Brand 1P | Brand seller match | Brand store likely
B0D5GXRP2K,"VEVOR Badminton Net Set, Outdoor Backyard Beach Park Badminton Net, Portable Badminton Equipment Set, Adults Kids Badminton Net with Poles, Carrying Bag, 4 Iron Rackets, and 3 Nylon Shuttlecocks",VEVOR,https://www.amazon.co.uk/dp/B0D5GXRP2K,Sports & Outdoors,OK,MAYBE,CASH FLOW | 20/mo | GBP0.80 profit | GBP16.00 monthly gross | stable | 2 sellers,CASH FLOW,3,CASH FLOW | GBP16.00/mo | 20/mo | GBP0.80 unit profit | stable | 2 sellers,7.0,8,10,8,0,4.9,1.8,3.4,GBP16,OK,STRONG,GBP33.99,GBP33.99,STABLE,GBP5.10,GBP6.00,GBP11.10,GBP22.09,GBP0.80,3.6%,GBP19.08,GBP33.19,29955,10,0,4.6,123,Y,2,Y,0%,Likely,YES,NO,SYNTHETIC,YES,LIKELY,MEDIUM,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0197988387657,197988387657,,Brand 1P | Brand seller match | Brand store likely
B01MQGZNYP,Andux Long Neck Golf Hybrid Club Head Covers with Dial No. Tag CTMT-02 4pcs Blue,Andux,https://www.amazon.co.uk/dp/B01MQGZNYP,Sports & Outdoors,OK,MAYBE,CASH FLOW | 10/mo | GBP0.69 profit | GBP6.90 monthly gross | stable | 2 sellers,CASH FLOW,3,CASH FLOW | GBP6.90/mo | 10/mo | GBP0.69 unit profit | stable | 2 sellers,7.3,9,10,8,0,3.5,1.1,1.9,GBP7,OK,STRONG,GBP22.98,GBP22.98,STABLE,GBP3.05,GBP4.30,GBP7.35,GBP14.94,GBP0.69,4.6%,GBP13.03,GBP22.29,18697,5,0,4.3,155,Y,2,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,MEDIUM,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0612032535100,612032535100,,Brand 1P | Brand seller match | Brand store likely
B0CKRWT41W,"Wilson Fierce Red Adult Twin Badminton Racket, including Shuttlecocks & Carry Case",Racketworld,https://www.amazon.co.uk/dp/B0CKRWT41W,Sports & Outdoors,OK,BRAND APPROACH,BRAND APPROACH | 50/mo | GBP0.07 profit | GBP3.50 monthly gross | stable | 2 sellers | weak listing 1 imgs,UNASSIGNED,9,,7.3,9,10,8,0,4.7,1.3,2.6,GBP4,OK,WEAK,GBP27.99,GBP28.30,STABLE,GBP4.65,GBP5.07,GBP9.72,GBP18.19,GBP0.07,0.4%,GBP15.22,GBP27.92,20121,25,0,4.4,133,Y,2,N,0%,Likely,YES,NO,GENERIC,NO,UNLIKELY,MEDIUM,4,Medium,Brand=Seller match (YES) | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5056666213259,,,Brand 1P | Brand seller match
B0BNVXM74F,Karakal Power CT Deluxe 2 Player Badminton Set inc 3 Shuttles,Racketworld,https://www.amazon.co.uk/dp/B0BNVXM74F,Sports & Outdoors,OK,BRAND APPROACH,BRAND APPROACH | 26/mo | GBP-0.52 profit | GBP-13.50 monthly gross | stable | 2 sellers | weak listing 1 imgs,UNASSIGNED,9,,6.7,7,10,8,0,4.3,1.2,2.4,GBP-14,OK,WEAK,GBP24.95,GBP24.95,STABLE,GBP4.65,GBP4.60,GBP9.25,GBP16.22,GBP-0.52,-3.2%,GBP13.08,GBP25.47,33936,13,0,4.2,118,Y,2,N,0%,Likely,YES,NO,GENERIC,NO,UNLIKELY,MEDIUM,4,Medium,Brand=Seller match (YES) | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5056666211071,,,Brand 1P | Brand seller match
