ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B09MTS97QP,Wilson US Open Extra Duty Official Tennis Balls - 6 Sealed Tubes of 4 Balls,Wilson,Sports & Outdoors,MAYBE,7.0,GBP49.99,GBP3.49,17.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09TG4W776,Yonex Arcsaber 11 Play Badminton Pre-Strung Racket (Grayish Pearl) (4UG5),YONEX,Sports & Outdoors,MAYBE-ROI,6.8,GBP49.99,GBP4.50,13.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CYMS1TKX,FORB Chip and Stick Golf Game | Indoor and Outdoor Chipping Mat - Golfing Fun for All the Family [3 Sizes] (Large (120cm x 180cm)),FORB,Sports & Outdoors,MAYBE,7.0,GBP37.99,GBP0.00,27.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07T98XV91,"STIGA Prestige 5-Star Table Tennis Racket – Professional High-Speed Ping Pong Paddle with ITTF-Approved Rubber, 2.0mm Sponge, and WRB Technology – Comfortable Grip, Black / Red",STIGA,Sports & Outdoors,MAYBE,7.7,GBP55.70,GBP2.72,20.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DYVQC2V2,"FORZA Sport Umbrellas | 60"" Double Layered Canopy With a Locking Button For Instant Opening (FORZA Yellow Umberella, Pack of 5)",FORZA,Sports & Outdoors,YES,9.2,GBP53.99,GBP0.00,27.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F8VN1PKD,"FORB Divot Board Golf Swing Mat – Real-Time Swing Path Trainer for Golfers | Portable Golf Training Aid for Home, Garden, or Range Practice | Durable, Non-Slip Base | Suitable for All Skill Levels",FORB,Sports & Outdoors,MAYBE,8.2,GBP29.99,GBP0.00,26.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CRZ8JWGH,"Team Butterfly Champion Table Tennis Bat, Professional Table Tennis Bat for Advanced and Experienced Players, ITTF Approved for Competitions",Butterfly,Sports & Outdoors,MAYBE-ROI,6.7,GBP39.99,GBP2.10,19.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07L19GFPT,"STIGA Royal WRB 3-Star Table Tennis Bat - ITTF Approved, Offensive Bat with WRB System, 5-Ply Blade, 2.0 mm Sponge, Enhanced Speed, Control, and Spin for Skill Development and Game Improvement",STIGA,Sports & Outdoors,MAYBE-ROI,6.7,GBP39.91,GBP2.72,16.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07TB9Y1BD,"STIGA Vision 4-Star Table Tennis Bat, Black/Red",STIGA,Sports & Outdoors,MAYBE,7.7,GBP53.78,GBP2.72,20.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09QF6DYH3,"Titleist StaDry Performance Golf Towel, Black",Titleist,Sports & Outdoors,MAYBE,7.6,GBP40.00,GBP2.91,16.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
