ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,Decision,Decision Score,Decision Reason,Joinability Status,Buy Readiness,Max Buy Price,Target Buy Price,Cost Gap,Margin Status,Action Note,Shortlist Flag
B09TG4W776,Yonex Arcsaber 11 Play Badminton Pre-Strung Racket (Grayish Pearl) (4UG5),YONEX,https://www.amazon.co.uk/dp/B09TG4W776,Sports & Outdoors,OK,MAYBE-ROI,BALANCED | 156/mo | GBP4.53 profit | GBP706.70 monthly gross | stable | 8 sellers,BALANCED,1,BALANCED | GBP706.70/mo | 156/mo | GBP4.53 unit profit | stable | 8 sellers,6.8,10,8,6,1,9,5.2,8.1,GBP707,OK,AVERAGE,GBP49.99,GBP48.49,RISING (3%),GBP4.50,GBP8.47,GBP12.97,GBP32.49,GBP4.53,13.9%,GBP30.85,GBP45.46,14280,78,100,4.1,463,N,8,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,72,NEGOTIATE | BALANCED | GBP707.00/mo | low IP risk | - PL risk | rising (3%) | supplier cost missing,Joinable,Cost Needed,GBP30.85,GBP27.77,,Unknown,Contact supplier for cost,Y
B07L19GFPT,"STIGA Royal WRB 3-Star Table Tennis Bat - ITTF Approved, Offensive Bat with WRB System, 5-Ply Blade, 2.0 mm Sponge, Enhanced Speed, Control, and Spin for Skill Development and Game Improvement",STIGA,https://www.amazon.co.uk/dp/B07L19GFPT,Sports & Outdoors,OK,MAYBE-ROI,CASH FLOW | 154/mo | GBP4.33 profit | GBP666.80 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP666.80/mo | 154/mo | GBP4.33 unit profit | stable | 2 sellers,6.7,9,8,7,1,7.9,5.3,6.9,GBP667,OK,STRONG,GBP39.91,GBP39.44,STABLE,GBP2.72,GBP6.91,GBP9.63,GBP25.94,GBP4.33,16.7%,GBP25.23,GBP35.58,20666,77,50,4.4,394,N,2,Y,98%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,71,NEGOTIATE | CASH FLOW | GBP667.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Cost Needed,GBP25.23,GBP22.71,,Unknown,Contact supplier for cost,Y
B07TB9Y1BD,"STIGA Vision 4-Star Table Tennis Bat, Black/Red",STIGA,https://www.amazon.co.uk/dp/B07TB9Y1BD,Sports & Outdoors,OK,MAYBE,CASH FLOW | 94/mo | GBP7.05 profit | GBP662.70 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP662.70/mo | 94/mo | GBP7.05 unit profit | stable | 2 sellers,7.7,9,10,7,3,8.2,7.1,7.7,GBP663,OK,STRONG,GBP53.78,GBP55.25,SLIGHT DIP (3%),GBP2.72,GBP9.05,GBP11.77,GBP34.96,GBP7.05,20.2%,GBP35.01,GBP46.73,29324,47,0,4.5,110,N,2,Y,99%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,69,NEGOTIATE | CASH FLOW | GBP663.00/mo | low IP risk | unlikely PL risk | slight dip (3%) | supplier cost missing,Joinable,Cost Needed,GBP35.01,GBP31.51,,Unknown,Contact supplier for cost,Y
B0DYVQC2V2,"FORZA Sport Umbrellas | 60"" Double Layered Canopy With a Locking Button For Instant Opening (FORZA Yellow Umberella, Pack of 5)",FORZA,https://www.amazon.co.uk/dp/B0DYVQC2V2,Sports & Outdoors,OK,YES,BALANCED | 30/mo | GBP9.81 profit | GBP294.30 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP294.30/mo | 30/mo | GBP9.81 unit profit | stable | 2 sellers,9.2,10,10,10,6,8.7,8.6,8.8,GBP294,OK,AVERAGE,GBP53.99,GBP58.96,SLIGHT DIP (8%),GBP0.00,GBP9.09,GBP9.09,GBP35.09,GBP9.81,27.9%,GBP37.42,GBP44.18,11639,15,0,4.6,570,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,65,NEGOTIATE | BALANCED | GBP294.00/mo | low IP risk | unlikely PL risk | slight dip (8%) | supplier cost missing,Joinable,Review Needed,GBP37.42,GBP33.68,,Unknown,Contact supplier for cost,Y
B0F8VN1PKD,"FORB Divot Board Golf Swing Mat – Real-Time Swing Path Trainer for Golfers | Portable Golf Training Aid for Home, Garden, or Range Practice | Durable, Non-Slip Base | Suitable for All Skill Levels",FORB,https://www.amazon.co.uk/dp/B0F8VN1PKD,Sports & Outdoors,OK,MAYBE,BALANCED | 54/mo | GBP5.11 profit | GBP275.90 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP275.90/mo | 54/mo | GBP5.11 unit profit | stable | 2 sellers,8.2,8,10,9,5,9,7.9,8.5,GBP276,OK,STRONG,GBP29.99,GBP32.39,SLIGHT DIP (7%),GBP0.00,GBP5.38,GBP5.38,GBP19.49,GBP5.11,26.2%,GBP20.51,GBP24.88,37816,27,0,5.0,7,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,NEGOTIATE,61,NEGOTIATE | BALANCED | GBP276.00/mo | low IP risk | unlikely PL risk | slight dip (7%) | supplier cost missing,Joinable,Review Needed,GBP20.51,GBP18.46,,Unknown,Contact supplier for cost,Y
B09QF6DYH3,"Titleist StaDry Performance Golf Towel, Black",Titleist,https://www.amazon.co.uk/dp/B09QF6DYH3,Sports & Outdoors,OK,MAYBE,CASH FLOW | 88/mo | GBP4.17 profit | GBP367.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP367.00/mo | 88/mo | GBP4.17 unit profit | stable | 2 sellers,7.6,10,10,7,1,8.1,5.5,7,GBP367,OK,AVERAGE,GBP40.00,GBP40.00,STABLE,GBP2.91,GBP6.92,GBP9.83,GBP26.00,GBP4.17,16.0%,GBP25.14,GBP35.83,16988,44,0,4.4,87,N,2,Y,100%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,60,WATCH | CASH FLOW | GBP367.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Review Needed,GBP25.14,GBP22.63,,Unknown,Review listing safety,N
B09MTS97QP,Wilson US Open Extra Duty Official Tennis Balls - 6 Sealed Tubes of 4 Balls,Wilson,https://www.amazon.co.uk/dp/B09MTS97QP,Sports & Outdoors,OK,MAYBE,BALANCED | 144/mo | GBP5.54 profit | GBP797.80 monthly gross | SQUEEZED | 8 sellers,BALANCED,1,BALANCED | GBP797.80/mo | 144/mo | GBP5.54 unit profit | SQUEEZED | 8 sellers,7.0,10,10,4,1,8.7,5.7,8,GBP798,SQUEEZED,WEAK,GBP49.99,GBP56.00,DROPPING (11%),GBP3.49,GBP8.47,GBP11.96,GBP32.49,GBP5.54,17.0%,GBP31.69,GBP44.45,10986,72,50,4.7,43,N,8,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,59,WATCH | BALANCED | GBP798.00/mo | low IP risk | - PL risk | dropping (11%) | supplier cost missing,Joinable,Cost Needed,GBP31.69,GBP28.52,,Unknown,Monitor for 7 days,N
B0CYMS1TKX,FORB Chip and Stick Golf Game | Indoor and Outdoor Chipping Mat - Golfing Fun for All the Family [3 Sizes] (Large (120cm x 180cm)),FORB,https://www.amazon.co.uk/dp/B0CYMS1TKX,Sports & Outdoors,HEAVY,MAYBE,BALANCED | 62/mo | GBP6.68 profit | GBP414.20 monthly gross | SQUEEZED | 2 sellers,BALANCED,1,BALANCED | GBP414.20/mo | 62/mo | GBP6.68 unit profit | SQUEEZED | 2 sellers,7.0,4,10,10,4,9,7.8,8.6,GBP414,SQUEEZED,AVERAGE,GBP37.99,GBP42.94,DROPPING (12%),GBP0.00,GBP6.62,GBP6.62,GBP24.69,GBP6.68,27.0%,GBP26.14,GBP31.31,70366,31,0,4.0,29,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,59,WATCH | BALANCED | GBP414.00/mo | low IP risk | unlikely PL risk | dropping (12%) | supplier cost missing,Joinable,Review Needed,GBP26.14,GBP23.53,,Unknown,Review listing safety,N
B07T98XV91,"STIGA Prestige 5-Star Table Tennis Racket – Professional High-Speed Ping Pong Paddle with ITTF-Approved Rubber, 2.0mm Sponge, and WRB Technology – Comfortable Grip, Black / Red",STIGA,https://www.amazon.co.uk/dp/B07T98XV91,Sports & Outdoors,OK,MAYBE,BALANCED | 46/mo | GBP7.42 profit | GBP341.30 monthly gross | SQUEEZED | 4 sellers,BALANCED,1,BALANCED | GBP341.30/mo | 46/mo | GBP7.42 unit profit | SQUEEZED | 4 sellers,7.7,9,10,7,3,8.2,6.9,8,GBP341,SQUEEZED,STRONG,GBP55.70,GBP64.25,DROPPING (13%),GBP2.72,GBP9.35,GBP12.07,GBP36.21,GBP7.42,20.5%,GBP36.36,GBP48.28,27192,23,0,4.4,196,N,4,Y,29%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,59,WATCH | BALANCED | GBP341.00/mo | low IP risk | - PL risk | dropping (13%) | supplier cost missing,Joinable,Review Needed,GBP36.36,GBP32.72,,Unknown,Review listing safety,N
B0F5BG54SM,"STIGA Trinity V2 Table Tennis Bat – 3-Star Blade, ITTF-Approved Rubber, Ergonomic Grip – For Offensive Players",STIGA,https://www.amazon.co.uk/dp/B0F5BG54SM,Sports & Outdoors,OK,MAYBE-ROI,CASH FLOW | 68/mo | GBP3.66 profit | GBP248.90 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP248.90/mo | 68/mo | GBP3.66 unit profit | stable | 2 sellers,6.7,7,8,10,1,9,5.9,8,GBP249,OK,STRONG,GBP36.44,GBP35.18,RISING (4%),GBP2.72,GBP6.38,GBP9.10,GBP23.69,GBP3.66,15.4%,GBP22.78,GBP32.78,47227,34,0,4.2,24,N,2,Y,3%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,58,WATCH | CASH FLOW | GBP249.00/mo | low IP risk | unlikely PL risk | rising (4%) | supplier cost missing,Joinable,Review Needed,GBP22.78,GBP20.50,,Unknown,Review listing safety,N
