supplier,ean,asin,product_name,match_type,buy_cost,market_price,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,decision,decision_reason,risk_flags
Ravensburger,4005556167012,B00QDWK57M,"Ravensburger Star Wars Episode I - VI, Saga 2000pc Jigsaw puzzle",UNIT,16.74,32.39,8.3385,8.3385,7.311500000000002,7.311500000000002,0.2257332510033961,0.2257332510033961,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Mattel,0194735336050,B0FK1K79N8,"Mattel WWE Ultimate Edition Action Figure & Accessories Set, Hulk Hogan 6-inch Collectible with Swappable Heads & Hands, 30 Articulation Points, JHV95",UNIT,21.432,34.99,8.288499999999999,8.288499999999999,5.269500000000004,5.269500000000004,0.1506001714775651,0.1506001714775651,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555004905,B0CPFKP19M,Ravensburger Almost Everyone is Mad - Alice in Wonderland Jigsaw Puzzles for Adults and Kids Age 12 Years Up - 1000 Pieces,UNIT,8.34,18.26,5.799,5.799,4.121000000000002,4.121000000000002,0.225684556407448,0.225684556407448,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566616172,B0D4MMW823,"Aurora, 61617, Zog Princess Pearl 12In, Soft Toy, Multicolour",UNIT,12.6,23.12,6.410312,6.410312,4.109688,4.109688,0.1777546712802768,0.1777546712802768,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Tomy,5011666723719,B00U42LTDG,"Aquadoodle Classic Large Water Doodle Mat, Official Tomy No Mess Colouring & Drawing Game, Suitable for Toddlers and Children - Boys & Girls 18 Months, 2, 3, 4+ Year Olds, Pink, T72371",UNIT,15.852,24.99,5.0592,5.0592,4.0787999999999975,4.0787999999999975,0.1632172869147658,0.1632172869147658,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506414672,B0FHQR4S6D,"Learning Resources Numberblocks Sing-Along Superhero Octoblock, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts Ages 3+",UNIT,20.964,32.97,7.928796999999999,7.928796999999999,4.077203000000001,4.077203000000001,0.1236640279041553,0.1236640279041553,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555018469,B0FSLDVGRK,"Ravensburger Colour Blast 500 Piece Jigsaw Puzzle for Adults – Vibrant Flower Design by Robin Mead, Relaxing Mindful Activity, Colourful Puzzle Gift for Adults & Teens",UNIT,5.94,14.54,4.599546,4.599546,4.000453999999999,4.000453999999999,0.2751343878954607,0.2751343878954607,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Hasbro,5010996319821,B0DMWMLMTT,Transformers CYBERWORLD Cyber Changers Dinobot Snarl Action Figure,UNIT,5.244,13.99,4.751298,4.751298,3.994702,3.994702,0.2855398141529664,0.2855398141529664,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Mattel,0194735336326,B0CXRZFM2H,"Mattel WWE Ultimate Edition Action Figure & Accessories Set, Cody Rhodes 6-inch Collectible with Swappable Heads & Hands, 30 Articulation Points, JHV89",UNIT,21.432,33.08,8.001999999999999,8.001999999999999,3.646000000000001,3.646000000000001,0.1102176541717049,0.1102176541717049,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Mattel,0194735337774,B0G43R2891,"Mattel WWE Elite Collection Action Figure & Accessories, Premium Live Event Triple H Set, SummerSlam Series with Jesse “The Body” Ventura Build-A-Figure Parts, JHX80",UNIT,17.124,28.0,7.2428,7.2428,3.633200000000002,3.633200000000002,0.1297571428571429,0.1297571428571429,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
