SKU,Manufacturer,Title,Category,Barcode,Case Size,Units Available,Unit Price (GBP),Case Price (GBP),Unit Price (EUR),Case Price (EUR),Cases To Order,Units Ordered,Sub-Total
O-BARVARNPSFOR,Barry M,Barry M Nail Paint Silk Nail Polish - Forest,Nail Polish,5019301038082,110,Pre-Order, £0.47 , £51.70 , € 0.54 , € 59.46 ,,, £-   
O-BARVARNPSORC,Barry M,Barry M Nail Paint Silk Nail Polish - Orchid,Nail Polish,5019301038075,110,Pre-Order, £0.47 , £51.70 , € 0.54 , € 59.46 ,,, £-   
O-BORVARRDF44,Bourjois,Bourjois Nail Polish - 44 Rouge Defendu,,3616301289685,12,488, £0.80 , £9.60 , € 0.92 , € 11.04 ,,, £-   
O-BOUVAR43,Bourjois,Bourjois Nail Polish - 43 Rose Du Satin,,3616301289654,12,682, £0.80 , £9.60 , € 0.92 , € 11.04 ,,, £-   
BOUCONAFT053,Bourjois,Bourjois Healthy Mix Anti-Fatigue Concealer - 53 Dark,Concealer,3614222985624,12,264, £1.00 , £12.00 , € 1.15 , € 13.80 ,,, £-   
BOUCONAFT054,Bourjois,Bourjois Healthy Mix Anti-Fatigue Concealer - 54 Golden Beige,Concealer,3614226471208,12,72, £1.30 , £15.60 , € 1.50 , € 17.94 ,,, £-   
BOUCONHMX059,Bourjois,Bourjois Healthy Mix clean & Vegan Concealer - 59 Amber,Concealer,3616303915322,12,420, £0.60 , £7.20 , € 0.69 , € 8.28 ,,, £-   
BOUCONHMX56.5,Bourjois,Bourjois Healthy Mix clean & Vegan Concealer - 56.5 Maple,Concealer,3616303915308,12,456, £1.50 , £18.00 , € 1.73 , € 20.70 ,,, £-   
BOUCONAFT055,Bourjois,Bourjois Healthy Mix Anti-Fatigue Concealer - 55 Honey,Concealer,3614226471222,12,192, £1.20 , £14.40 , € 1.38 , € 16.56 ,,, £-   
BOUCONAFB600,Bourjois,Bourjois Always Fabulous 24 Hour Concealer - 600 Chocolate,Concealer,3614228689908,12,24, £0.40 , £4.80 , € 0.46 , € 5.52 ,,, £-   
O-BORBRWNAT23,Bourjois,Bourjois Brow Natural Felt Tip Pen 23 Brun,Eyebrow Pencil,3052503952307,12,Pre-Order, £0.94 , £11.28 , € 1.08 , € 12.97 ,,, £-   
BOUEYLKHC007,Bourjois,Bourjois Khol & Contour Extra Long Wear Eye Pencil - 007 Prunissime,Eyeliner,3614223912162,12,972, £1.80 , £21.60 , € 2.07 , € 24.84 ,,, £-   
BOUFOUFAB110,Bourjois,Bourjois Always Fabulous 24H Extreme Resist Foundation - 110 Light Vanilla,Foundation,3614228413411,12,432, £3.00 , £36.00 , € 3.45 , € 41.40 ,,, £-   
BOUFOUFAB115,Bourjois,Bourjois Always Fabulous 24H Extreme Resist Foundation - 115 Golden Ivory,Foundation,3616302732760,12,312, £1.60 , £19.20 , € 1.84 , € 22.08 ,,, £-   
BOUFOUFAB120,Bourjois,Bourjois Always Fabulous 24H Extreme Resist Foundation - 120 Light Ivory,Foundation,3614228413428,12,264, £2.50 , £30.00 , € 2.88 , € 34.50 ,,, £-   
BOUFOUFAB200,Bourjois,Bourjois Always Fabulous 24H Extreme Resist Foundation - 200 Rose Vanilla,Foundation,3614228413442,12,348, £2.20 , £26.40 , € 2.53 , € 30.36 ,,, £-   
BOUFOUFAB210,Bourjois,Bourjois Always Fabulous 24H Extreme Resist Foundation - 210 Vanilla,Foundation,3614228413459,12,372, £2.40 , £28.80 , € 2.76 , € 33.12 ,,, £-   
