SKU,"Product Name",Brand,"New In","HS Code",Barcode,Origin,Availability,Price,URL
SCS19348,"007 Pour Homme (Mens 50ml EDT) James Bond (9318) UNBOXED","James Bond 007",No,"HS 3303.0010","EAN 3614228239318",Germany,"out of stock",6.95,https://store.shure-cosmetics.co.uk/007-pour-homme-mens-50ml-edt-james-bond-9318-unboxed
SCS24258,"1 Million (Mens 100ml EDT) Paco Rabanne (7921)","Paco Rabanne",No,"HS 3303.0010","EAN 3349666007921",France,"out of stock",53.95,https://store.shure-cosmetics.co.uk/1-million-mens-100ml-edt-paco-rabanne-7921
SCS22458,"1 Million (Mens 50ml EDT) Paco Rabanne (2598)","Paco Rabanne",No,"HS 3303.0010","EAN 3349668612598",France,"in stock",41.25,https://store.shure-cosmetics.co.uk/1-million-mens-50ml-edt-paco-rabanne-2598
SCS00496,"1999 (Ladies 100ml EDP) Lamis (1489) L/3",Lamis,No,"HS 3303.0090","EAN 5414666001489",,"in stock",3.1,https://store.shure-cosmetics.co.uk/1999-ladies-100ml-edp-lamis-1489-l-3
SCS00513,"1999 (Mens 100ml EDT) Lamis (1885) L/17",Lamis,No,"HS 3303.0090","EAN 5414666001885",,"in stock",3.1,https://store.shure-cosmetics.co.uk/1999-mens-100ml-edt-lamis-1885-l-17
SCS24561,"2 Men (Mens 100ml EDT) New Brand (0538) NB/3","New Brand",No,"HS 3303.0010","EAN 5425017730538",France,"out of stock",1.95,https://store.shure-cosmetics.co.uk/2-men-mens-100ml-edt-new-brand-0538-nb-3
SCS23916,"212 MEN SEXY (Mens 50ml EDT) Carolina Herrera (5613)","Carolina Herrera",No,"HS 3303.0010","EAN 8411061865613",Spain,"in stock",32.5,https://store.shure-cosmetics.co.uk/212-men-sexy-mens-50ml-edt-carolina-herrera-5613
SCS23915,"212 VIP | ARE YOU ON THE LIST? NYC (Ladies 80ml EDP) Carolina Herrera (1767)","Carolina Herrera",No,"HS 3303.0010","EAN 8411061711767",Spain,"in stock",52.95,https://store.shure-cosmetics.co.uk/212-vip-are-you-on-the-list-nyc-ladies-80ml-edp-ny
SCS20753,"212 VIP MEN | THIS IS A PRIVATE PARTY! NYC (Mens 50ml EDT) Carolina Herrera (9253)","Carolina Herrera",No,"HS 3303.0010","EAN 8411061869253",Spain,"in stock",33.75,https://store.shure-cosmetics.co.uk/212-vip-men-this-is-a-private-party-nyc-mens-50ml-edt-ue
SCS23912,"5th Avenue (Ladies 125ml EDP) Elizabeth Arden (0600)","Elizabeth Arden",No,"HS 3303.0010","UPC 085805390600",Spain,"in stock",16.25,https://store.shure-cosmetics.co.uk/5th-avenue-ladies-125ml-edp-elizabeth-arden-0600
SCS24531,"717 NYC Men (Mens 100ml EDP) Fragrance Couture (5828) Arab.E/31","Fragrance Couture",No,"HS 3303.0010","EAN 8439627595828",India,"out of stock",1.95,https://store.shure-cosmetics.co.uk/717-nyc-men-mens-100ml-edp-fragrance-couture-5828-ww
SCS24534,"717 Sexy Women (Ladies 100ml EDP) Fragrance Couture (4520) Arab.E/32","Fragrance Couture",No,"HS 3303.0010","EAN 8439627604520",India,"out of stock",1.95,https://store.shure-cosmetics.co.uk/717-sexy-women-ladies-100ml-edp-fragrance-couture-dx
SCS11115,"7th Heaven Kitten Cucumber & Aloe Face Mask (7857)","7th  Heaven",No,,"UPC 083800047857","South Korea","in stock",1.5,https://store.shure-cosmetics.co.uk/7th-heaven-kitten-cucumber-aloe-face-mask-7857
SCS21492,"7th Heaven Pamper and Party 12pc Face Mask & Cosmetics Bag Gift Set (5234)","7th  Heaven",No,"HS 3304.9900","UPC 083800055234","United Kingdom","in stock",9.95,https://store.shure-cosmetics.co.uk/7th-heaven-pamper-and-party-12pc-face-mask-cosmetics-tk
SCS21493,"7th Heaven Pamper Hamper Felt Cube Face Mask Gift Set (PC5241)","7th  Heaven",No,"HS 3304.9900","UPC 083800055241","United Kingdom","in stock",6.95,https://store.shure-cosmetics.co.uk/7th-heaven-pamper-hamper-felt-cube-face-mask-gift-set-ce
SCS11114,"7th Heaven Panda Coconut & Banana Face Mask (7840)","7th  Heaven",No,,"UPC 083800047840","South Korea","in stock",1.5,https://store.shure-cosmetics.co.uk/7th-heaven-panda-coconut-banana-face-mask-7840
SCS11357,"7th Heaven Sloth Lotus Blossom & Blueberry Face Mask (2738)","7th  Heaven",No,"HS 3304.9900","UPC 083800052738","South Korea","in stock",1.5,https://store.shure-cosmetics.co.uk/7th-heaven-sloth-lotus-blossom-blueberry-face-mask-qo
SCS11356,"7th Heaven Tiger Apple & Strawberry Face Mask (7888)","7th  Heaven",No,"HS 3304.9900","UPC 083800047888","South Korea","in stock",1.5,https://store.shure-cosmetics.co.uk/7th-heaven-tiger-apple-strawberry-face-mask-7888
SCS22931,"9:30 PM Oud (Mens 100ml EDP) Fragrance Couture (9101)","Fragrance Couture",No,"HS 3303.0010","EAN 6287008199101",India,"in stock",1.95,https://store.shure-cosmetics.co.uk/9-30-pm-oud-mens-100ml-edp-fragrance-couture-9101
SCS23932,"911 Elite Men (Mens 100ml EDP) Lovali (1566) SC/17",Lovali,No,"HS 3303.0010","UPC 752527841566",China,"in stock",3.1,https://store.shure-cosmetics.co.uk/911-elite-men-mens-100ml-edp-lovali-1566-sc-17
SCS20055,"919 Sexy Women (Ladies 35ml EDT) Lilyz (5378) (CZ9723-67)",Lilyz,No,"HS 3303.0010","EAN 5060616905378",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/919-sexy-women-ladies-35ml-edt-lilyz-5378-cz9723-67
SCS19680,"919 VIP Gold Women (Ladies 35ml EDT) Lilyz (5361) (CZ9723-66)",Lilyz,No,"HS 3303.0010","EAN 5060616905361",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/919-vip-gold-women-ladies-35ml-edt-lilyz-5361-cz9723-gu
SCS23922,"a drop d'Issey (Ladies 90ml EDP) Issey Miyake (0324)","Issey Miyake",No,"HS 3303.0090","EAN 3423222010324",France,"in stock",28.25,https://store.shure-cosmetics.co.uk/a-drop-d-issey-ladies-90ml-edp-issey-miyake-0324
SCS21295,"Absolute Men Pour Homme (Mens 30ml EDT) Insignia (7136) ML.A/43a",Insignia,No,"HS 3303.0010","EAN 5055116607136",India,"in stock",0.75,https://store.shure-cosmetics.co.uk/absolute-men-pour-homme-mens-30ml-edt-insignia-7136-hp
SCS61325,"Abyat (Ladies 100ml EDP) Al Wataniah (4574)","Al Wataniah",No,"HS 33030090","EAN 5055810024574",U.A.E,"in stock",9.75,https://store.shure-cosmetics.co.uk/abyat-ladies-100ml-edp-al-wataniah-4574
SCS24508,"Accelerazi One (Mens 100ml EDT) Kappa (3117) K/1",Kappa,No,"HS 3303.0010","EAN 5710404503117",,"in stock",3.95,https://store.shure-cosmetics.co.uk/accelerazi-one-mens-100ml-edt-kappa-3117-k-1
SCS47570,"Accountable Adventure Edition (Mens 100ml EDT) Omerta (FROM147) (0178) B/22",Omerta,No,"HS 3303.0010",,Netherlands,"in stock",2.65,https://store.shure-cosmetics.co.uk/accountable-adventure-edition-mens-100ml-edt-omerta-rp
