supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS19348,3614228239318,007 Pour Homme (Mens 50ml EDT) James Bond (9318) UNBOXED,UNIT,UNIT,1,6.95,8.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS24258,3349666007921,1 Million (Mens 100ml EDT) Paco Rabanne (7921),UNIT,UNIT,1,53.95,64.74,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22458,3349668612598,1 Million (Mens 50ml EDT) Paco Rabanne (2598),UNIT,UNIT,1,41.25,49.5,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS00496,5414666001489,1999 (Ladies 100ml EDP) Lamis (1489) L/3,UNIT,UNIT,1,3.1,3.7199999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS00513,5414666001885,1999 (Mens 100ml EDT) Lamis (1885) L/17,UNIT,UNIT,1,3.1,3.7199999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS24561,5425017730538,2 Men (Mens 100ml EDT) New Brand (0538) NB/3,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23916,8411061865613,212 MEN SEXY (Mens 50ml EDT) Carolina Herrera (5613),UNIT,UNIT,1,32.5,39.0,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23915,8411061711767,212 VIP | ARE YOU ON THE LIST? NYC (Ladies 80ml EDP) Carolina Herrera (1767),UNIT,UNIT,1,52.95,63.54,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS20753,8411061869253,212 VIP MEN | THIS IS A PRIVATE PARTY! NYC (Mens 50ml EDT) Carolina Herrera (9253),UNIT,UNIT,1,33.75,40.5,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23912,085805390600,5th Avenue (Ladies 125ml EDP) Elizabeth Arden (0600),UNIT,UNIT,1,16.25,19.5,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS24531,8439627595828,717 NYC Men (Mens 100ml EDP) Fragrance Couture (5828) Arab.E/31,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS24534,8439627604520,717 Sexy Women (Ladies 100ml EDP) Fragrance Couture (4520) Arab.E/32,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS11115,083800047857,7th Heaven Kitten Cucumber & Aloe Face Mask (7857),UNIT,UNIT,1,1.5,1.7999999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS21492,083800055234,7th Heaven Pamper and Party 12pc Face Mask & Cosmetics Bag Gift Set (5234),UNIT,UNIT,1,9.95,11.94,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS21493,083800055241,7th Heaven Pamper Hamper Felt Cube Face Mask Gift Set (PC5241),UNIT,UNIT,1,6.95,8.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS11114,083800047840,7th Heaven Panda Coconut & Banana Face Mask (7840),UNIT,UNIT,1,1.5,1.7999999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS11357,083800052738,7th Heaven Sloth Lotus Blossom & Blueberry Face Mask (2738),UNIT,UNIT,1,1.5,1.7999999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS11356,083800047888,7th Heaven Tiger Apple & Strawberry Face Mask (7888),UNIT,UNIT,1,1.5,1.7999999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22931,6287008199101,9:30 PM Oud (Mens 100ml EDP) Fragrance Couture (9101),UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23932,752527841566,911 Elite Men (Mens 100ml EDP) Lovali (1566) SC/17,UNIT,UNIT,1,3.1,3.7199999999999998,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS20055,5060616905378,919 Sexy Women (Ladies 35ml EDT) Lilyz (5378) (CZ9723-67),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS19680,5060616905361,919 VIP Gold Women (Ladies 35ml EDT) Lilyz (5361) (CZ9723-66),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23922,3423222010324,a drop d'Issey (Ladies 90ml EDP) Issey Miyake (0324),UNIT,UNIT,1,28.25,33.9,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS21295,5055116607136,Absolute Men Pour Homme (Mens 30ml EDT) Insignia (7136) ML.A/43a,UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61325,5055810024574,Abyat (Ladies 100ml EDP) Al Wataniah (4574),UNIT,UNIT,1,9.75,11.7,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS24508,5710404503117,Accelerazi One (Mens 100ml EDT) Kappa (3117) K/1,UNIT,UNIT,1,3.95,4.74,,,REJECT,No Amazon match found,
