supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Zappies-Price-List-2026-04-20,TY3821,5063389049461,3d Dragon Egg (4 Asst),UNIT,UNIT,1,1.75,2.1,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,TY4753,35063389170630,3d Mega Fidgelets 10 Asst,UNIT,UNIT,1,1.68,2.016,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,NN7368,849421006822,Albus Dumbledore Bendyfig,UNIT,UNIT,1,8.91,10.692,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,PRO11074,5056297241379,Alibi,UNIT,UNIT,1,2.92,3.504,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,JASUVS04C,850034738208,All Might Vs All For One Clash Decks- My Hero Academia Ccg Series 4 Clash Decks,UNIT,UNIT,1,9.0,10.799999999999999,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,WZK90282,634482902820,"Alrund, God Of Wisdom- Magic The Gathering Unpainted Miniatures",UNIT,UNIT,1,2.8,3.36,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,AMAZON07,,Amazon Asin Labels,UNIT,UNIT,1,0.4,0.48,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,AMAZONRELABEL,,Amazon Carton Label For Carton Repack,UNIT,UNIT,1,0.25,0.3,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,AMAZONREPACK,,Amazon Carton Repack,UNIT,UNIT,1,1.8,2.16,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,TP-T004-T00401,6975472672540,Anita Fantasy Real,UNIT,UNIT,1,8.8,10.56,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,TP-18-1801,6975472671161,Anita Fashion Week,UNIT,UNIT,1,8.8,10.56,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,CZ-C007-C00701,6975472674568,Anita Mountain And Sea Have Spirit Series,UNIT,UNIT,1,8.8,10.56,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,CZ-C003-C00301,6975472674117,Anmoo The Perfect World Series,UNIT,UNIT,1,8.8,10.56,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,FMGANS01,603765375750,Ansagrams,UNIT,UNIT,1,3.0,3.5999999999999996,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,JPG241,0703558839473,Bananya- The Card Game,UNIT,UNIT,1,3.12,3.7439999999999998,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,HKR01,0194735106646,Barbie Cutie Reveal Amigos Jungla Mono Mattel,UNIT,UNIT,1,14.4,17.28,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,JFV59,194735340422,Barbie Cutie Reveal Doll And Accessories Lamb,UNIT,UNIT,1,11.05,13.26,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6069100,778988508541,Batman Adventures Nightwing,UNIT,UNIT,1,9.85,11.819999999999999,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6074673,681147093386,"Batman Ninja Strike 12"" Fig- Batman",UNIT,UNIT,1,4.68,5.616,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6074675,681147093393,"Batman Ninja Strike 12"" Fig- The Joker",UNIT,UNIT,1,4.68,5.616,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6070131,681147018068,Batman Ultimate Transforming Batmobile,UNIT,UNIT,1,21.0,25.2,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,BCL2683022,810059780910,Battle Spirits Saga- Expansion Set 01,UNIT,UNIT,1,9.75,11.7,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,BCL2698527,810059782877,Battle Spirits Saga- Starter Deck,UNIT,UNIT,1,5.64,6.768,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,PA2058,5014475020581,Bedtime Cuddles With Paddington Bear Set,UNIT,UNIT,1,13.3,15.96,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,44059,6942138967890,Bestway Pop Art Pool Mat,UNIT,UNIT,1,6.95,8.34,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,43251,6942138967869,Bestway Taco Pool Lounge,UNIT,UNIT,1,6.95,8.34,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,F45411010,5010993929306,Betrayal House On The Hill Game (french),UNIT,UNIT,1,6.8,8.16,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,G1899ES00,5010996332875,Beyblade Bbx Spinosaurus Quetzalcoatlus,UNIT,UNIT,1,8.8,10.56,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,FMGBFLF01,5060959630203,Big Fish Little Fish,UNIT,UNIT,1,3.5,4.2,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,CSGPROGG4143,5060506539096,Boules,UNIT,UNIT,1,3.9,4.68,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,IBA-PEL10-1-FB-MIX,,Brainrot Plush Hangers 10cm,UNIT,UNIT,1,4.1,4.919999999999999,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,BRTC3PKB,,Brainrot Trading Card Collection X 3pk,UNIT,UNIT,1,3.44,4.128,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,61114,019756611149,Breyer Classics English Rider And Horse Set,UNIT,UNIT,1,10.12,12.143999999999998,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,61145,019756611453,Breyer Freedom Series Jet And English Rider Charlotte,UNIT,UNIT,1,10.12,12.143999999999998,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,BUB001,5050116377720,Bubble Sensory Fidget Toy,UNIT,UNIT,1,2.92,3.504,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,PBG40020EN,826956400509,Century Golem: Eastern Mountains,UNIT,UNIT,1,7.15,8.58,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,ZMGZM027,826956201502,Challengers Board Game Beach Cup,UNIT,UNIT,1,9.0,10.799999999999999,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,80255,8005125350902,Clementoni Puzzles - Tv Shows,UNIT,UNIT,1,3.25,3.9,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,PMG0102,745000582013,Combo Fighter Pack 2 (plotmaker Edition),UNIT,UNIT,1,4.68,5.616,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,PMG0103,745000582020,Combo Fighter Pack 3 (plotmaker Edition),UNIT,UNIT,1,4.68,5.616,,,REJECT,Invalid or missing EAN,
