supplier,supplier_sku,ean,case_ean,asin,amazon_url,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,buy_cost,market_price,raw_conservative_price,floored_conservative_price,price_basis,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,max_buy_price,capital_exposure,size_tier,history_days,gated,decision,decision_reason,risk_flags
Zappies-Price-List-2026-04-20,TY3821,5063389049461,,,,3d Dragon Egg (4 Asst),UNIT,UNIT,1,1.75,2.1,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,TY4753,35063389170630,,,,3d Mega Fidgelets 10 Asst,UNIT,UNIT,1,1.68,2.016,,,,,,,,,,,,,,,,,,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,NN7368,849421006822,,,,Albus Dumbledore Bendyfig,UNIT,UNIT,1,8.91,10.692,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,PRO11074,5056297241379,,B0CNRZ47QS,https://www.amazon.co.uk/dp/B0CNRZ47QS,Professor Puzzle | Alibi | Card Game | Ages 14+ | 3-8 Players | 30 Minutes Playing Time,UNIT,UNIT,1,2.92,3.504,,,3.504,7.33,7.33,7.33,FBM,5.3194,5.3194,-1.4933999999999998,-1.4933999999999998,-0.20373806275579806,-0.20373806275579806,,-0.48939999999999984,3.504,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £-1.49, conservative £-1.49 (min £2.50)",FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Zappies-Price-List-2026-04-20,JASUVS04C,850034738208,,,,All Might Vs All For One Clash Decks- My Hero Academia Ccg Series 4 Clash Decks,UNIT,UNIT,1,9.0,10.799999999999999,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,WZK90282,634482902820,,,,"Alrund, God Of Wisdom- Magic The Gathering Unpainted Miniatures",UNIT,UNIT,1,2.8,3.36,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,AMAZON07,,,,,Amazon Asin Labels,UNIT,UNIT,1,0.4,0.48,,,,,,,,,,,,,,,,,,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,AMAZONRELABEL,,,,,Amazon Carton Label For Carton Repack,UNIT,UNIT,1,0.25,0.3,,,,,,,,,,,,,,,,,,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,AMAZONREPACK,,,,,Amazon Carton Repack,UNIT,UNIT,1,1.8,2.16,,,,,,,,,,,,,,,,,,,,REJECT,Invalid or missing EAN,
Zappies-Price-List-2026-04-20,TP-T004-T00401,6975472672540,,,,Anita Fantasy Real,UNIT,UNIT,1,8.8,10.56,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,TP-18-1801,6975472671161,,,,Anita Fashion Week,UNIT,UNIT,1,8.8,10.56,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,CZ-C007-C00701,6975472674568,,,,Anita Mountain And Sea Have Spirit Series,UNIT,UNIT,1,8.8,10.56,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,CZ-C003-C00301,6975472674117,,,,Anmoo The Perfect World Series,UNIT,UNIT,1,8.8,10.56,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,FMGANS01,603765375750,,,,Ansagrams,UNIT,UNIT,1,3.0,3.5999999999999996,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,JPG241,0703558839473,,B092G4YMKW,https://www.amazon.co.uk/dp/B092G4YMKW,Bananya: The Card Game,UNIT,UNIT,1,3.12,3.7439999999999998,,,3.7439999999999998,12.99,12.99,12.99,FBM,6.3382,6.3382,2.907800000000001,2.907800000000001,0.22384911470361823,0.22384911470361823,,4.151800000000001,3.7439999999999998,UNKNOWN,90.0,UNKNOWN,SHORTLIST,Passes all thresholds at conservative price | Gated status unknown — check before buying,FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Zappies-Price-List-2026-04-20,HKR01,0194735106646,,B0B6265DFF,https://www.amazon.co.uk/dp/B0B6265DFF,"​Barbie Dolls and Accessories, Cutie Reveal Doll with Monkey Plush Costume & 10 Surprises Including Color Change, Jungle Series",UNIT,UNIT,1,14.4,17.28,,,17.28,20.65,20.65,20.65,FBM,7.717,7.717,-4.347000000000001,-4.347000000000001,-0.21050847457627125,-0.21050847457627125,,10.433,17.28,UNKNOWN,90.0,UNKNOWN,REJECT,"Unprofitable — current £-4.35, conservative £-4.35 (min £2.50)",FBM_ONLY; INSUFFICIENT_HISTORY; FBM_SHIPPING_ESTIMATED
Zappies-Price-List-2026-04-20,JFV59,194735340422,,,,Barbie Cutie Reveal Doll And Accessories Lamb,UNIT,UNIT,1,11.05,13.26,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6069100,778988508541,,,,Batman Adventures Nightwing,UNIT,UNIT,1,9.85,11.819999999999999,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6074673,681147093386,,,,"Batman Ninja Strike 12"" Fig- Batman",UNIT,UNIT,1,4.68,5.616,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6074675,681147093393,,,,"Batman Ninja Strike 12"" Fig- The Joker",UNIT,UNIT,1,4.68,5.616,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,6070131,681147018068,,,,Batman Ultimate Transforming Batmobile,UNIT,UNIT,1,21.0,25.2,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,BCL2683022,810059780910,,,,Battle Spirits Saga- Expansion Set 01,UNIT,UNIT,1,9.75,11.7,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
Zappies-Price-List-2026-04-20,BCL2698527,810059782877,,,,Battle Spirits Saga- Starter Deck,UNIT,UNIT,1,5.64,6.768,,,,,,,,,,,,,,,,,,,,REJECT,No Amazon match found,
